brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Σύνολοκατόχων,Κίνηση,Χρώμαεσωτερικού,Ρύποι(co2),Κλάσηρύπων,Κατανάλωση,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας
Nissan,Qashqai,2016,Nissan Qashqai '16  1.6 dCi ¤ Acenta Plus ¤ 4x4 ¤ NAVI ¤ CAMERA,NissanQashqai1.6dCi¤AcentaPlus¤4x4¤NAVI¤CAMERA¤'16,333796547,18.890€,"333,46€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2016,122.000χλμ,Πετρέλαιο,1.598cc,130bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Ύφασμα,7/2025,17ίντσες,154€,Άγνωστο,8,4,5,6ώρεςπριν,440,www.car.gr/333796547,"2721110463,6946297771,6944821090","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,4x4(4WD),Γκρι,129g/km,Euro6,,,,,
Mercedes-Benz,A250,2021,Mercedes-Benz A 250 '21  e Limousine AMG LINE,Mercedes-BenzA250eLimousineAMGLINE8G-DCT'21,332030891,43.500€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,2/2021,40.000χλμ,Υβριδικόplug-inβενζίνη,1.360cc,262bhp,Αυτόματο,Ασπρο(Μεταλλικό),Alcantara,2/2023,18ίντσες,0€,Άγνωστο,8,5,5,4ώρεςπριν,1153,www.car.gr/332030891,"2102461538,6980488392,6989820739","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",1,Προσθιοκίνητο(FWD),Μαύρο,25g/km,Euro6d-temp,"3,40(Εντός)/4(Εκτός)/3,60(Μικτό)λ/100χλμ",,60χλμ,,
Honda,HR-V,2016,Honda HR-V '16 ¤1.6 i-DTEC Executive,HondaHR-V¤1.6i-DTECExecutive¤ΟΡΟΦΗ¤LED¤CAMERA¤NAVI¤'16,327589902,21.490€,"379,36€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2016,110.000χλμ,Πετρέλαιο,1.597cc,120bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Δέρμα,12/2024,17ίντσες,105€,Άγνωστο,,5,5,6ώρεςπριν,5546,www.car.gr/327589902,"2721110463,6946297771,6944821090","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,Δίχρωμο,108g/km,Euro6,,,,,
Suzuki,Vitara,2015,Suzuki Vitara '15  1.6 DDiS ¤¤ GLX + ¤¤ 4Χ4 ¤ NAVI ¤¤ CAMERA,SuzukiVitara1.6DDiS¤¤GLX+¤¤4Χ4¤NAVI¤¤CAMERA¤¤'15,332992686,17.900€,"315,98€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,12/2015,149.000χλμ,Πετρέλαιο,1.598cc,120bhp,Χειροκίνητο,Γαλάζιο(Μεταλλικό),Alcantara,1/2025,17ίντσες,108€,Άγνωστο,8,5,5,6ώρεςπριν,1333,www.car.gr/332992686,"2721110463,6946297771,6944821090","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,4x4(4WD),Μαύρο,111g/km,Euro6,,,,,
Smart,ForTwo,2016,Smart ForTwo '16 CABRIO /PASSION /90hp,SmartForTwoCABRIO/PASSION/90hp/NAVI'16,332268104,17.000€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2016,30.000χλμ,Βενζίνη,900cc,90bhp,Αυτόματο,Ασπρο(Μεταλλικό),Ύφασμα,5/2025,15ίντσες,95€,Άγνωστο,6,3,2,1ώραπριν,1298,www.car.gr/332268104,"2102461538,6980488392,6989820739","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Hill assist', 'Immobilizer', 'Lane assist', 'Navigation - gps', 'Turbo', 'Usb', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']",1,Πισωκίνητο(RWD),Δίχρωμο,98g/km,Euro6d,"4,50(Εντός)/5(Εκτός)/4,70(Μικτό)λ/100χλμ",,,,
Mercedes-Benz,GLA180,2016,Mercedes-Benz GLA 180 '16 GLA 180d ¤ NAVI,Mercedes-BenzGLA180GLA180d¤NAVI¤CAMERA'16,328033402,23.990€,"423,49€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2016,129.000χλμ,Πετρέλαιο,1.461cc,110bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Ύφασμα,8/2024,17ίντσες,102€,Άγνωστο,10,5,5,6ώρεςπριν,2930,www.car.gr/328033402,"2721110463,6946297771,6944821090","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,Προσθιοκίνητο(FWD),Δίχρωμο,105g/km,Euro6,,,,,
Peugeot,3008,2018,Peugeot 3008 '18 Allure 1.5HDI 130hp,Peugeot3008Allure1.5HDI130hpAUTOMATIC'18,331702333,25.400€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2018,128.000χλμ,Πετρέλαιο,1.500cc,130bhp,Αυτόματο,Μαύρο(Μεταλλικό),Ύφασμα,2/2025,17ίντσες,100€,Άγνωστο,8,5,5,4ώρεςπριν,2509,www.car.gr/331702333,"2102461538,6980488392,6989820739","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",1,Προσθιοκίνητο(FWD),,101g/km,Euro6d-temp,"6(Εντός)/5,50(Εκτός)/5,70(Μικτό)λ/100χλμ",,,,
Renault,Megane,2017,Renault Megane '17 ¤¤ dCi 1.5 ENERGY Intens ¤¤Euro 6¤¤ NAVI,RenaultMegane¤¤dCi1.5ENERGYIntens¤¤Euro6¤¤NAVI¤¤'17,319686834,13.490€,"238,14€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2017,134.000χλμ,Πετρέλαιο,1.461cc,90bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Ύφασμα,1/2024,17ίντσες,85€,Άγνωστο,8,4,5,6ώρεςπριν,12975,www.car.gr/319686834,"2721110463,6946297771,6944821090","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,Γκρι,95g/km,Euro6,,,,,
Hyundai,i30,2016,Hyundai i 30 '16 1.6 CRDi ¤¤ STYLE ¤ NAVI ¤¤ CAMERA,Hyundaii301.6CRDi¤¤STYLE¤NAVI¤¤CAMERA¤¤'16,333347697,13.490€,"238,14€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2016,115.000χλμ,Πετρέλαιο,1.582cc,110bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Ύφασμα,11/2025,16ίντσες,89€,Άγνωστο,8,4,5,6ώρεςπριν,621,www.car.gr/333347697,"2721110463,6946297771,6944821090","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Προσθιοκίνητο(FWD),Γκρι,99g/km,Euro6,,,,,
Toyota,Auris,2014,Toyota Auris,ToyotaAuris'14,333120375,10.700€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2014,206.000χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Ασπρο,,4/2024,,89€,Μονό,,5,5,2ημέρεςπριν,1006,www.car.gr/333120375,6976405202,['Ελληνικής αντιπροσωπείας'],,,,,Euro5,5(Μικτό)λ/100χλμ,,,,
Mercedes-Benz,GLA180,2015,Mercedes-Benz GLA 180 '15  ¤¤ GLA 180d ¤¤ DIESEL ¤¤ EURO 6,Mercedes-BenzGLA180¤¤GLA180d¤¤DIESEL¤¤EURO6¤¤'15,329560145,22.490€,"397,01€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,9/2015,179.000χλμ,Πετρέλαιο,1.461cc,110bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Ύφασμα,8/2024,18ίντσες,102€,Άγνωστο,10,5,5,6ώρεςπριν,4684,www.car.gr/329560145,"2721110463,6946297771,6944821090","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,Προσθιοκίνητο(FWD),Δίχρωμο,105g/km,Euro6,,,,,
Renault,Megane,2019,Renault Megane '19,RenaultMegane1.5dCi/ENERGY/ΑΥΤΟΜΑΤΟ/NAVI'19,334046527,16.999€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2019,120.000χλμ,Πετρέλαιο,1.500cc,115bhp,Αυτόματο,Ασημί(Μεταλλικό),Ύφασμα,4/2025,16ίντσες,110€,Άγνωστο,8,5,5,4ώρεςπριν,334,www.car.gr/334046527,"2102461538,6980488392,6989820739","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",1,Προσθιοκίνητο(FWD),Μαύρο,107g/km,Euro6d,"4,50(Εντός)/3,80(Εκτός)/4,20(Μικτό)λ/100χλμ",,,,
Ford,Fiesta,2018,Ford Fiesta '18 1.5 TDCi ¤¤ TREND Plus,FordFiesta1.5TDCi¤¤TRENDPlus¤¤'18,333926307,13.650€,"240,96€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2018,47.000χλμ,Πετρέλαιο,1.499cc,85bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Ύφασμα,12/2025,16ίντσες,,Άγνωστο,7,4,5,6ώρεςπριν,323,www.car.gr/333926307,"2721110463,6946297771,6944821090","['Abs', 'Adaptive cruise control (acc)', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,Προσθιοκίνητο(FWD),Γκρι,,Euro6,,,,,
Toyota,Auris,2015,Toyota Auris '15 ¤ Design Edition ¤ EURO 6 ¤ NAVI ¤ CAMERA ¤ LED,ToyotaAuris¤DesignEdition¤EURO6¤NAVI¤CAMERA¤LED¤'15,328138894,14.990€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2015,60.000χλμ,Βενζίνη,1.200cc,120bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Ύφασμα,11/2024,17ίντσες,,Μονό,8,5,5,6ώρεςπριν,5684,www.car.gr/328138894,"2721110463,6946297771,6944821090","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,Προσθιοκίνητο(FWD),Γκρι,,Euro6,,,,,
Mercedes-Benz,A180,2016,Mercedes-Benz A 180 '16  d,Mercedes-BenzA180dUrban'16,334010073,17.700€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2016,109.400χλμ,Πετρέλαιο,1.461cc,109bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Δέρμα-ύφασμα,6/2024,17ίντσες,109€,Μονό,6,5,5,1ώραπριν,2304,www.car.gr/334010073,6974192931,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon', 'Φώτα που στρίβουν']",2,,Δίχρωμο,,,"5,50(Εντός)/5(Εκτός)/5(Μικτό)λ/100χλμ",,,,
Suzuki,SX4S-Cross,2016,Suzuki SX4 S-Cross '16  1.6 DDiS ¤¤ ΑΥΤΟΜΑΤΟ ¤ 4Χ4 ¤ NAVI ¤ CAMERA,SuzukiSX4S-Cross1.6DDiS¤¤ΑΥΤΟΜΑΤΟ¤4Χ4¤NAVI¤CAMERA¤'16,333646360,17.800€,"314,22€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2016,145.000χλμ,Πετρέλαιο,1.598cc,120bhp,Αυτόματο,Μαύρο(Μεταλλικό),Ύφασμα,1/2025,17ίντσες,116€,Άγνωστο,8,5,5,6ώρεςπριν,335,www.car.gr/333646360,"2721110463,6946297771,6944821090","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,4x4(4WD),Γκρι,119g/km,Euro6,,,,,
Nissan,Qashqai,2018,Nissan Qashqai,NissanQashqai'18,334422698,18.600€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2018,60.000χλμ,Βενζίνη,1.200cc,116bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,,,,Άγνωστο,,5,5,3ώρεςπριν,276,www.car.gr/334422698,"2102630622,6931579113","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']",,,,,,,,,,
Peugeot,406,2003,Peugeot 406 '03,Peugeot406Limo'03,334207347,3.500€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,8/2003,38.000χλμ,Βενζίνη,1.800cc,120bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,,,,Άγνωστο,,5,5,3ώρεςπριν,436,www.car.gr/334207347,"2102630622,6931579113","['Bucket καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Υδραυλικό τιμόνι']",1,,,,,,,,,
Seat,Leon,2007,Seat Leon '07 1.4,SeatLeon1.4Elegance'07,334088362,6.500€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2007,159.500χλμ,Αέριο(lpg)-βενζίνη,1.390cc,85bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,,17ίντσες,,Μονό,6,5,5,2ώρεςπριν,245,www.car.gr/334088362,6944881841,"['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι']",1,,Γκρι,,,,,,,
Opel,Astra,2013,Opel Astra,OpelAstra'13,332975528,10.500€,,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2013,168.000χλμ,Βενζίνη,1.400cc,140bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,,19ίντσες,,Άγνωστο,,3,5,3ώρεςπριν,1494,www.car.gr/332975528,"6983030741,6949192697","['Abs', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Ατρακάριστο', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Υδραυλικό τιμόνι', 'Φώτα led']",,,,,,,,,,
Volkswagen,Beetle,1967,Volkswagen Beetle '67 Σκαραβαίος,VolkswagenBeetleΣκαραβαίος1967'67,27835061,3.300€,,Μεταχειρισμένο,Κουπέ-Σπόρ,1/1967,60.000χλμ,Βενζίνη,1.600cc,60bhp,Χειροκίνητο,Ασπρο,Ύφασμα,,16ίντσες,,Ζυγό,,2,4,3ημέρεςπριν,3234,www.car.gr/27835061,6936556965,['Αντίκα'],2,Πισωκίνητο(RWD),Μαύρο,,,,,,,
