brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κτέομέχρι,Κλάσηρύπων,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Κατανάλωση,Ρύποι(co2),Χρηματοδότηση
Renault,Kadjar,2016,Renault Kadjar '16 1.6 DCI 130PS ENERGY,RenaultKadjar1.6DCI130PSENERGYINTENS-ΟΡΟΦΗ'16,329721894,17.200€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2016,167.000χλμ,Πετρέλαιο,1.600cc,130bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,19ίντσες,,Άγνωστο,5,5,3ημέρεςπριν,1203,www.car.gr/329721894,"2610420021,6944638384,6944638384","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Euro6,,,6,,117g/km,"327,39€/μήνα"
Hyundai,i10,2017,Hyundai i 10 '17  1.2,Hyundaii101.2YES!Plus'17,333971953,10.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2017,104.000χλμ,Βενζίνη,1.248cc,87bhp,Χειροκίνητο,Γκρι,Μαύρο,Ύφασμα,14ίντσες,112€,Άγνωστο,5,5,6λεπτάπριν,49,www.car.gr/333971953,"2382081302,6936994754,6936994755","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Immobilizer', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,Euro6,1,,6,"6,50(Εντός)/4,10(Εκτός)/4,90(Μικτό)λ/100χλμ",114g/km,
Seat,Ibiza,2009,Seat Ibiza,SeatIbiza'09,334474948,5.600€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2009,223.005χλμ,Βενζίνη,1.390cc,105bhp,Χειροκίνητο,Κόκκινο,,,,,Ζυγό,5,5,22ώρεςπριν,94,www.car.gr/334474948,6978084528,"['Abs', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι']",,,,,,,,
Opel,Tigra,2006,Opel Tigra,OpelTigra'06,327098491,4.800€,Μεταχειρισμένο,Κάμπριο/Roadster,8/2006,147.900χλμ,Αέριο(lpg)-βενζίνη,1.364cc,90bhp,Χειροκίνητο,Άλλο(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,17ίντσες,250€,Ζυγό,2,2,3ημέρεςπριν,1247,www.car.gr/327098491,6972038676,"['Abs', 'Cd player', 'Hardtop', 'Immobilizer', 'Usb', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",6/2024,Euro4,2,,4,,,
Fiat,Punto,2016,Fiat Punto,FiatPunto'16,334495509,8.000€,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,9/2016,160.000χλμ,Βενζίνη,1.248cc,95bhp,Χειροκίνητο,Μπλέ,,,,,Άγνωστο,5,5,3ημέρεςπριν,61,www.car.gr/334495509,6972423486,[],1/2025,,2,,,,,
Renault,Clio,2016,"Renault Clio '16 1,5 DCI","RenaultClio1,5DCIEXPRESION'16",332575741,10.700€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2016,135.000χλμ,Πετρέλαιο,1.500cc,75bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μαύρο,Ύφασμα,16ίντσες,0€,Άγνωστο,5,5,3ημέρεςπριν,286,www.car.gr/332575741,"2610420021,6944638384,6944638384","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Euro6,,,6,,85g/km,"203,66€/μήνα"
Ford,Fiesta,2015,Ford Fiesta '15  1.5 TDCi Trend,FordFiesta1.5TDCiTrend5P'15,330819482,9.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2015,158.000χλμ,Πετρέλαιο,1.500cc,75bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,16ίντσες,84€,Ζυγό,5,5,3ημέρεςπριν,554,www.car.gr/330819482,"2610420021,6944638384,6944638384","['Abs', 'Bucket καθίσματα', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",6/2023,Euro6,2,,6,,94g/km,"180,82€/μήνα"
Renault,Twingo,2016,Renault Twingo '16  SCe 70,RenaultTwingoSCe70Life'16,330718251,9.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2016,60.000χλμ,Βενζίνη,1.000cc,70bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,15ίντσες,,Άγνωστο,5,5,3ημέρεςπριν,530,www.car.gr/330718251,"2610420021,6944638384,6944638384","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Immobilizer', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Euro6,1,,6,,,"188,44€/μήνα"
Bmw,116,2015,Bmw 116 '15 DIESEL,Bmw116DIESELAYTOMATO-ΕΛΛΗΝΙΚΟ'15,329966495,17.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2015,116.000χλμ,Πετρέλαιο,1.500cc,115bhp,Αυτόματο,Μαύρο(Μεταλλικό),Γκρι,Alcantara,17ίντσες,86€,Ζυγό,5,5,3ημέρεςπριν,1780,www.car.gr/329966495,"2610420021,6944638384,6944638384","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",11/2024,Euro6,1,Πισωκίνητο(RWD),6,,96g/km,"333,10€/μήνα"
Mercedes-Benz,E250,2013,Mercedes-Benz E 250 '13 2.2 CDI 210PS,Mercedes-BenzE2502.2CDI210PSAYTOMATO'13,30719057,32.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2013,141.000χλμ,Πετρέλαιο,2.143cc,210bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,17ίντσες,165€,Ζυγό,2,4,3ημέρεςπριν,14511,www.car.gr/30719057,"2610420021,6944638384,6944638384","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,Euro5,2,Πισωκίνητο(RWD),6,,138g/km,"618,61€/μήνα"
Renault,Laguna,2009,Renault Laguna '09 2.0 DCI DIESEL EURO5,RenaultLaguna2.0DCIDIESELEURO5140PS'09,25129733,8.500€,Μεταχειρισμένο,Κόμπι/Kάραβαν,10/2009,163.000χλμ,Πετρέλαιο,2.000cc,140bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,18ίντσες,,Ζυγό,5,5,3ημέρεςπριν,6185,www.car.gr/25129733,"2610420021,6944638384,6944638384","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Immobilizer', 'Keyless', 'Navigation - gps', 'Parktronic', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,2,Προσθιοκίνητο(FWD),6,,,
Renault,Megane,2016,"Renault Megane '16 1,5 DCI 110PS","RenaultMegane1,5DCI110PSAYTOMATO'16",327096148,15.300€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2016,142.000χλμ,Πετρέλαιο,1.500cc,110bhp,Αυτόματο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,16ίντσες,88€,Άγνωστο,5,5,3ημέρεςπριν,1370,www.car.gr/327096148,"2610420021,6944638384,6944638384","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Euro6,,,6,,,"291,22€/μήνα"
Mercedes-Benz,GLA180,2015,Mercedes-Benz GLA 180 '15  d Urban,"Mercedes-BenzGLA180dUrban7G-DCT,XENON,NAVI'15",326596031,25.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2015,150.000χλμ,Πετρέλαιο,1.500cc,110bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,18ίντσες,,Άγνωστο,5,5,3ημέρεςπριν,2338,www.car.gr/326596031,"2610420021,6944638384,6944638384","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,Euro6,,,6,,,"492,98€/μήνα"
Bmw,X3,2009,Bmw X3 '09  xDrive20d Automatic-Panorama-navi ΔΩΡΟ ΤΕΛΗ,BmwX3xDrive20dAutomatic-Panorama-naviΔΩΡΟΤΕΛΗ2023'09,325373976,17.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2009,163.000χλμ,Πετρέλαιο,2.000cc,177bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Μπεζ,Δέρμα,18ίντσες,,Ζυγό,5,6,3ημέρεςπριν,4975,www.car.gr/325373976,"2610420021,6944638384,6944638384","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,,4x4(4WD),6,,,"340,71€/μήνα"
LandRover,RangeRoverEvoque,2016,Land Rover Range Rover Evoque '16,"LandRoverRangeRoverEvoqueDYNAMIC-PANORAMA-20""-FACELIFT'16",325373812,40.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2016,83.000χλμ,Πετρέλαιο,2.000cc,150bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Μπεζ,Δέρμα,20ίντσες,,Ζυγό,5,5,3ημέρεςπριν,3963,www.car.gr/325373812,"2610420021,6944638384,6944638384","['Abs', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,Euro6,,4x4(4WD),8,,,"778,49€/μήνα"
Ford,Ranger,2003,Ford Ranger '03,FordRangerΙΔΙΩΤΗΣ'03,330162621,10.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2003,130.000χλμ,Πετρέλαιο,2.500cc,109bhp,Χειροκίνητο,Πράσινοσκούρο(Μεταλλικό),Γκρι,Ύφασμα,15ίντσες,105€,Ζυγό,5,5,15λεπτάπριν,731,www.car.gr/330162621,6948711080,"['Immobilizer', 'Turbo', 'Usb', 'Αγροτικό', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Υδραυλικό τιμόνι']",5/2025,,1,,2,,,
Renault,Kadjar,2017,Renault Kadjar '17 1.5 DCI 110PS ENERGY,RenaultKadjar1.5DCI110PSENERGYINTENS'17,329721579,18.300€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,3/2017,115.000χλμ,Πετρέλαιο,1.500cc,110bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,19ίντσες,,Άγνωστο,5,5,3ημέρεςπριν,1099,www.car.gr/329721579,"2610420021,6944638384,6944638384","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Euro6,1,,6,,103g/km,"348,32€/μήνα"
