brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Κτέομέχρι,Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Επένδυσησαλονιού,Χρηματοδότηση,Ρύποι(co2),Τιμήπολύτεκνου,Παράδοσηστοσπίτι
Honda,CR-V,2015,Honda CR-V '15  1.6 i-DTEC 4x4,HondaCR-V1.6i-DTEC4x4Αυτόματο!!!'15,333291406,26.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,11/2015,112.000χλμ,Πετρέλαιο,1.600cc,160bhp,Αυτόματο,Μαύρο(Μεταλλικό),,8/2024,Euro6d,17ίντσες,160€,"5,70(Εντός)/5,20(Εκτός)/5,50(Μικτό)λ/100χλμ",Ζυγό,1,4x4(4WD),10,5,5,1ώραπριν,572,www.car.gr/333291406,6980160609,"['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Cd player', '{Cruise control', '{Dvd', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Απόσυρσης-δικαίωμα', '{Ατρακάριστο', '{Βιβλίο service', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Κοτσαδόρος', '{Μη καπνιστή', '{Μπλοκέ διαφορικό', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τηλέφωνο', '{value:b', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",,"239,35€/μήνα",134g/km,€22.900,Ναι
Mercedes-Benz,C180,2009,Mercedes-Benz C 180,Mercedes-BenzC180'09,334074319,15.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,12/2009,330.000χλμ,Βενζίνη,1.597cc,210bhp,Χειροκίνητο,Μαύρο,Μαύρο,,,18ίντσες,,,Ζυγό,,Πισωκίνητο(RWD),,5,5,3ημέρεςπριν,423,www.car.gr/334074319,6986631109,[],Δέρμα,,155g/km,,
Mercedes-Benz,C180,2014,Mercedes-Benz C 180 '14  AMG LOOK ΕΛΛΗΝΙΚΗΣ ΑΝΤΙΠΡΟΣΩΠΕΙΑΣ,Mercedes-BenzC180AMGLOOKΕΛΛΗΝΙΚΗΣΑΝΤΙΠΡΟΣΩΠΕΙΑΣ'14,332577113,26.800€,Μεταχειρισμένο,Λιμουζίνα/Sedan,6/2014,60.000χλμ,Βενζίνη,1.600cc,185bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Δίχρωμο,,,18ίντσες,115€,,Ζυγό,2,Πισωκίνητο(RWD),8,5,5,35λεπτάπριν,6595,www.car.gr/332577113,"6944166101,6946314342","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός αυτόματος', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Ύφασμα,,,,
Mercedes-Benz,C300,2017,Mercedes-Benz C 300 '17 AMG,Mercedes-BenzC300AMGLINE'17,334266718,48.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2017,55.000χλμ,Βενζίνη,2.000cc,245bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,10/2023,Euro6,19ίντσες,284€,"8,50(Εντός)/5,40(Εκτός)/6,50(Μικτό)λ/100χλμ",Άγνωστο,2,Πισωκίνητο(RWD),10,2,4,3ημέρεςπριν,2030,www.car.gr/334266718,6978466065,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Δέρμα,,154g/km,,
Subaru,Forester,2016,Subaru Forester '16 ΜΟΝΑΔΙΚΟ!!!FULL,SubaruForesterΜΟΝΑΔΙΚΟ!!!FULLEXTRA!!!'16,333673901,24.990€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2016,150.000χλμ,Πετρέλαιο,1.998cc,150bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,1/2025,Euro6d,18ίντσες,285€,"5,90(Εντός)/5,50(Εκτός)/5,70(Μικτό)λ/100χλμ",Ζυγό,1,4x4(4WD),10,5,5,1ώραπριν,820,www.car.gr/333673901,6980160609,"['Abs', 'Apple carplay', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Καθίσματα 7 +', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'value:a', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Δέρμα,"194,56€/μήνα",158g/km,€21.990,
Bmw,418GranCoupe,2015,Bmw 418 Gran Coupe '15 Sport line! COMING,Bmw418GranCoupeSportline!COMINGSOON'15,332142393,29.900€,Μεταχειρισμένο,Κουπέ-Σπόρ,10/2015,110.000χλμ,Πετρέλαιο,1.998cc,150bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μαύρο,3/2024,Euro6d,18ίντσες,155€,"5,80(Εντός)/5,20(Εκτός)/5,50(Μικτό)λ/100χλμ",Άγνωστο,1,Πισωκίνητο(RWD),10,5,5,1ώραπριν,4834,www.car.gr/332142393,6980160609,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Καθίσματα 7 +', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'value:a', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Δέρμα,"465,58€/μήνα",,€26.900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkswagen,Passat,2009,Volkswagen Passat,VolkswagenPassat'09,320661522,8.800€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2009,178.759χλμ,Βενζίνη,1.400cc,127bhp,Χειροκίνητο,Μαύρο,,,,18ίντσες,255€,,Ζυγό,,Προσθιοκίνητο(FWD),8,5,5,20ώρεςπριν,10238,www.car.gr/320661522,6948494378,"['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Turbo', 'Usb', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υπολογιστής ταξιδιού']",,,,,
Audi,Q7,2007,Audi Q7 '07 PANORAMA OROFI MPEZ DERMA,AudiQ7PANORAMAOROFIMPEZDERMA'07,325983721,15.890€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,11/2007,186χλμ,Βενζίνη,4.200cc,420bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μπεζ,8/2019,,20ίντσες,,,Άγνωστο,,4x4(4WD),10,5,5,2ώρεςπριν,745,www.car.gr/325983721,"2102446576,6906001617","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Immobilizer', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon', 'Φώτα που στρίβουν']",Δέρμα,,,,
Smart,ForFour,2016,Smart ForFour,SmartForFour'16,330834975,11.500€,Μεταχειρισμένο,Αλλο,2/2016,91.530χλμ,Βενζίνη,999cc,70bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,,,,,,Άγνωστο,2,,,5,5,3ώρεςπριν,1139,www.car.gr/330834975,"2610428932,6948722036,6944582398","['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",Ύφασμα,,,,
