brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Κλάσηρύπων,Κατανάλωση,Πινακίδα,Κίνηση,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Σύνολοκατόχων,Αερόσακοι,Παράδοσηστοσπίτι,Χρηματοδότηση,Τέληκυκλοφορίας,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Τιμήπολύτεκνου
Bmw,740,2009,Bmw 740,Bmw740'09,331940126,23.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2009,264.000χλμ,Βενζίνη,3.000cc,326bhp,Αυτόματο,Γκρι,Μπεζ,Δέρμα,1/2024,,20ίντσες,,,Ζυγό,Πισωκίνητο(RWD),5,5,1ώραπριν,4854,www.car.gr/331940126,6977583237,"['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon', 'Φώτα που στρίβουν']",3,10,,,920€,,,,,,
Jeep,Compass,2023,Jeep Compass '23,JeepCompassLONGITUDE'23,331097976,32.800€,,4χ4/Τζιπ/Suv,2/2023Καινούριο,,Βενζίνη,1.300cc,130bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,1/2027,,17ίντσες,Euro6d-temp,,Χωρίς,Προσθιοκίνητο(FWD),5,5,4ώρεςπριν,2610,www.car.gr/331097976,"2421033136,2421084800","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,8,,,,,,,,,
Ford,TransitConnect,2004,Ford Transit Connect,FordTransitConnect'04,334335531,5.000€Χωρίςφπα,Μεταχειρισμένο,Van/MiniBus,1/2004,135.500χλμ,Βενζίνη,1.800cc,120bhp,Χειροκίνητο,Ασπρο,Γκρι,,,,16ίντσες,,,Άγνωστο,,2,2,1ώραπριν,419,www.car.gr/334335531,6977583237,"['{Abs', '{Bluetooth', '{Cd player', '{Immobilizer', '{Usb', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Ράγες οροφής', '{Συρόμενη πόρτα δεξιά', '{Τιμή χωρίς φπα', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,,,,,,,
Kia,Picanto,2019,Kia Picanto '19 1.0 ECO DYNAMICS / EDITION,KiaPicanto1.0ECODYNAMICS/EDITION7'19,333528544,11.950€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2019,46.000χλμ,Βενζίνη,1.000cc,67bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,,97g/km,14ίντσες,,,Άγνωστο,Προσθιοκίνητο(FWD),5,5,24λεπτάπριν,178,www.car.gr/333528544,"2114115888,6956616271","['Abs', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",1,6,Ναι,,,,,,,,
Bmw,735,2001,Bmw 735,Bmw735'01,334377905,7.900€,Μεταχειρισμένο,Λιμουζίνα/Sedan,8/2001,178.000χλμ,Βενζίνη,3.600cc,272bhp,Αυτόματο,Γκρι(Μεταλλικό),Μπεζ,Δέρμα,6/2025,,20ίντσες,,"12(Εντός)/9(Εκτός)/10,50(Μικτό)λ/100χλμ",Ζυγό,,5,5,6ώρεςπριν,767,www.car.gr/334377905,6907322838,"['Abs', 'Adaptive cruise control (acc)', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",1,6,,,,,,,,,
Mercedes-Benz,Sprinter,2014,Mercedes-Benz Sprinter '14 SPRINTER 316,Mercedes-BenzSprinterSPRINTER316#ΠΡΟΣΦΟΡΑ#'14,322248583,19.990€,Μεταχειρισμένο,Van/MiniBus,1/2014,213.467χλμ,Πετρέλαιο,2.143cc,160bhp,Χειροκίνητο,Ασπρο,,,,,,,,Άγνωστο,,5,3,1ημέραπριν,18,www.car.gr/322248583,"2104831994,6970923283","['{Abs', '{Cd player', '{Esp', '{Turbo', '{Ατρακάριστο', '{Εγγύηση', '{Ηλεκτρικά παράθυρα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Υδραυλικό τιμόνι']",1,2,,,,,,,,,
Mercedes-Benz,Sprinter,2019,Mercedes-Benz Sprinter '19 SPRINTER 316 AYTOMATO,Mercedes-BenzSprinterSPRINTER316AYTOMATO#ΠΡΟΣΦΟΡΑ#'19,330419143,31.490€Χωρίςφπα,Μεταχειρισμένο,Van/MiniBus,4/2019,168.534χλμ,Πετρέλαιο,2.143cc,163bhp,Αυτόματο,Ασπρο,Μαύρο,,,,,,,Άγνωστο,,5,3,1ημέραπριν,130,www.car.gr/330419143,"2104831994,6970923283","['{Abs', '{Esp', '{Keyless', '{Turbo', '{Ατρακάριστο', '{Εγγύηση', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Συρόμενη πόρτα δεξιά', '{Τιμή χωρίς φπα', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι']",1,,,,,,,,,,
Volkswagen,Touareg,2004,Volkswagen Touareg,VolkswagenTouareg'04,332089782,9.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2004,206.500χλμ,Βενζίνη,3.200cc,241bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μπεζ,Δέρμα,,,19ίντσες,,,Ζυγό,4x4(4WD),5,5,1ώραπριν,2434,www.car.gr/332089782,6977583237,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Usb', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,8,,,1.050€,,,,,,
Citroen,AMI8,2022,Citroen AMI 8 '22 MY AMI,CitroenAMI8MYAMIORANGE'22,326823437,8.000€,,Κόμπακτ/Hatchback,10/2022Καινούριο,,Ηλεκτρικό,,8bhp,Αυτόματο,Μπλέ,Μαύρο,Δερματίνη,,,14ίντσες,,,Χωρίς,Προσθιοκίνητο(FWD),2,2,4ώρεςπριν,26112,www.car.gr/326823437,"2421033136,2421084800","['Bucket καθίσματα', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Μη καπνιστή', 'Οροφή πανοραμική', 'Υδραυλικό τιμόνι', 'Φώτα led']",,,,,,6kw,75χλμ,3ώρες,5kwh,,
Audi,A3,2020,Audi A3 '20 SPORTBACK 1.6 30 TDI 116HP BUSINESS,AudiA3SPORTBACK1.630TDI116HPBUSINESSΕΛΛΗΝΙΚΟ'20,333951761,16.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2020,187.000χλμ,Πετρέλαιο,1.600cc,115bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,5/2024,101g/km,16ίντσες,Euro6,5(Εντός)/3(Εκτός)/4(Μικτό)λ/100χλμ,Ζυγό,Προσθιοκίνητο(FWD),5,5,6ώρεςπριν,322,www.car.gr/333951761,"2314001383,6972855407","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",1,8,,"237,04€/μήνα",99€,,,,,,
Ford,TransitConnect,2016,Ford Transit Connect '16,FordTransitConnectMAXI/EURO6'16,332118434,12.990€Χωρίςφπα,Μεταχειρισμένο,Van/MiniBus,7/2016,136.758χλμ,Πετρέλαιο,1.500cc,95bhp,Χειροκίνητο,Ασπρο,Δίχρωμο,Ύφασμα,,,15ίντσες,Euro6,,Άγνωστο,Προσθιοκίνητο(FWD),5,2,1ημέραπριν,23,www.car.gr/332118434,"2104831994,6970923283","['{Ατρακάριστο', '{Βιβλίο service', '{Τιμή χωρίς φπα']",1,2,,,,,,,,,
Opel,CrosslandX,2019,Opel Crossland X '19 LOOK 120,OpelCrosslandXLOOK120#ΠΡΟΣΦΟΡΑ#'19,331410952,15.990€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,9/2019,98.183χλμ,Πετρέλαιο,1.499cc,102bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Δίχρωμο,Ύφασμα,,,16ίντσες,Euro6,,Άγνωστο,Προσθιοκίνητο(FWD),5,5,1ημέραπριν,261,www.car.gr/331410952,"2104831994,6970923283","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",1,8,,,,,,,,,
Mercedes-Benz,Sprinter,2014,Mercedes-Benz Sprinter '14 SPRINTER 313,Mercedes-BenzSprinterSPRINTER313#ΠΡΟΣΦΟΡΑ#'14,322113232,16.990€Χωρίςφπα,Μεταχειρισμένο,Van/MiniBus,10/2014,209.678χλμ,Πετρέλαιο,2.143cc,130bhp,Χειροκίνητο,Μπλέ,,,,,,,,Άγνωστο,,5,3,1ημέραπριν,45,www.car.gr/322113232,"2104831994,6970923283,6970923283","['{Abs', '{Cd player', '{Esp', '{Turbo', '{Εγγύηση', '{Ηλεκτρικά παράθυρα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Τιμή χωρίς φπα', '{Υδραυλικό τιμόνι']",1,2,,,,,,,,,
Mercedes-Benz,Sprinter,2015,Mercedes-Benz Sprinter '15 SPRINTER 313,Mercedes-BenzSprinterSPRINTER313#ΠΡΟΣΦΟΡΑ#'15,330419416,19.990€,Μεταχειρισμένο,Van/MiniBus,7/2015,193.225χλμ,Πετρέλαιο,2.143cc,130bhp,Χειροκίνητο,Ασπρο,,,,,,,,Άγνωστο,,5,3,1ημέραπριν,8,www.car.gr/330419416,"2104831994,6970923283","['{Abs', '{Esp', '{Turbo', '{Ατρακάριστο', '{Εγγύηση', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Συρόμενη πόρτα δεξιά', '{Υδραυλικό τιμόνι']",1,,,,,,,,,,
Mercedes-Benz,GL350,2013,Mercedes-Benz GL 350 '13,Mercedes-BenzGL350AMG'13,334057637,52.990€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2013,213.569χλμ,Πετρέλαιο,3.000cc,258bhp,Αυτόματο,Μαύρο(Μεταλλικό),Άλλο,Δέρμα,1/2024,,20ίντσες,Euro6,,Άγνωστο,,5,7,1ημέραπριν,89,www.car.gr/334057637,"2104831994,6970923283","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Καθίσματα 7 +', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",1,10,,,517€,,,,,,
Peugeot,3008,2023,Peugeot 3008 '23  1.2 PureTech 130 Active PACK,Peugeot30081.2PureTech130ActivePACKΕΤΟΙΜΟΠΑΡΑΔΟΤΟ'23,319394801,27.900€,,4χ4/Τζιπ/Suv,5/2023Καινούριο,,Βενζίνη,1.200cc,130bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,5/2027,,17ίντσες,Euro6c,,Χωρίς,,5,5,4ώρεςπριν,3008,www.car.gr/319394801,"2410230500,2410571437","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,6,,,,,,,,,
Ford,Fiesta,2016,Ford Fiesta,FordFiesta'16,333645226,9.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2016,91.657χλμ,Βενζίνη,1.200cc,80bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,,,,,,,Άγνωστο,,5,5,1ημέραπριν,60,www.car.gr/333645226,"2104831994,6970923283","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,,,,,
Ford,TransitCustom,2018,Ford Transit Custom '18 ΝΕΟ ΜΟΝΤΕΛΟ ΜΑΧΙ TREND,FordTransitCustomΝΕΟΜΟΝΤΕΛΟΜΑΧΙTREND+'18,331005987,21.490€Χωρίςφπα,Μεταχειρισμένο,Van/MiniBus,7/2018,111.780χλμ,Πετρέλαιο,2.000cc,105bhp,Χειροκίνητο,Ασπρο,Δίχρωμο,Ύφασμα,,,16ίντσες,Euro6c,,Άγνωστο,Προσθιοκίνητο(FWD),5,3,1ημέραπριν,59,www.car.gr/331005987,"2104831994,6970923283","['{Abs', '{Android auto', '{Bluetooth', '{Esp', '{Hill assist', '{Immobilizer', '{Navigation - gps', '{Parktronic', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Εγγύηση', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τιμή χωρίς φπα', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",1,2,,,105€,,,,,,
Mercedes-Benz,Sprinter,2016,Mercedes-Benz Sprinter '16,Mercedes-BenzSprinter314'16,333706948,100€,Μεταχειρισμένο,Van/MiniBus,10/2016,207.135χλμ,Πετρέλαιο,2.143cc,143bhp,Χειροκίνητο,Ασπρο,,,,,,Euro6,,Άγνωστο,,5,3,1ημέραπριν,12,www.car.gr/333706948,"2104831994,6970923283",[],1,,,,,,,,,,
Fiat,Talento,2017,Fiat Talento '17   ΨΥΓΕΙΟ TALENTO MAXI,FiatTalentoΨΥΓΕΙΟTALENTOMAXI#ΠΡΟΣΦΟΡΑ#'17,326888164,18.490€Χωρίςφπα,Μεταχειρισμένο,Van/MiniBus,7/2017,153.390χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Ασπρο,,,,,,,,Άγνωστο,,5,3,1ημέραπριν,38,www.car.gr/326888164,"2104831994,6970923283","['{Abs', '{Esp', '{Turbo', '{Ατρακάριστο', '{Εγγύηση', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Συρόμενη πόρτα δεξιά', '{Τιμή χωρίς φπα', '{Υδραυλικό τιμόνι']",1,,,,,,,,,,
Nissan,Navara,2012,Nissan Navara '12 ΑΥΤΟΜΑΤΟ V6 FULL,NissanNavaraΑΥΤΟΜΑΤΟV6FULLEXTRA'12,332885930,21.990€,Μεταχειρισμένο,Αγροτικό/Pickup,1/2012,189.325χλμ,Πετρέλαιο,3.000cc,230bhp,Αυτόματο,Ασπρο,Δίχρωμο,Δέρμα,,,17ίντσες,,,Άγνωστο,,5,5,1ημέραπριν,43,www.car.gr/332885930,"2104831994,6970923283","['{Abs', '{Bluetooth', '{Cd player', '{Cruise control', '{Esp', '{Hill assist', '{Immobilizer', '{Navigation - gps', '{Parktronic', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Αισθητήρας βροχής', '{Αντ\\u002Fγή με σκάφος δεκτή', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Κοτσαδόρος', '{Μη καπνιστή', '{Μπλοκέ διαφορικό', '{Οθόνη tft', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα xenon']",1,4,,,,,,,,,
Mercedes-Benz,Sprinter,2015,Mercedes-Benz Sprinter '15 SPRINTER 516,Mercedes-BenzSprinterSPRINTER516#ΠΡΟΣΦΟΡΑ#'15,330419318,24.990€Χωρίςφπα,Μεταχειρισμένο,Van/MiniBus,10/2015,217.566χλμ,Πετρέλαιο,2.143cc,163bhp,Χειροκίνητο,Μπλέ,,,,,,,,Άγνωστο,,4,3,1ημέραπριν,45,www.car.gr/330419318,"2104831994,6970923283","['{Abs', '{Esp', '{Turbo', '{Ατρακάριστο', '{Εγγύηση', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Τιμή χωρίς φπα', '{Υδραυλικό τιμόνι']",1,,,,,,,,,,
Piaggio,Porter,2013,Piaggio Porter '13 EURO 5/ΑΝΑΤΡΟΠΉ/ΝΕΟ ΜΟΝΤΕΛΟ,PiaggioPorterEURO5/ΑΝΑΤΡΟΠΉ/ΝΕΟΜΟΝΤΕΛΟ'13,333080875,13.490€,Μεταχειρισμένο,Αγροτικό/Pickup,6/2013,81.134χλμ,Βενζίνη,1.300cc,71bhp,Χειροκίνητο,Πράσινο,Δίχρωμο,Δέρμα,,,14ίντσες,Euro5,,Άγνωστο,Πισωκίνητο(RWD),2,2,1ημέραπριν,25,www.car.gr/333080875,"2104831994,6970923283",[],1,,,,,,,,,,
Peugeot,208,2015,Peugeot 208 '15 ΕΠΑΓΓΕΛΑΜΑΤΙΚΟ ΜΕ ΕΓΓΥΗΣΗ !! EURO 6 CRS,Peugeot208ΕΠΑΓΓΕΛΑΜΑΤΙΚΟΜΕΕΓΓΥΗΣΗ!!EURO6CRSMOTORS'15,333258970,7.290€Χωρίςφπα,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,11/2015,175.000χλμ,Πετρέλαιο,1.560cc,100bhp,Χειροκίνητο,Ασπρο,,Ύφασμα,,90g/km,,Euro6,,Άγνωστο,Προσθιοκίνητο(FWD),5,2,1ημέραπριν,32,www.car.gr/333258970,"2106617085,2106617086","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Tcs - asr', 'Turbo', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Τιμή χωρίς φπα', 'Υδραυλικό τιμόνι', 'Φώτα led']",,4,,,0€,,,,,,
Mercedes-Benz,Sprinter,2015,Mercedes-Benz Sprinter '15  SPRINTER 316,Mercedes-BenzSprinterSPRINTER316#ΠΡΟΣΦΟΡΑ#'15,320211186,22.990€Χωρίςφπα,Μεταχειρισμένο,Van/MiniBus,3/2015,187.390χλμ,Πετρέλαιο,2.200cc,163bhp,Αυτόματο,Ασπρο,,,,,,,,Άγνωστο,,5,3,1ημέραπριν,27,www.car.gr/320211186,"2104831994,6970923283","['Abs', 'Esp', 'Navigation - gps', 'Turbo', 'Ατρακάριστο', 'Εγγύηση', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Τιμή χωρίς φπα']",1,2,,,,,,,,,
