brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κτέομέχρι,Κατανάλωση,Κίνηση,Παράδοσηστοσπίτι
Bmw,X5,2008,Bmw X5,BmwX5'08,317186165,19.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2008,217.000χλμ,Βενζίνη,3.000cc,235bhp,Αυτόματο,Μαύρο(Μεταλλικό),,,,,,,Ζυγό,,,5,5,2ώρεςπριν,1175,www.car.gr/317186165,"2310925727,6996505656","['{Abs', '{Android auto', '{Bluetooth', '{Cd player', '{Cruise control', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Tcs - asr', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα xenon']",,,,
Toyota,Aygo,2018,Toyota Aygo,ToyotaAygo'18,331857366,10.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2018,78.000χλμ,Βενζίνη,998cc,72bhp,Χειροκίνητο,Ασημί,Δίχρωμο,Ύφασμα,,,15ίντσες,,Χωρίς,,,5,4,1ημέραπριν,123,www.car.gr/331857366,"2105155318,2105155319",[],,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkswagen,Passat,2007,Volkswagen Passat,VolkswagenPassat'07,317186762,4.990€,Μεταχειρισμένο,Λιμουζίνα/Sedan,3/2007,165.000χλμ,Βενζίνη,2.000cc,150bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,,,,,,Μονό,,,5,5,2ώρεςπριν,9280,www.car.gr/317186762,"2310925727,6996505656","['Abs', 'Cd player', 'Cruise control', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volvo,XC90,2006,Volvo XC 90 '06 XC 90 2.4,VolvoXC90XC902.4D5'06,329749679,9.990€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2006,168.000χλμ,Πετρέλαιο,2.400cc,185bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα,,,17ίντσες,,Ζυγό,1,8,5,5,2ώρεςπριν,1944,www.car.gr/329749679,"2310925727,6996505656","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Tcs - asr', 'Turbo', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",1/2024,"6,50(Μικτό)λ/100χλμ",4x4(4WD),
Honda,Civic,2015,Honda Civic '15 Elegance ΠΛΟΥΣΙΑ,HondaCivicEleganceΠΛΟΥΣΙΑΕΚΔΟΣΗ'15,333453782,16.400€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2015,82.000χλμ,Βενζίνη,1.339cc,101bhp,Χειροκίνητο,Καφέ(Μεταλλικό),Μαύρο,Ύφασμα,,Euro5,17ίντσες,108€,Ζυγό,2,8,5,5,2ώρεςπριν,1773,www.car.gr/333453782,"2106398990,6972079107,6972079106","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",2/2024,6(Εντός)/4(Εκτός)/5(Μικτό)λ/100χλμ,,Ναι
Peugeot,108,2017,Peugeot 108 '17 ALLURE ΜΗΔΕΝΙΚΑ,Peugeot108ALLUREΜΗΔΕΝΙΚΑΤΕΛΗ'17,334104061,9.495€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2017,56.000χλμ,Βενζίνη,998cc,72bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,86g/km,Euro6,15ίντσες,,Μονό,1,6,5,4,2ώρεςπριν,311,www.car.gr/334104061,6936977939,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",4/2025,,,
Porsche,Cayenne,2009,Porsche Cayenne,PorscheCayenne'09,317188653,16.990€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2009,230.000χλμ,Βενζίνη,4.800cc,400bhp,Αυτόματο,Μπεζ(Μεταλλικό),,Δέρμα,,,,,Ζυγό,,,5,5,2ώρεςπριν,2835,www.car.gr/317188653,"2310925727,6996505656","['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,
Bmw,520,2011,Bmw 520 '11 DIESEL,Bmw520DIESEL'11,330493877,18.900€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2011,284χλμ,Πετρέλαιο,1.995cc,190bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Γκρι,Δέρμα,,Euro5,18ίντσες,140€,Ζυγό,1,10,4,5,2ώρεςπριν,2406,www.car.gr/330493877,"2310925727,6996505656","['Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",1/2024,,Πισωκίνητο(RWD),
Mini,ONE,2013,Mini ONE '13 ΜΕ ΕΓΓΥΗΣΗ !! ΑΡΙΣΤΟ !!! EURO 6 CRS,MiniONEΜΕΕΓΓΥΗΣΗ!!ΑΡΙΣΤΟ!!!EURO6CRSMOTORS'13,333087519,8.690€,Μεταχειρισμένο,Αλλο,11/2013,122.300χλμ,Βενζίνη,1.598cc,75bhp,Χειροκίνητο,Μαύρο,,Ύφασμα,121g/km,Euro6,15ίντσες,145€,Άγνωστο,,10,2,4,18ώρεςπριν,13,www.car.gr/333087519,"2106617088,2106617087","['Abs', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Tcs - asr', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,Προσθιοκίνητο(FWD),
