brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Αερόσακοι,Κτέομέχρι,Ρύποι(co2),Κλάσηρύπων,Χρηματοδότηση
Ford,Raptor,2020,Ford Raptor,FordRaptor'20,319763751,53.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2020,85.000χλμ,Πετρέλαιο,2.000cc,212bhp,Αυτόματο,Μπλεσκούρο,Μαύρο,Δέρμα,17ίντσες,105€,,Άγνωστο,1,4x4(4WD),5,5,3ώρεςπριν,17104,www.car.gr/319763751,6988113308,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αγροτικό', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",8,2/2024,,Euro6,
Ford,Fiesta,2015,Ford Fiesta '15 ST-LINE @[email,FordFiestaST-LINE@[emailprotected]'15,328911039,12.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2015,120.000χλμ,Πετρέλαιο,1.500cc,95bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),Μαύρο,Δέρμα,17ίντσες,98€,"5(Εντός)/6(Εκτός)/5,50(Μικτό)λ/100χλμ",Άγνωστο,,,5,5,3ώρεςπριν,2824,www.car.gr/328911039,6988113308,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",6,12/2024,,Euro6,
Ford,Fiesta,2017,Ford Fiesta '17,FordFiestaVAN'17,332919704,7.950€,Μεταχειρισμένο,Van/MiniBus,5/2017,118.000χλμ,Πετρέλαιο,1.500cc,75bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,15ίντσες,105€,,Άγνωστο,1,,2,2,3ώρεςπριν,1120,www.car.gr/332919704,6988113308,"['Abs', 'Bluetooth', 'Cruise control', 'Hill assist', 'Immobilizer', 'Turbo', 'Usb', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",4,4/2025,,Euro6,
Ford,Raptor,2021,Ford Raptor,FordRaptor'21,333757682,48.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,11/2021,30.000χλμ,Πετρέλαιο,2.000cc,212bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,17ίντσες,105€,,Άγνωστο,1,4x4(4WD),4,5,3ώρεςπριν,1924,www.car.gr/333757682,6988113308,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",10,3/2025,,Euro6d-temp,
Ford,Ranger,2017,Ford Ranger '17 WILDTRAK 3.2cc,FordRangerWILDTRAK3.2cc200HP_MΠΛΟΚΕ_ΔΙΑΦΟΡΙΚΟ'17,324805759,34.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2017,107.000χλμ,Πετρέλαιο,3.200cc,200bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,18ίντσες,105€,,Άγνωστο,1,4x4(4WD),4,5,3ώρεςπριν,4172,www.car.gr/324805759,6988113308,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",8,7/2024,,Euro6,
Hyundai,Accent,2003,Hyundai Accent,HyundaiAccent'03,333744398,3.400€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2003,210.000χλμ,Βενζίνη,1.300cc,90bhp,Χειροκίνητο,Μπεζ,Μαύρο,Δέρμα,15ίντσες,,,Ζυγό,,,4,4,3ώρεςπριν,411,www.car.gr/333744398,6988113308,[],,5/2025,,Euro3,
Ford,Fiesta,2017,Ford Fiesta,FordFiesta'17,333676471,7.900€,Μεταχειρισμένο,Van/MiniBus,1/2017,105.000χλμ,Πετρέλαιο,1.500cc,75bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,16ίντσες,,5(Εντός)/λ/100χλμ,Άγνωστο,1,,2,2,3ώρεςπριν,830,www.car.gr/333676471,6988113308,[],,5/2025,105g/km,Euro6,
Ford,Fiesta,2017,Ford Fiesta '17 VAN,FordFiestaVANTITANIUM'17,331591011,9.800€,Μεταχειρισμένο,Van/MiniBus,4/2017,150.000χλμ,Πετρέλαιο,1.500cc,75bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Βελούδο,15ίντσες,105€,5(Εντός)/5(Εκτός)/5(Μικτό)λ/100χλμ,Άγνωστο,,,2,2,3ώρεςπριν,695,www.car.gr/331591011,6988113308,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Turbo', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",4,3/2025,94g/km,Euro6,
Fiat,Bravo,2009,Fiat Bravo '09  1.6 JTD Multijet,FiatBravo1.6JTDMultijet16V'09,324781293,6.550€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2009,220.000χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,16ίντσες,280€,,Μονό,,,5,5,3ώρεςπριν,2744,www.car.gr/324781293,6988113308,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Hill assist', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα που στρίβουν']",6,5/2024,129g/km,Euro5,
Ford,TransitConnect,2018,Ford Transit Connect '18 CAMERA-ΟΘΟΝΗ-FULL,FordTransitConnectCAMERA-ΟΘΟΝΗ-FULLEXTRA'18,333676076,14.900€,Μεταχειρισμένο,Van/MiniBus,1/2018,150.000χλμ,Πετρέλαιο,1.500cc,101bhp,Χειροκίνητο,Άλλο(Μεταλλικό),Μαύρο,Ύφασμα,17ίντσες,105€,,Άγνωστο,1,,2,2,3ώρεςπριν,259,www.car.gr/333676076,6988113308,"['Abs', 'Android auto', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Ράδιοκασετ\\u002Fνο', 'Συρόμενη πόρτα δεξιά', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",6,5/2025,,Euro6,
Ford,Ranger,2017,Ford Ranger '17 WILDTRAK,FordRangerWILDTRAKΧΕΙΡΟΚΙΝΗΤΟ'17,330238590,29.900€,Μεταχειρισμένο,Αγροτικό/Pickup,1/2017,120.000χλμ,Πετρέλαιο,3.200cc,200bhp,Χειροκίνητο,Πορτοκαλί(Μεταλλικό),Μαύρο,Δέρμα,18ίντσες,105€,11(Μικτό)λ/100χλμ,Άγνωστο,1,4x4(4WD),4,5,3ώρεςπριν,3487,www.car.gr/330238590,6988113308,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αγροτικό', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",10,1/2025,,Euro6c,
Ford,Fiesta,2016,Ford Fiesta '16  1.5 TDCi,FordFiesta1.5TDCiVAN'16,322889451,9.900€,Μεταχειρισμένο,Van/MiniBus,5/2016,105.000χλμ,Πετρέλαιο,1.500cc,75bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,15ίντσες,105€,,Άγνωστο,1,,2,2,3ώρεςπριν,1954,www.car.gr/322889451,6988113308,[],4,5/2024,94g/km,Euro6,
Audi,A3,2018,Audi A3 '18 SEDAN S-LINE BLACKEDITION,AudiA3SEDANS-LINEBLACKEDITIONNAVI'18,333372872,22.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2018,109.000χλμ,Βενζίνη,1.500cc,150bhp,Αυτόματο,Γκρι,Μαύρο,,18ίντσες,,,Μονό,1,,4,5,29λεπτάπριν,8121,www.car.gr/333372872,6907915669,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",8,10/2024,,Euro6,
Ford,Focus,2015,Ford Focus '15 ST 2.0 TDCi Start/Stopp,FordFocusST2.0TDCiStart/StoppLeder-Sport-Packet'15,333684527,15.900€,Μεταχειρισμένο,Κόμπι/Kάραβαν,1/2015,80.000χλμ,Πετρέλαιο,2.000cc,185bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),Μαύρο,Δέρμα,20ίντσες,,,Άγνωστο,1,,5,5,3ώρεςπριν,1589,www.car.gr/333684527,6988113308,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",10,1/2025,,Euro6,
Mercedes-Benz,CLK200,2004,Mercedes-Benz CLK 200 '04 ΕΛΛΗΝΙΚΟ 1o,Mercedes-BenzCLK200ΕΛΛΗΝΙΚΟ1oΧΕΡΙ!!!!'04,332920049,9.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2004,140.000χλμ,Βενζίνη,1.800cc,163bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μπεζ,Δέρμα,16ίντσες,280€,,Άγνωστο,1,Πισωκίνητο(RWD),2,4,3ώρεςπριν,2471,www.car.gr/332920049,6988113308,"['Bluetooth', 'Cd player', 'Cruise control', 'Dvd', 'Immobilizer', 'Navigation - gps', 'Tv\\u002Fcamera', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Κάμερα οπισθοπορείας', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα που στρίβουν']",10,12/2024,,Euro3,
Ford,Ranger,2019,Ford Ranger '19 PREADATOR,FordRangerPREADATOR'19,332900933,33.900€,Μεταχειρισμένο,Αγροτικό/Pickup,1/2019,118.000χλμ,Πετρέλαιο,3.200cc,200bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,18ίντσες,105€,,Άγνωστο,,4x4(4WD),5,5,3ώρεςπριν,3840,www.car.gr/332900933,6988113308,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αγροτικό', 'Αισθητήρας βροχής', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",8,4/2025,,Euro6c,
Nissan,PickUp,1997,Nissan PickUp '97 D22 ME,NissanPickUpD22MEA/C'97,332244783,9.800€,Μεταχειρισμένο,Αγροτικό/Pickup,1/1997,280.000χλμ,Πετρέλαιο,2.400cc,90bhp,Χειροκίνητο,Κόκκινο,Μαύρο,Ύφασμα,16ίντσες,105€,,Μονό,1,4x4(4WD),2,2,3ώρεςπριν,3037,www.car.gr/332244783,6988113308,[],2,1/2025,,Euro3,
Volkswagen,Amarok,2017,Volkswagen Amarok '17 AVENTURA V6 !!!!!ΠΡΟΣΦΟΡΑ,VolkswagenAmarokAVENTURAV6!!!!!ΠΡΟΣΦΟΡΑ!!!!!'17,332955361,29.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2017,140.000χλμ,Πετρέλαιο,3.000cc,225bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα,20ίντσες,105€,,Άγνωστο,1,4x4(4WD),4,5,3ώρεςπριν,2287,www.car.gr/332955361,6988113308,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αγροτικό', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",10,4/2025,,Euro6,
Ford,Focus,2016,Ford Focus '16 TITANIUM 1.5 TDCI,FordFocusTITANIUM1.5TDCI120HP'16,325918206,13.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2016,90.000χλμ,Πετρέλαιο,1.500cc,120bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Μαύρο,Ύφασμα,17ίντσες,,,Άγνωστο,1,,5,5,3ώρεςπριν,4920,www.car.gr/325918206,6988113308,"['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα που στρίβουν']",6,,,Euro6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LandRover,RangeRoverEvoque,2017,Land Rover Range Rover Evoque '17 DYNAMIC EDITION PANORAMIC 180HP,LandRoverRangeRoverEvoqueDYNAMICEDITIONPANORAMIC180HPAUTO!!!!'17,331680483,45.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2017,130.000χλμ,Πετρέλαιο,2.000cc,180bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,20ίντσες,,"8,50(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),4,5,3ώρεςπριν,5978,www.car.gr/331680483,6988113308,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Θωρακισμένο', 'Κάμερα οπισθοπορείας', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",10,1/2025,,Euro6,
Ford,Fiesta,2016,Ford Fiesta '16 BLACK,FordFiestaBLACKEDITION'16,330615187,11.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2016,130.000χλμ,Πετρέλαιο,1.500cc,95bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,16ίντσες,89€,5(Μικτό)λ/100χλμ,Χωρίς,1,,3,4,3ώρεςπριν,994,www.car.gr/330615187,6988113308,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",6,1/2024,94g/km,Euro6,
