brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Κλάσηρύπων,Μέγεθοςζάντας,Πινακίδα,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρηματοδότηση,Τέληκυκλοφορίας,Κατανάλωση,Ρύποι(co2),Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Σύνολοκατόχων,Παράδοσηστοσπίτι
Dacia,LoganMCV,2016,Dacia Logan MCV '16 AUTOMATIC-Coming Soon- Auto,DaciaLoganMCVAUTOMATIC-ComingSoon-AutoΨάλτου'16,333628431,10.500€,Μεταχειρισμένο,Κόμπι/Kάραβαν,10/2016,70.000χλμ,Βενζίνη,898cc,110bhp,Αυτόματο,Κόκκινο(Μεταλλικό),Δίχρωμο,Ύφασμα,2/2024,Euro6,16ίντσες,Άγνωστο,Προσθιοκίνητο(FWD),6,5,5,2ώρεςπριν,232,www.car.gr/333628431,"2663063100,6944541269","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Tcs - asr', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,90€,"5,50(Εντός)/5(Εκτός)/5(Μικτό)λ/100χλμ",98g/km,,,,,1,Ναι
Peugeot,208,2019,Peugeot 208 '19  1.2 PureTech 82,Peugeot2081.2PureTech82Active'19,333677238,11.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2019,100.000χλμ,Βενζίνη,1.199cc,83bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,6/2025,Euro6c,15ίντσες,Άγνωστο,Προσθιοκίνητο(FWD),6,5,5,6ώρεςπριν,338,www.car.gr/333677238,"6985914331,6948044017","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Βιβλίο service', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,85€,"5,20(Εντός)/4,80(Εκτός)/5(Μικτό)λ/100χλμ",102g/km,,,,,1,
Bmw,X4,2014,Bmw X4,BmwX4'14,334420279,35.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,12/2014,96.000χλμ,Βενζίνη,1.995cc,245bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μπεζ,Δέρμα,,,19ίντσες,Μονό,,,5,5,6ώρεςπριν,660,www.car.gr/334420279,6946060837,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ατρακάριστο', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,,,,,,,1,
Ford,Ka,2010,Ford Ka '10 1.2 Trend Auto,FordKa1.2TrendAutoΨάλτου'10,328536446,6.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2010,169.000χλμ,Βενζίνη,1.242cc,85bhp,Χειροκίνητο,Γαλάζιο(Μεταλλικό),Μαύρο,Ύφασμα,12/2024,Euro5,14ίντσες,Άγνωστο,Προσθιοκίνητο(FWD),6,3,4,2ώρεςπριν,1246,www.car.gr/328536446,"2663063100,6944541269","['{Abs', '{Bluetooth', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Πιστωτική κάρτα δεκτή', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,116€,"5,50(Εντός)/4,50(Εκτός)/5(Μικτό)λ/100χλμ",119g/km,,,,,1,
Opel,Corsa,2016,Opel Corsa,OpelCorsa'16,334502120,10.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,6/2016,142.000χλμ,Βενζίνη,1.200cc,70bhp,Χειροκίνητο,Γαλάζιο(Μεταλλικό),Μαύρο,Ύφασμα,,Euro6,16ίντσες,Άγνωστο,Προσθιοκίνητο(FWD),6,5,5,1ημέραπριν,45,www.car.gr/334502120,"6948766884,6942945875,6948766884","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,,,,,1,
Opel,Corsa,2020,Opel Corsa '20 1.200cc Elegance,OpelCorsa1.200ccEleganceTurbo100HP'20,332324979,15.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2020,72.050χλμ,Βενζίνη,1.200cc,100bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,,,16ίντσες,Άγνωστο,Προσθιοκίνητο(FWD),8,5,5,23ώρεςπριν,2211,www.car.gr/332324979,6984082330,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,75€,,,,,,,1,
Bmw,X3,2007,Bmw X3 '07 2.5si Mpack panorama,BmwX32.5siMpackpanoramaΆριστο!!'07,332247530,9.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2007,161.000χλμ,Αέριο(lpg)-βενζίνη,2.497cc,218bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μπεζ,Δέρμα,,,19ίντσες,Ζυγό,,7,5,6,1ώραπριν,6581,www.car.gr/332247530,6977910125,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Parktronic', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,,,,,,,
Ford,Kuga,2017,Ford Kuga '17 1.5 EcoBoost ST-Line 4x4 Automatic,FordKuga1.5EcoBoostST-Line4x4AutomaticPanorama'17,333117180,22.950€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2017,125.067χλμ,Βενζίνη,1.500cc,182bhp,Αυτόματο,Ασημί(Μεταλλικό),Μαύρο,Alcantara,,Euro6,18ίντσες,Ζυγό,4x4(4WD),10,5,5,3ημέρεςπριν,421,www.car.gr/333117180,"2102388281,2102381638","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,420€,8(Εντός)/6(Εκτός)/7(Μικτό)λ/100χλμ,173g/km,,,,,1,
Audi,Q7,2007,Audi Q7 '07 PANORAMA OROFI MPEZ DERMA,AudiQ7PANORAMAOROFIMPEZDERMA'07,325983721,15.890€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,11/2007,186χλμ,Βενζίνη,4.200cc,420bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μπεζ,Δέρμα,8/2019,,20ίντσες,Άγνωστο,4x4(4WD),10,5,5,3ώρεςπριν,772,www.car.gr/325983721,"2102446576,6906001617","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Immobilizer', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,,,,,,,
Renault,Clio,2015,Renault Clio,RenaultClio'15,324707333,10.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2015,91.781χλμ,Πετρέλαιο,1.500cc,90bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,7/2024,,,Άγνωστο,,6,5,5,1ημέραπριν,2405,www.car.gr/324707333,6986909080,"['{Abs', '{Bluetooth', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Immobilizer', '{Turbo', '{Usb', '{Βιβλίο service', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,,,,,1,
Smart,ForFour,2018,Smart ForFour '18 1.0 Τιμή με ΦΠΑ Auto Ψάλτου,SmartForFour1.0ΤιμήμεΦΠΑAutoΨάλτου'18,333383349,12.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2018,78.000χλμ,Βενζίνη,998cc,80bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,2/2024,Euro6,15ίντσες,Άγνωστο,Πισωκίνητο(RWD),6,5,5,2ώρεςπριν,303,www.car.gr/333383349,"2663063100,6944541269","['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Tcs - asr', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Πιστωτική κάρτα δεκτή', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,90€,"5,50(Εντός)/5(Εκτός)/5(Μικτό)λ/100χλμ",98g/km,,,,,1,Ναι
Opel,Corsa,2016,Opel Corsa '16 Eco Flex 1.3,OpelCorsaEcoFlex1.3Diesel'16,320065733,10.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,9/2016,169.393χλμ,Πετρέλαιο,1cc,90bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,2/2024,,,Άγνωστο,,8,3,5,1ημέραπριν,1875,www.car.gr/320065733,6986909080,"['{Abs', '{Bluetooth', '{Cd player', '{Dvd', '{Esp', '{Immobilizer', '{Turbo', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,95g/km,,,,,1,
Ford,Fiesta,2014,Ford Fiesta '14 1.5TDCI,FordFiesta1.5TDCIΕπαγγελματικό–αγροτικο'14,320639670,8.700€,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,7/2014,142.250χλμ,Πετρέλαιο,1.500cc,100bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,Ύφασμα,3/2024,,,Άγνωστο,,6,3,2,1ημέραπριν,1915,www.car.gr/320639670,6986909080,"['{Abs', '{Bluetooth', '{Cd player', '{Esp', '{Immobilizer', '{Turbo', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,,,,,1,
Volkswagen,Golf,2011,Volkswagen Golf '11 Βενζίνη,VolkswagenGolfΒενζίνηυγραέριο'11,316616793,9.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2011,169.722χλμ,Αέριο(lpg)-βενζίνη,1.400cc,100bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Γκρι,Ύφασμα,11/2023,Euro5,15ίντσες,Άγνωστο,Προσθιοκίνητο(FWD),8,5,5,1ημέραπριν,4496,www.car.gr/316616793,6986909080,"['Abs', 'Bluetooth', 'Cd player', 'Dvd', 'Esp', 'Immobilizer', 'Tcs - asr', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Τηλέφωνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,,,,,,,1,
Mitsubishi,Colt,2013,Mitsubishi Colt '13 Clear,MitsubishiColtClearTec'13,320062138,7.400€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2013,132.113χλμ,Βενζίνη,1.100cc,87bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,9/2024,Euro5,,Άγνωστο,Προσθιοκίνητο(FWD),6,5,5,1ημέραπριν,2271,www.car.gr/320062138,6986909080,"['Abs', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,1,
DR,dr1,2013,DR dr 1 '13 Αuto Psaltou 1.1 16v,DRdr1ΑutoPsaltou1.116vΜΟΝΑΔΙΚΟ'13,325764437,5.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2013,125.873χλμ,Βενζίνη,1.083cc,70bhp,Χειροκίνητο,Κόκκινο,Γκρι,Ύφασμα,8/2024,Euro5,14ίντσες,Άγνωστο,Προσθιοκίνητο(FWD),4,5,5,2ώρεςπριν,140,www.car.gr/325764437,"2663063100,6944541269","['{Abs', '{Bluetooth', '{Cd player', '{Esp', '{Immobilizer', '{Parktronic', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Πιστωτική κάρτα δεκτή', '{Συναγερμός', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,104€,"6(Εντός)/5(Εκτός)/5,50(Μικτό)λ/100χλμ",107g/km,,,,,1,Ναι
Ford,Fiesta,2016,Ford Fiesta '16  1.5 TDCi,FordFiesta1.5TDCiTrend'16,334350238,10.200€,Μεταχειρισμένο,Κουπέ-Σπόρ,12/2016,102.869χλμ,Πετρέλαιο,1.500cc,100bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,12/2025,Euro6,,Άγνωστο,,4,3,5,1ημέραπριν,66,www.car.gr/334350238,6986909080,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,80€,"4,50(Εντός)/3,80(Εκτός)/4(Μικτό)λ/100χλμ",,,,,,1,
Suzuki,Swift,2009,Suzuki Swift,SuzukiSwift'09,330761238,7.200€,Μεταχειρισμένο,Κουπέ-Σπόρ,9/2009,140.000χλμ,Βενζίνη,1.590cc,130bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Κόκκινο,Ύφασμα,11/2024,,17ίντσες,Άγνωστο,,4,3,5,1ημέραπριν,3908,www.car.gr/330761238,6986909080,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,
Mitsubishi,SpaceStar,2018,Mitsubishi Space Star,MitsubishiSpaceStar'18,326888251,9.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2018,108.546χλμ,Βενζίνη,1.000cc,85bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,Ύφασμα,11/2024,Euro6,,Άγνωστο,,4,5,5,1ημέραπριν,928,www.car.gr/326888251,6986909080,"['{Abs', '{Bluetooth', '{Cd player', '{Eco start\\u002Fstop', '{Esp', '{Immobilizer', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,"4(Εντός)/3,50(Εκτός)/3,80(Μικτό)λ/100χλμ",,,,,,1,
Toyota,Yaris,2013,Toyota Yaris '13 ΑΡΙΣΤΟ!!!  Διζωνικό κλίμα GPS,ToyotaYarisΑΡΙΣΤΟ!!!ΔιζωνικόκλίμαGPS'13,327318778,10.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,8/2013,172.211χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Γαλάζιο(Μεταλλικό),,Ύφασμα,11/2024,Euro5,15ίντσες,Άγνωστο,,6,3,5,1ημέραπριν,1330,www.car.gr/327318778,6986909080,"['{Abs', '{Bluetooth', '{Cd player', '{Esp', '{Immobilizer', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,,,,,1,
Volkswagen,Golf,2011,Volkswagen Golf '11,VolkswagenGolfΑΡΙΣΤΟ!!!!!'11,326888193,8.700€,Μεταχειρισμένο,Κουπέ-Σπόρ,9/2011,160.000χλμ,Βενζίνη,1.390cc,100bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,Ύφασμα,11/2024,,,Άγνωστο,,6,3,5,1ημέραπριν,4610,www.car.gr/326888193,6986909080,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,1,
Renault,Megane,2016,Renault Megane '16 1.5dci,RenaultMegane1.5dci110hp'16,333395838,13.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2016,150.000χλμ,Πετρέλαιο,1.461cc,110bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,,4/2025,Euro6,17ίντσες,Ζυγό,,,5,5,4ώρεςπριν,1537,www.car.gr/333395838,6976692129,"['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,85€,7(Εντός)/5(Εκτός)/6(Μικτό)λ/100χλμ,95g/km,,,,,,
Opel,Movano,2018,"Opel Movano '18 κόφα 3,5 Τ ΕΥΡΟ 6","OpelMovanoκόφα3,5ΤΕΥΡΟ62300cc160hp'18",325818257,28.000€,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,9/2018,98.311χλμ,Πετρέλαιο,2.300cc,160bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,Ύφασμα,9/2024,Euro6,,Άγνωστο,,3,4,3,1ημέραπριν,350,www.car.gr/325818257,6986909080,"['{Abs', '{Apple carplay', '{Bluetooth', '{Cd player', '{Eco start\\u002Fstop', '{Esp', '{Immobilizer', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Τηλέφωνο', '{Υδραυλικό τιμόνι']",,,,,,,,,1,
