brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Πινακίδα,Σύνολοκατόχων,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κτέομέχρι,Παράδοσηστοσπίτι,Κλάσηρύπων,Μέγεθοςζάντας,Ρύποι(co2),Τέληκυκλοφορίας,Κατανάλωση,Αερόσακοι,Κίνηση
Fiat,Fiorino,2010,Fiat Fiorino,FiatFiorino'10,334024680,7.450€,"150,38€/μήνα",Μεταχειρισμένο,Van/MiniBus,1/2010,105.000χλμ,Αέριο(lpg)-βενζίνη,1.400cc,80bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),Μαύρο,Ύφασμα,Άγνωστο,1,4,2,17λεπτάπριν,214,www.car.gr/334024680,"6983798465,6942528636","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Keyless', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συρόμενη πόρτα δεξιά', 'Υδραυλικό τιμόνι']",5/2025,Ναι,,,,,,,
Chrysler,Sebring,2005,Chrysler Sebring '05 0 ΠΡΟΚΑΤΑΒΟΛΗ ΕΩΣ 60,ChryslerSebring0ΠΡΟΚΑΤΑΒΟΛΗΕΩΣ60ΔΟΣΕΙΣ'05,332882776,5.490€,"110,81€/μήνα",Μεταχειρισμένο,Κάμπριο/Roadster,10/2005,140.000χλμ,Βενζίνη,2.000cc,160bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μπεζ,Δέρμα-ύφασμα,Μονό,1,3,5,24ώρεςπριν,124,www.car.gr/332882776,"6983798465,6942528636","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",,,,,,,,,
Renault,Captur,2018,Renault Captur '18 DYNAMIQUE! 6-ΤΑΧΥΤΟ! 110ps,RenaultCapturDYNAMIQUE!6-ΤΑΧΥΤΟ!110ps'18,333798322,15.990€,"322,75€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2018,110.000χλμ,Πετρέλαιο,1.500cc,110bhp,Χειροκίνητο,Ασπρο,,Ύφασμα,Άγνωστο,1,5,5,17λεπτάπριν,710,www.car.gr/333798322,"6983798465,6942528636","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",5/2025,,,,,,,,
Nissan,Qashqai,2009,Nissan Qashqai '09 1o ΧΕΡΙ!! ΖΑΝΤΕΣ! 0 ΠΡΟΚΑΤΑΒΟΛΗ ΕΩΣ 60 ΔΟΣΕΙΣ,NissanQashqai1oΧΕΡΙ!!ΖΑΝΤΕΣ!0ΠΡΟΚΑΤΑΒΟΛΗΕΩΣ60ΔΟΣΕΙΣ'09,333919305,8.500€,"144,36€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,11/2009,240.000χλμ,Βενζίνη,1.600cc,115bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,Ύφασμα,Ζυγό,1,5,5,2ώρεςπριν,1303,www.car.gr/333919305,"6983798465,6942528636","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",3/2025,Ναι,,,,,,,
Bmw,116,2011,Bmw 116 '11 ( ΠΟΥΛΗΘΗΚΕ)ΕΛΛΗΝΙΚΟ,Bmw116(ΠΟΥΛΗΘΗΚΕ)ΕΛΛΗΝΙΚΟ!!'11,334343429,8.990€,"195,46€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2011,133.000χλμ,Βενζίνη,1.598cc,122bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Βελούδο,Ζυγό,1,3,5,2ημέρεςπριν,27,www.car.gr/334343429,6937149530,"['Abs', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Keyless', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",10/2024,,Euro5,17ίντσες,,,,,
Renault,Captur,2016,Renault Captur '16 ENERGY dCi 110,RenaultCapturENERGYdCi110Dynamique'16,333372777,13.990€,"282,38€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,3/2016,129.000χλμ,Πετρέλαιο,1.500cc,110bhp,Χειροκίνητο,Μπεζ(Μεταλλικό),Μαύρο,Ύφασμα,Άγνωστο,1,5,5,18λεπτάπριν,766,www.car.gr/333372777,"6983798465,6942528636","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα που στρίβουν']",3/2025,Ναι,Euro6,,,,,,
Renault,Captur,2017,Renault Captur '17 DYNAMIQUE! EURO 6! GRIP,RenaultCapturDYNAMIQUE!EURO6!GRIPCONTROL!'17,334314891,13.990€,"282,38€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2017,142.000χλμ,Πετρέλαιο,1.500cc,90bhp,Χειροκίνητο,Μόβ-βιολετί(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,Άγνωστο,1,5,5,2ώρεςπριν,326,www.car.gr/334314891,"6983798465,6942528636","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα που στρίβουν']",,,Euro6,,,,,,
Fiat,Punto,2017,Fiat Punto '17 Lounge_95ps_μόνο 38.000,FiatPuntoLounge_95ps_μόνο38.000χλμ_Ελληνικό_**Ευκαιρία**'17,334336812,11.820€,"198,66€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2017,38.000χλμ,Πετρέλαιο,1.248cc,95bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Alcantara,Ζυγό,1,5,5,40λεπτάπριν,7,www.car.gr/334336812,"2314066717,6945469497","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",1/2025,,Euro6,16ίντσες,89g/km,0€,6(Εντός)/4(Εκτός)/5(Μικτό)λ/100χλμ,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai,i10,2015,Hyundai i 10 '15 LED! FULL EXTRA!! 0 ΠΡΟΚΑΤΑΒΟΛΗ ΕΩΣ 60 ΔΟΣΕΙΣ,Hyundaii10LED!FULLEXTRA!!0ΠΡΟΚΑΤΑΒΟΛΗΕΩΣ60ΔΟΣΕΙΣ'15,334338665,8.690€,"175,40€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2015,103.000χλμ,Βενζίνη,998cc,70bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μαύρο,,Άγνωστο,1,5,5,18λεπτάπριν,348,www.car.gr/334338665,"6983798465,6942528636","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",6/2025,Ναι,,,,,,,
Hyundai,i20,2018,Hyundai i 20 '18  1.1 Diesel_Ελληνικό_διαβάστε,Hyundaii201.1Diesel_Ελληνικό_διαβάστεπεριγραφή'18,329961142,10.990€,"184,71€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2018,1χλμ,Πετρέλαιο,1.100cc,75bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,Άγνωστο,1,5,5,40λεπτάπριν,471,www.car.gr/329961142,"2314066717,6945469497","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",1/2025,,Euro6,15ίντσες,,,,6,Προσθιοκίνητο(FWD)
Renault,Twingo,2004,Renault Twingo,RenaultTwingo'04,331650183,2.100€,,Μεταχειρισμένο,Αλλο,11/2004,245.000χλμ,Βενζίνη,1.148cc,65bhp,Χειροκίνητο,Μπλέ,Γκρι,Άλλο,Ζυγό,2,3,5,6ώρεςπριν,2010,www.car.gr/331650183,6937906716,"['Abs', 'Immobilizer', 'Usb', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Κλιματισμός(a\\u002Fc)', 'Ράγες οροφής']",5/2024,,,14ίντσες,,135€,,4,
Nissan,Note,2012,Nissan Note '12  1.5 dCi,NissanNote1.5dCiVisia'12,332082542,7.000€,"203,28€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2012,165.750χλμ,Πετρέλαιο,1.461cc,90bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,Άγνωστο,1,5,5,2ώρεςπριν,844,www.car.gr/332082542,"6974003211,2641051825,6974003211","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Immobilizer', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Ναι,Euro5,17ίντσες,,,,6,
Mercedes-Benz,E350,2018,Mercedes-Benz E 350 '18 DIESEL CABRIO 4-MATIC,Mercedes-BenzE350DIESELCABRIO4-MATICAIRMATIC'18,329967068,69.900€,,Μεταχειρισμένο,Κάμπριο/Roadster,8/2018,85.000χλμ,Πετρέλαιο,3.000cc,258bhp,Αυτόματο,Μαύρο,Δίχρωμο,Δέρμα,Ζυγό,1,2,5,2ώρεςπριν,6661,www.car.gr/329967068,6907915669,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",8/2024,,Euro6,18ίντσες,170g/km,400€,10(Εντός)/8(Εκτός)/9(Μικτό)λ/100χλμ,8,4x4(4WD)
Volkswagen,Beetle(New),2017,Volkswagen Beetle (New) '17,VolkswagenBeetle(New)DUNE'17,334174726,34.000€,,Μεταχειρισμένο,Κάμπριο/Roadster,12/2017,14.000χλμ,Βενζίνη,1.400cc,150bhp,Αυτόματο,Γκρι(Μεταλλικό),Γκρι,Δέρμα,Ζυγό,1,2,4,3ημέρεςπριν,1004,www.car.gr/334174726,6930885885,"['Abs', 'Android auto', 'Apple carplay', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Φώτα led']",10/2024,,Euro6,18ίντσες,,,,6,Προσθιοκίνητο(FWD)
Kia,Rio,2015,Kia Rio,KiaRio'15,332154092,7.200€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2015,178.000χλμ,Βενζίνη,1.248cc,85bhp,Χειροκίνητο,Ασπρο,Γκρι,Ύφασμα,Άγνωστο,,5,5,1ημέραπριν,2726,www.car.gr/332154092,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",8/2023,,,,,,,,
Mercedes-Benz,B170,2008,Mercedes-Benz B 170 '08 AUTOMATIC FULL,Mercedes-BenzB170AUTOMATICFULLEXTRA'08,331144628,9.000€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2008,147.000χλμ,Βενζίνη,1.699cc,115bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,Ζυγό,,5,5,1ημέραπριν,2927,www.car.gr/331144628,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Parktronic', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",1/2024,,,17ίντσες,,,,,
Mercedes-Benz,CLK200,2005,Mercedes-Benz CLK 200 '05 AVANGARDE AUTOMATIC FULL,Mercedes-BenzCLK200AVANGARDEAUTOMATICFULLEXTRA'05,331212761,8.500€,,Μεταχειρισμένο,Αλλο,10/2005,,Βενζίνη,1.796cc,163bhp,Αυτόματο,Μαύρο(Μεταλλικό),Γκρι,Ύφασμα,Ζυγό,2,2,5,1ημέραπριν,2923,www.car.gr/331212761,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Parktronic', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",1/2024,,,,,300€,,,
Mercedes-Benz,ML320,2002,Mercedes-Benz ML 320 '02 FULL EXTRA,Mercedes-BenzML320FULLEXTRAAYTOMATIC'02,21571662,5.000€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2002,,Βενζίνη,3.200cc,230bhp,Αυτόματο,Μαύρο(Μεταλλικό),Γκρι,Δέρμα,Άγνωστο,,5,5,1ημέραπριν,26114,www.car.gr/21571662,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",1/2020,,,,,,,,4x4(4WD)
Bmw,225XE,2017,Bmw 225XE '17 İ PERFORMANCE plug in,Bmw225XEİPERFORMANCEpluginhybrid'17,328995492,23.900€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2017,150.000χλμ,Υβριδικόplug-inβενζίνη,1.499cc,224bhp,Αυτόματο,Ασπρο(Μεταλλικό),,Ύφασμα,Άγνωστο,,5,5,1ημέραπριν,1712,www.car.gr/328995492,"2110134334,2102775011,6977250243","['Abs', 'Bluetooth', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",1/2024,,,,,,,,4x4(4WD)
Opel,Corsa,2012,Opel Corsa '12  ecoFlex Start&Stop,OpelCorsaecoFlexStart&StopNavi'12,331012751,7.300€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2012,137.000χλμ,Πετρέλαιο,1.300cc,90bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Δίχρωμο,Ύφασμα,Άγνωστο,,5,5,1ημέραπριν,1504,www.car.gr/331012751,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Navigation - gps', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",1/2024,,,,,,,,
Audi,A2,2002,Audi A2 '02 FULL,AudiA2FULLEXTRA'02,328911825,3.900€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2002,170.000χλμ,Βενζίνη,1.390cc,90bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,Άγνωστο,,5,5,1ημέραπριν,5818,www.car.gr/328911825,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή']",8/2024,,,,,,,,
Citroen,C-Elysee,2017,Citroen C-Elysee '17 FULL,CitroenC-ElyseeFULLEXTRA'17,326895031,9.550€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,5/2017,102.000χλμ,Βενζίνη,1.199cc,82bhp,Χειροκίνητο,Ασπρο,Δίχρωμο,Ύφασμα,Άγνωστο,1,5,5,1ημέραπριν,1542,www.car.gr/326895031,"2110134334,2102775011,6977250243","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",1/2023,,,,,,,,
Subaru,Legacy,2005,Subaru Legacy '05 4X4 FULL,SubaruLegacy4X4FULLEXTRA'05,14828311,5.600€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,9/2005,160.000χλμ,Βενζίνη,3.000cc,245bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,Άγνωστο,,4,5,1ημέραπριν,24894,www.car.gr/14828311,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Cruise control', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Υπολογιστής ταξιδιού']",,,,,,,,,4x4(4WD)
