brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Παράδοσηστοσπίτι,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας
Smart,ForTwo,2016,Smart ForTwo '16 AUTO SUPERCARS,SmartForTwoAUTOSUPERCARSXANIA'16,331707308,12.500€,"198,59€/μήνα",Μεταχειρισμένο,Κουπέ-Σπόρ,4/2016,126.045χλμ,Βενζίνη,998cc,71bhp,Αυτόματο,Κόκκινο(Μεταλλικό),Μαύρο,Δέρμα,5/2023,94g/km,Euro6,15ίντσες,91€,"5,50(Μικτό)λ/100χλμ",Άγνωστο,2,Πισωκίνητο(RWD),5,2,2,Ναι,14ώρεςπριν,489,www.car.gr/331707308,"2821089922,6977088528","['{Abs', '{Bluetooth', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Πιστωτική κάρτα δεκτή', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,
Peugeot,308,2013,Peugeot 308 '13 SUPERCARS,Peugeot308SUPERCARSXANIA'13,334072141,9.990€,"158,72€/μήνα",Μεταχειρισμένο,Λιμουζίνα/Sedan,7/2013,138.004χλμ,Πετρέλαιο,1.600cc,95bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,10/2024,115g/km,Euro5,16ίντσες,104€,"6(Εντός)/4,60(Εκτός)/5,40(Μικτό)λ/100χλμ",Άγνωστο,2,Προσθιοκίνητο(FWD),6,5,5,,14ώρεςπριν,114,www.car.gr/334072141,"2821089922,6977088528","['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,
Mazda,CX-7,2009,Mazda CX-7 '09 GRAND TOURING SUPERCARS XANIA,MazdaCX-7GRANDTOURINGSUPERCARSXANIA'09,333706355,12.990€,"206,38€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2009,84.539χλμ,Αέριο(lpg)-βενζίνη,2.261cc,260bhp,Χειροκίνητο,Γαλάζιο(Μεταλλικό),Μαύρο,Δέρμα,6/2024,,Euro4,19ίντσες,690€,"13(Εντός)/8,50(Εκτός)/10,50(Μικτό)λ/100χλμ",Άγνωστο,2,4x4(4WD),8,5,5,Ναι,14ώρεςπριν,249,www.car.gr/333706355,"2821089922,6977088528","['{Abs', '{Bluetooth', '{Cd player', '{Cruise control', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Κοτσαδόρος', '{Οθόνη tft', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,Civic,2007,Honda Civic '07 SUPERCARS,HondaCivicSUPERCARSXANIA'07,330613673,8.400€,"133,45€/μήνα",Μεταχειρισμένο,Λιμουζίνα/Sedan,6/2007,120.213χλμ,Βενζίνη,1.800cc,140bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,,,Euro4,17ίντσες,300€,"6,90(Εντός)/4,10(Εκτός)/6,20(Μικτό)λ/100χλμ",Άγνωστο,2,Προσθιοκίνητο(FWD),6,5,5,,14ώρεςπριν,1130,www.car.gr/330613673,"2821089922,6977088528","['{Abs', '{Cd player', '{Cruise control', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,RAV4,2005,Toyota RAV 4 '05 LPG SUPERCARS,ToyotaRAV4LPGSUPERCARSXANIA'05,334058399,4.900€,"77,85€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2005,393.809χλμ,Αέριο(lpg)-βενζίνη,2.000cc,156bhp,Χειροκίνητο,Χρυσαφί(Μεταλλικό),Μαύρο,Δέρμα,6/2024,,Euro4,17ίντσες,630€,"8(Εντός)/6,10(Εκτός)/7,70(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),8,5,5,,14ώρεςπριν,429,www.car.gr/334058399,"2821089922,6977088528","['{Abs', '{Cd player', '{Esp', '{Immobilizer', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,
Chevrolet,Spark,2013,Chevrolet Spark '13 SUPERCARS XANIA,ChevroletSparkSUPERCARSXANIA'13,333705848,6.990€,"111,05€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2013,145.040χλμ,Βενζίνη,998cc,68bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,3/2024,112g/km,Euro6,14ίντσες,,"5,50(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),10,5,5,Ναι,14ώρεςπριν,218,www.car.gr/333705848,"2821089922,6977088528","['Abs', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Πιστωτική κάρτα δεκτή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,
Smart,ForTwo,2020,Smart ForTwo '20 ΗΛΕΚΤΡΙΚΟ SUPERCARS,SmartForTwoΗΛΕΚΤΡΙΚΟSUPERCARSXANIA'20,328417633,21.000€,"333,64€/μήνα",Μεταχειρισμένο,Κουπέ-Σπόρ,7/2020,26.773χλμ,Ηλεκτρικό,,82bhp,Αυτόματο,Ασημί(Μεταλλικό),Μαύρο,Ύφασμα,2/2023,,,16ίντσες,,,Άγνωστο,1,Πισωκίνητο(RWD),7,2,2,Ναι,14ώρεςπριν,1226,www.car.gr/328417633,"2821089922,6977088528","['{Abs', '{Android auto', '{Bluetooth', '{Cd player', '{Cruise control', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Εγγύηση', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Οθόνη tft', '{Οροφή πανοραμική', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",60kw,160χλμ,5ώρες,1ώρες,17kwh
Suzuki,Swift,1999,Suzuki Swift '99 SUPERCARS XANIA,SuzukiSwiftSUPERCARSXANIA'99,332691412,1.700€,"27,01€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,5/1999,174.992χλμ,Βενζίνη,993cc,60bhp,Χειροκίνητο,Πράσινο,Μαύρο,Ύφασμα,4/2024,,Euro3,14ίντσες,120€,5(Μικτό)λ/100χλμ,Άγνωστο,3,Προσθιοκίνητο(FWD),0,5,5,Ναι,14ώρεςπριν,1427,www.car.gr/332691412,"2821089922,6977088528","['Cd player', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Κλιματισμός(a\\u002Fc)', 'Πιστωτική κάρτα δεκτή']",,,,,
Toyota,Yaris,2017,Toyota Yaris '17 D4D SUPERCARS,ToyotaYarisD4DSUPERCARSXANIA'17,333365685,13.400€,"212,89€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2017,108.464χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,12/2022,91g/km,Euro6,16ίντσες,83€,"5,10(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),7,5,5,Ναι,14ώρεςπριν,191,www.car.gr/333365685,"2821089922,6977088528","['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Πιστωτική κάρτα δεκτή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,
Kia,Ceed,2018,Kia Ceed '18 SUPERCARS,KiaCeedSUPERCARSXANIA'18,333653544,14.800€,"235,13€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2018,136.372χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,1/2023,98g/km,Euro6,16ίντσες,95€,"6,90(Εντός)/4,90(Εκτός)/5,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,Ναι,14ώρεςπριν,238,www.car.gr/333653544,"2821089922,6977088528","['{Abs', '{Cd player', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Turbo', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Εγγύηση', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Πιστωτική κάρτα δεκτή', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,,,
Mitsubishi,L200,2002,Mitsubishi L200 '02 KATAΨΥΞΗ SUPERCARS,MitsubishiL200KATAΨΥΞΗSUPERCARSXANIA'02,327325240,4.990€,"79,28€/μήνα",Μεταχειρισμένο,Αγροτικό/Pickup,7/2002,359.494χλμ,Βενζίνη,2.400cc,100bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,8/2023,,Euro4,15ίντσες,115€,9(Μικτό)λ/100χλμ,Άγνωστο,3,Πισωκίνητο(RWD),0,2,2,Ναι,14ώρεςπριν,6631,www.car.gr/327325240,"2821089922,6977088528","['{Cd player', '{Immobilizer', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Ελληνικής αντιπροσωπείας', '{Πιστωτική κάρτα δεκτή', '{Υδραυλικό τιμόνι']",,,,,
Peugeot,3008,2019,Peugeot 3008 '19 SUPERCARS XANIA,Peugeot3008SUPERCARSXANIA'19,332606035,23.500€,"373,36€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2019,47.857χλμ,Βενζίνη,1.200cc,130bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,2/2025,120g/km,Euro6,17ίντσες,,"7,90(Εντός)/6,70(Εκτός)/5,80(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,Ναι,14ώρεςπριν,812,www.car.gr/332606035,"2821089922,6977088528","['Abs', 'Android auto', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,
Toyota,Yaris,2019,Toyota Yaris '19 SUPERCARS,ToyotaYarisSUPERCARSXANIA'19,334050324,15.500€,"246,26€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2019,62.001χλμ,Βενζίνη,1.500cc,111bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,6/2023,116g/km,Euro6,15ίντσες,110€,"5,90(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),7,5,5,Ναι,14ώρεςπριν,115,www.car.gr/334050324,"2821089922,6977088528","['Abs', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Πιστωτική κάρτα δεκτή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,
Renault,Kadjar,2016,Renault Kadjar '16 INTENS Tce 130hp,RenaultKadjarINTENSTce130hpNavi-camera-6T'16,333952492,15.600€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2016,143.000χλμ,Βενζίνη,1.197cc,130bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,4/2025,126g/km,Euro6,17ίντσες,151€,,Χωρίς,1,,8,5,5,Ναι,36λεπτάπριν,103,www.car.gr/333952492,"2108319400,6944181010,6974673040","['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κοτσαδόρος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,,,
Mazda,Demio,2000,Mazda Demio '00 SUPERCARS,MazdaDemioSUPERCARSXANIA'00,333363986,1.700€,"27,01€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2000,228.462χλμ,Βενζίνη,1.324cc,80bhp,Χειροκίνητο,Γαλάζιο,Γκρι,Ύφασμα,6/2024,,Euro4,15ίντσες,135€,"5,80(Μικτό)λ/100χλμ",Άγνωστο,3,Προσθιοκίνητο(FWD),0,5,5,Ναι,14ώρεςπριν,835,www.car.gr/333363986,"2821089922,6977088528","['{Cd player', '{Immobilizer', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Κλιματισμός(a\\u002Fc)', '{Υδραυλικό τιμόνι']",,,,,
Audi,A4,2006,Audi A4 '06 SUPERCARS XANIA,AudiA4SUPERCARSXANIA'06,333621359,8.700€,"138,22€/μήνα",Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2006,104.949χλμ,Βενζίνη,1.600cc,102bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,4/2024,,Euro4,16ίντσες,265€,"7,90(Μικτό)λ/100χλμ",Άγνωστο,2,Προσθιοκίνητο(FWD),4,4,5,Ναι,14ώρεςπριν,780,www.car.gr/333621359,"2821089922,6977088528","['{Abs', '{Cd player', '{Esp', '{Immobilizer', '{Parktronic', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,
Porsche,911,2000,Porsche 911 '00 SUPERCARS,Porsche911SUPERCARSXANIA'00,326789178,23.500€,"373,36€/μήνα",Μεταχειρισμένο,Κουπέ-Σπόρ,4/2000,243.994χλμ,Βενζίνη,3.400cc,320bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,2/2024,,Euro4,18ίντσες,1.100€,"11,50(Μικτό)λ/100χλμ",Άγνωστο,2,Πισωκίνητο(RWD),4,3,4,Ναι,14ώρεςπριν,7956,www.car.gr/326789178,"2821089922,6977088528","['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Πιστωτική κάρτα δεκτή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,
Bmw,i3,2017,Bmw i3 '17 94Ah 33Kw SUPERCARS,Bmwi394Ah33KwSUPERCARSXANIA'17,332237007,25.900€,"411,49€/μήνα",Μεταχειρισμένο,Κουπέ-Σπόρ,2/2017,109.921χλμ,Ηλεκτρικό,,168bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,5/2023,,,18ίντσες,,,Άγνωστο,1,Πισωκίνητο(RWD),6,5,5,Ναι,14ώρεςπριν,385,www.car.gr/332237007,"2821089922,6977088528","['{Abs', '{Cd player', '{Cruise control', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Εγγύηση', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Οθόνη tft', '{Οροφή πανοραμική', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",125kw,250χλμ,10ώρες,2ώρες,33kwh
Toyota,Hilux,2019,Toyota Hilux '19 ΜΟΝΟΚΑΜΠΙΝΟ 4Χ4 PERCARS XANIA,ToyotaHiluxΜΟΝΟΚΑΜΠΙΝΟ4Χ4PERCARSXANIA'19,334430328,20.500€,"325,69€/μήνα",Μεταχειρισμένο,Αγροτικό/Pickup,1/2019,182.590χλμ,Πετρέλαιο,2.400cc,150bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Δερματίνη,7/2024,,Euro6,17ίντσες,115€,"8,80(Εντός)/6(Εκτός)/7,90(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),2,2,2,,14ώρεςπριν,744,www.car.gr/334430328,"2821089922,6977088528","['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,
Peugeot,208,2019,Peugeot 208 '19 SUPERCARS,Peugeot208SUPERCARSXANIA'19,333322080,13.800€,"219,25€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2019,63.580χλμ,Βενζίνη,1.200cc,82bhp,Χειροκίνητο,Κόκκινοσκούρο(Μεταλλικό),Μαύρο,Ύφασμα,2/2024,105g/km,Euro6,16ίντσες,,"6,70(Εντός)/4,60(Εκτός)/5,90(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,Ναι,14ώρεςπριν,142,www.car.gr/333322080,"2821089922,6977088528","['{Abs', '{Bluetooth', '{Cd player', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Οθόνη tft', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,,,
Jeep,Gladiator,2021,Jeep Gladiator '21 80th Anniversary - Συλλεκτικό,JeepGladiator80thAnniversary-Συλλεκτικό'21,334230636,72.000€Χωρίςφπα,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2021,14.800χλμ,Πετρέλαιο,3.000cc,350bhp,Αυτόματο,Πράσινοσκούρο,Μαύρο,Δέρμα,,,,20ίντσες,,,Μονό,,,,4,5,,8ώρεςπριν,83,www.car.gr/334230636,6948008500,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αγροτικό', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τιμή χωρίς φπα', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,,
