brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κλάσηρύπων
Suzuki,Vitara,2017,Suzuki Vitara '17 GLX - 4WD,"SuzukiVitaraGLX-4WDALLGRIP!ΔΕΡΜΑ,ΟΡΟΦΗ'17",334343953,18.300€,"257,15€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2017,103.000χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δίχρωμο,Δέρμα,1/2025,112g/km,17ίντσες,110€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),8,5,5,5ώρεςπριν,243,www.car.gr/334343953,"6936037758,2100102323","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",Euro6d
Ford,Fiesta,2018,Ford Fiesta '18 ST LINE! 125,"FordFiestaSTLINE!125HP,NAVI!'18",334394560,16.900€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2018,35.000χλμ,Βενζίνη,1.000cc,125bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Δέρμα,1/2025,99g/km,17ίντσες,90€,"4,30(Εντός)/4,90(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,3,5,5ώρεςπριν,58,www.car.gr/334394560,"6936037758,2100102323","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Euro6d
Ford,Fiesta,2014,Ford Fiesta '14 ST LINE 125,FordFiestaSTLINE125HP!'14,333065807,10.400€,"146,14€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2014,87.240χλμ,Βενζίνη,1.000cc,125bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δίχρωμο,Βελούδο,5/2025,99g/km,16ίντσες,90€,"4,40(Εντός)/4,80(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,3,5,5ώρεςπριν,2337,www.car.gr/333065807,"6936037758,2100102323","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Navigation - gps', '{Parktronic', '{Turbo', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",
Suzuki,SX4S-Cross,2017,Suzuki SX4 S-Cross '17 GLX - 4WD,"SuzukiSX4S-CrossGLX-4WDALLGRIP,NAVI!'17",333263482,17.900€,"251,53€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2017,75.200χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα,1/2025,112g/km,17ίντσες,110€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),8,5,5,5ώρεςπριν,1601,www.car.gr/333263482,"6936037758,2100102323","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford,Fiesta,2018,Ford Fiesta '18 TITANIUM! 125,"FordFiestaTITANIUM!125HP,NAVI!'18",334030729,14.500€,"203,75€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2018,89.000χλμ,Βενζίνη,1.000cc,125bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Δίχρωμο,Ύφασμα,1/2025,99g/km,16ίντσες,90€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,5,5,5ώρεςπριν,599,www.car.gr/334030729,"6936037758,2100102323","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Euro6d-temp
Ford,Fiesta,2014,Ford Fiesta '14 ECOBOOST 125,FordFiestaECOBOOST125HP!TITANIUM!'14,334126659,9.990€,"187,60€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2014,98.000χλμ,Βενζίνη,1.000cc,125bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Δίχρωμο,Βελούδο,1/2025,99g/km,15ίντσες,90€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,5,5,5ώρεςπριν,277,www.car.gr/334126659,"6936037758,2100102323","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",
Opel,Corsa,2017,"Opel Corsa '17  STYLE EDITION 95 HP, EURO","OpelCorsaSTYLEEDITION95HP,EURO6!'17",332851328,10.400€,"146,14€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2017,108.000χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Δίχρωμο,Βελούδο,1/2024,89g/km,16ίντσες,0€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,5,5,5ώρεςπριν,1426,www.car.gr/332851328,"6936037758,2100102323","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Turbo', '{Ατρακάριστο', '{Βιβλίο service', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",Euro6d
Renault,Megane,2018,Renault Megane '18 BOSE EDITION-SUNROOF-HEAD UP,RenaultMeganeBOSEEDITION-SUNROOF-HEADUPDISPLAY.'18,333800178,19.850€,,Μεταχειρισμένο,Κόμπι/Kάραβαν,1/2018,142.802χλμ,Πετρέλαιο,1.500cc,110bhp,Αυτόματο,Καφέ(Μεταλλικό),Μαύρο,Δέρμα,,,18ίντσες,,"5,60(Εντός)/5,20(Εκτός)/5,30(Μικτό)λ/100χλμ",Άγνωστο,,Προσθιοκίνητο(FWD),10,5,5,15ώρεςπριν,375,www.car.gr/333800178,"6977072270,2651181588,6977072270","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",
Ford,Focus,2014,Ford Focus '14 PLATINUM ECOBOOST! 125,FordFocusPLATINUMECOBOOST!125HP!!!'14,331851849,9.990€,"140,38€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2014,109.000χλμ,Βενζίνη,1.000cc,125bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Δίχρωμο,Βελούδο,1/2024,103g/km,16ίντσες,100€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,5ώρεςπριν,1877,www.car.gr/331851849,"6936037758,2100102323","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Navigation - gps', '{Parktronic', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Αυτόματο παρκάρισμα', '{Βιβλίο service', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",
Ford,Fiesta,2018,Ford Fiesta '18 ST LINE! 125,"FordFiestaSTLINE!125HP,ΑΥΤΟΜΑΤΟ!'18",330937765,18.500€,"259,96€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2018,82.500χλμ,Βενζίνη,1.000cc,125bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Ύφασμα,1/2024,99g/km,17ίντσες,90€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,5,5,5ώρεςπριν,6840,www.car.gr/330937765,"6936037758,2100102323","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Euro6d-temp
Hyundai,i10,2013,Hyundai i 10 '13 ΑΡΙΣΤΗ,Hyundaii10ΑΡΙΣΤΗΚΑΤΑΣΤΑΣΗ.'13,332749704,7.650€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2013,85.023χλμ,Βενζίνη,1.100cc,70bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,,,15ίντσες,,"4,40(Εντός)/4,10(Εκτός)/4,20(Μικτό)λ/100χλμ",Άγνωστο,,Προσθιοκίνητο(FWD),6,5,5,15ώρεςπριν,577,www.car.gr/332749704,"6977072270,2651181588,6977072270","['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",
Audi,A1,2016,Audi A1 '16 S Line Diesel - Euro,AudiA1SLineDiesel-Euro6!!!'16,330625374,16.500€,"231,86€/μήνα",Μεταχειρισμένο,Κουπέ-Σπόρ,2/2016,139.000χλμ,Πετρέλαιο,1.400cc,105bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,1/2022,90g/km,18ίντσες,0€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),10,3,5,5ώρεςπριν,9663,www.car.gr/330625374,"6936037758,2100102323","['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Turbo', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Euro6d
Dacia,Sandero,2015,Dacia Sandero '15 STEPWAY-ΝAVI-CRUISE,DaciaSanderoSTEPWAY-ΝAVI-CRUISECONTROL.'15,333752364,10.350€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2015,140.977χλμ,Πετρέλαιο,1.500cc,90bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Γκρι,Ύφασμα,,,17ίντσες,,"5,20(Εντός)/4,70(Εκτός)/5(Μικτό)λ/100χλμ",Άγνωστο,,Προσθιοκίνητο(FWD),6,5,5,18ώρεςπριν,394,www.car.gr/333752364,"6977072270,2651181588,6977072270","['{Abs', '{Apple carplay', '{Bluetooth', '{Cd player', '{Cruise control', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",
Bmw,214ActiveTourer,2016,Bmw 214 Active Tourer '16 Full,Bmw214ActiveTourerFullled'16,330241834,15.000€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2016,157.000χλμ,Πετρέλαιο,1.500cc,95bhp,Χειροκίνητο,Ασημί,,,,,,,,Άγνωστο,1,,,5,5,16ώρεςπριν,3267,www.car.gr/330241834,"6949907542,6949907542","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Euro6
Mercedes-Benz,C43AMG,2020,Mercedes-Benz C 43 AMG '20  4MATIC 9G-TRONIC! AMG 450,Mercedes-BenzC43AMG4MATIC9G-TRONIC!AMG450HP'20,329627183,72.900€,"1.024,38€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2020,74.000χλμ,Βενζίνη,3.000cc,450bhp,Αυτόματο,Ασπρο(Μεταλλικό),Δίχρωμο,Alcantara,1/2024,,20ίντσες,,"9,60(Εντός)/9(Εκτός)/9,30(Μικτό)λ/100χλμ",Ζυγό,1,4x4(4WD),10,5,4,5ώρεςπριν,17839,www.car.gr/329627183,"6936037758,2100102323","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",Euro6d-temp
Ford,Focus,2017,Ford Focus '17 ST LINE! 125,"FordFocusSTLINE!125HP,NAVI!'17",328794997,16.990€,"238,74€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2017,75.200χλμ,Βενζίνη,1.000cc,125bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Δέρμα,1/2024,99g/km,17ίντσες,90€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,3,5,5ώρεςπριν,9946,www.car.gr/328794997,"6936037758,2100102323","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Euro6d-temp
Ford,Fiesta,2019,Ford Fiesta '19 ST LINE! 125,"FordFiestaSTLINE!125HP,ΑΥΤΟΜΑΤΟ!'19",333632656,18.500€,"259,96€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2019,72.500χλμ,Βενζίνη,1.000cc,125bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δίχρωμο,Ύφασμα,1/2025,99g/km,17ίντσες,90€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,5,5,5ώρεςπριν,64,www.car.gr/333632656,"6936037758,2100102323","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",Euro6d-temp
Mini,Cooper,2015,Mini Cooper '15 CHILI BLACK CONCEPT!!! EURO,MiniCooperCHILIBLACKCONCEPT!!!EURO6'15,332456911,13.500€,"189,70€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2015,110.000χλμ,Βενζίνη,1.200cc,102bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δίχρωμο,Ύφασμα,1/2025,108g/km,16ίντσες,100€,"5,50(Εντός)/4,50(Εκτός)/5(Μικτό)λ/100χλμ",Άγνωστο,1,Πισωκίνητο(RWD),8,3,5,5ώρεςπριν,3352,www.car.gr/332456911,"6936037758,2100102323","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",Euro6
