brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Κατανάλωση,Πινακίδα,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Αυτονομίαμπαταρίας,Χωρητικότηταμπαταρίας,Τέληκυκλοφορίας,Χρόνοςφόρτισηςμπαταρίας,Κτέομέχρι,Σύνολοκατόχων,Kilowatt,Χρόνοςγρήγορηςφόρτισηςμπαταρίας
Fiat,500,2010,Fiat 500 '10 Abarth C 1.4 16V Sport,Fiat500AbarthC1.416VSportDualogic'10,332743785,14.950€,Μεταχειρισμένο,Κάμπριο/Roadster,7/2010,151.205χλμ,Βενζίνη,1.368cc,140bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα,151g/km,Euro5,17ίντσες,"6,50(Μικτό)λ/100χλμ",Μονό,Προσθιοκίνητο(FWD),5,3,4,17ώρεςπριν,680,www.car.gr/332743785,"2109637700,6945777727,6945777737","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Esp', '{Hill assist', '{Immobilizer', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,255€,,12/2023,,,
Smart,ForTwo,2017,Smart ForTwo '17 Electric Drive Passion,"SmartForTwoElectricDrivePassionCoupe,panorama'17",331969252,13.200€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2017,20.575χλμ,Ηλεκτρικό,,82bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,,,15ίντσες,,Χωρίς,Πισωκίνητο(RWD),5,3,2,17ώρεςπριν,832,www.car.gr/331969252,"2109637700,6945777727,6945777737","['{Abs', '{Android auto', '{Bluetooth', '{Cruise control', '{Esp', '{Hill assist', '{Immobilizer', '{Tcs - asr', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",160χλμ,18kwh,,6ώρες,,,61kw,3ώρες
Bmw,X3,2016,Bmw X3 '16,BmwX3sDrive18d'16,323551359,28.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,3/2016,102.330χλμ,Πετρέλαιο,1.995cc,150bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,132g/km,Euro6,17ίντσες,"5,10(Μικτό)λ/100χλμ",Μονό,Πισωκίνητο(RWD),8,5,5,17ώρεςπριν,3702,www.car.gr/323551359,"2109637700,6945777727,6945777737","['{Abs', '{Bluetooth', '{Cd player', '{Cruise control', '{Dvd', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,158€,,,,,
Mini,Countryman,2019,Mini Countryman '19 Cooper,MiniCountrymanCooperSE'19,333061451,34.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,12/2019,49.077χλμ,Υβριδικόβενζίνη,1.499cc,220bhp,Αυτόματο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,43g/km,Euro6,17ίντσες,"1,90(Μικτό)λ/100χλμ",Χωρίς,4x4(4WD),8,5,5,17ώρεςπριν,240,www.car.gr/333061451,"2109637700,6945777727,6945777737","['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Apple carplay', '{Bluetooth', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Αυτόματο παρκάρισμα', '{Βιβλίο service', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Ράδιοκασετ\\u002Fνο', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",51χλμ,10kwh,0€,,,,,
Abarth,500,2010,Abarth 500 '10 C 1.4 16V Sport,Abarth500C1.416VSportDualogic'10,332887204,14.950€,Μεταχειρισμένο,Κάμπριο/Roadster,7/2010,151.205χλμ,Βενζίνη,1.368cc,140bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα,151g/km,Euro5,17ίντσες,"6,50(Μικτό)λ/100χλμ",Μονό,Προσθιοκίνητο(FWD),5,3,4,17ώρεςπριν,791,www.car.gr/332887204,"2109637700,6945777727,6945777737","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Esp', '{Hill assist', '{Immobilizer', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,255€,,12/2023,,,
Audi,A3,2016,Audi A3 '16 Sportback 1.6 TDI,AudiA3Sportback1.6TDI6τάχυτο'16,332032955,15.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2016,138.295χλμ,Πετρέλαιο,1.598cc,110bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,99g/km,Euro6,16ίντσες,"3,90(Μικτό)λ/100χλμ",Ζυγό,Προσθιοκίνητο(FWD),7,5,5,17ώρεςπριν,1072,www.car.gr/332032955,"2109637700,6945777727,6945777737","['{Abs', '{Bluetooth', '{Cd player', '{Dvd', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Tcs - asr', '{Turbo', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Ράδιοκασετ\\u002Fνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon']",,,89€,,3/2025,,,
Jaguar,I-Pace,2019,"Jaguar I-Pace '19 Panorama,Head-up, 360, Active","JaguarI-PacePanorama,Head-up,360,ActiveAir-suspension'19",334423801,49.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,11/2019,38.054χλμ,Ηλεκτρικό,,400bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μπεζ,Δέρμα,,,20ίντσες,,Χωρίς,4x4(4WD),9,5,5,17ώρεςπριν,147,www.car.gr/334423801,"2109637700,6945777727,6945777737","['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Dvd', '{Esp', '{Head-up display', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Tv\\u002Fcamera', '{Usb', '{Αερανάρτηση', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Αντικλεπτικό gps', '{Ατρακάριστο', '{Αυτόματο παρκάρισμα', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Μπλοκέ διαφορικό', '{Οθόνη tft', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Συναγερμός', '{Σύστημα μη σύγκρουσης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",555χλμ,90kwh,,13ώρες,5/2025,,298kw,1ώρες
Abarth,500,2010,Abarth 500 '10 C 1.4 16V Sport,Abarth500C1.416VSportDualogic'10,332743695,14.950€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2010,151.205χλμ,Βενζίνη,1.368cc,140bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα,151g/km,Euro5,17ίντσες,"6,50(Μικτό)λ/100χλμ",Μονό,Προσθιοκίνητο(FWD),5,3,4,17ώρεςπριν,811,www.car.gr/332743695,"2109637700,6945777727,6945777737","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Esp', '{Hill assist', '{Immobilizer', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,255€,,12/2023,,,
Jaguar,I-Pace,2019,"Jaguar I-Pace '19 HSE, Performance, Carbon, 22"", Pano, Active","JaguarI-PaceHSE,Performance,Carbon,22"",Pano,ActiveB.C.'19",334422840,59.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2019,45.305χλμ,Ηλεκτρικό,,400bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα,,,20ίντσες,,Μονό,4x4(4WD),9,5,5,17ώρεςπριν,59,www.car.gr/334422840,"2109637700,6945777727,6945777737","['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Dvd', '{Esp', '{Head-up display', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Tv\\u002Fcamera', '{Usb', '{Αερανάρτηση', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Αντικλεπτικό gps', '{Ατρακάριστο', '{Αυτόματο παρκάρισμα', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Μπλοκέ διαφορικό', '{Οθόνη tft', '{Οροφή πανοραμική', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Συναγερμός', '{Σύστημα μη σύγκρουσης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",555χλμ,90kwh,,13ώρες,3/2025,,298kw,1ώρες
Smart,ForTwo,2015,Smart ForTwo '15 city-coupé passion,SmartForTwocity-coupépassionmanual'15,331749897,8.890€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2015,87.570χλμ,Βενζίνη,999cc,71bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,93g/km,Euro6,15ίντσες,"4,10(Μικτό)λ/100χλμ",Χωρίς,Πισωκίνητο(RWD),5,3,2,17ώρεςπριν,444,www.car.gr/331749897,"2109637700,6945777727,6945777737","['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,83€,,,,,
Citroen,E-MEHARI,2016,Citroen E-MEHARI,CitroenE-MEHARI'16,334373873,14.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2016,51.130χλμ,Ηλεκτρικό,,67bhp,Αυτόματο,Κόκκινο(Μεταλλικό),Μπεζ,Δέρμα,,,15ίντσες,,Χωρίς,Προσθιοκίνητο(FWD),4,3,4,17ώρεςπριν,210,www.car.gr/334373873,"2109637700,6945777727,6945777737","['{Abs', '{Bluetooth', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή πανοραμική', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",200χλμ,30kwh,,8ώρες,,,50kw,
Porsche,Cayenne,2020,Porsche Cayenne '20 Coupe E-Hybrid Launch,PorscheCayenneCoupeE-HybridLaunchcontrol'20,330910549,124.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2020,41.500χλμ,Υβριδικόplug-inβενζίνη,2.995cc,462bhp,Αυτόματο,Γκρι(Μεταλλικό),Μπεζ,Δέρμα,72g/km,Euro6,21ίντσες,"3,20(Μικτό)λ/100χλμ",Ζυγό,AWD,8,5,5,17ώρεςπριν,583,www.car.gr/330910549,"2109637700,6945777727,6945777737","['{Abs', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Head-up display', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Αερανάρτηση', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Συναγερμός', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",36χλμ,14kwh,0€,2ώρες,12/2024,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazda,MX-30,2020,Mazda MX-30 '20 First Edition Modern,MazdaMX-30FirstEditionModernConfidence'20,323523602,26.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,9/2020,15.541χλμ,Ηλεκτρικό,,143bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,,,18ίντσες,,Ζυγό,Προσθιοκίνητο(FWD),9,5,5,17ώρεςπριν,12207,www.car.gr/323523602,"2109637700,6945777727,6945777737","['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Head-up display', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",255χλμ,36kwh,,10ώρες,,,107kw,1ώρες
