brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Επένδυσησαλονιού,Πινακίδα,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρώμαεσωτερικού,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κίνηση,Χρηματοδότηση,Ρύποι(co2),Κλάσηρύπων,Σύνολοκατόχων,Αερόσακοι,Κτέομέχρι,Παράδοσηστοσπίτι,Κατανάλωση
Toyota,Hilux,2023,Toyota Hilux '23 2.8D DC 4X4 GR SPORT ULTIMATE EDITION 6A/T,ToyotaHilux2.8DDC4X4GRSPORTULTIMATEEDITION6A/T'23,334494539,42.259€Χωρίςφπα,,Αγροτικό/Pickup,9/2023Καινούριο,,Πετρέλαιο,2.755cc,204bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δέρμα-ύφασμα,Χωρίς,4,5,3ημέρεςπριν,199,www.car.gr/334494539,"2251031000,6979798207,6979798207","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Usb', 'Αγροτικό', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμή χωρίς φπα', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Γκρι,17ίντσες,105€,4x4(4WD),,248g/km,,,7,,,
Mercedes-Benz,SLK350,2005,Mercedes-Benz SLK 350 '05 CABRIO! LOOK AMG,Mercedes-BenzSLK350CABRIO!LOOKAMG350!ΔΟΣΕΙΣ'05,22630171,16.648€,Μεταχειρισμένο,Κάμπριο/Roadster,5/2005,149.900χλμ,Βενζίνη,3.498cc,272bhp,Αυτόματο,Μαύρο,Δέρμα,Ζυγό,2,2,3ημέρεςπριν,3048,www.car.gr/22630171,"2310705705,6945851831","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hardtop', 'Immobilizer', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Γραμμάτια δεκτά', 'Δερμάτινα καθίσματα', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,19ίντσες,,Πισωκίνητο(RWD),,,,,6,,,
Opel,Astra,2016,Opel Astra,OpelAstra'16,330727308,17.300€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2016,110.600χλμ,Πετρέλαιο,1.600cc,160bhp,Χειροκίνητο,Κόκκινο,,Μονό,5,5,7ώρεςπριν,2902,www.car.gr/330727308,"6942610383,6942610383","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,18ίντσες,108€,,,,Euro6,,,1/2024,,
Peugeot,208,2013,Peugeot 208 '13  Turbo GT,Peugeot208TurboGT'13,330865633,11.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2013,94.300χλμ,Βενζίνη,1.600cc,156bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δέρμα,Άγνωστο,3,5,6ώρεςπριν,2843,www.car.gr/330865633,"6947972820,6947972820","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Μαύρο,17ίντσες,,,,,Euro5,1,6,1/2025,Ναι,
Opel,GrandlandX,2017,Opel Grandland X '17  1.6 Diesel,OpelGrandlandX1.6DieselDynamic'17,330762798,19.400€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,12/2017,160.000χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δέρμα-ύφασμα,Ζυγό,5,5,7ώρεςπριν,1987,www.car.gr/330762798,"6942610383,6942610383","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,18ίντσες,,,,,,,,,,
Volkswagen,GolfSportsvan,2015,Volkswagen Golf Sportsvan '15,VolkswagenGolfSportsvanHighline'15,330726983,16.500€,Μεταχειρισμένο,Van/MiniBus,5/2015,120.400χλμ,Πετρέλαιο,1.600cc,110bhp,Αυτόματο,Ασπρο,Alcantara,Ζυγό,5,5,7ώρεςπριν,1556,www.car.gr/330726983,"6942610383,6942610383","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon', 'Φώτα που στρίβουν']",,17ίντσες,108€,,,,Euro6,,10,12/2024,,
Toyota,Avensis,2003,Toyota Avensis,ToyotaAvensis'03,334248845,5.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2003,185.000χλμ,Αέριο(lpg)-βενζίνη,1.600cc,110bhp,Χειροκίνητο,Ασημί,Ύφασμα,Μονό,4,5,2ώρεςπριν,196,www.car.gr/334248845,6955443987,"['Abs', 'Cd player', 'Immobilizer', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Φώτα led']",Μαύρο,16ίντσες,260€,,,,,2,6,5/2024,,
Suzuki,Vitara,2018,"Suzuki Vitara '18 4x4,AUTO,ALL","SuzukiVitara4x4,AUTO,ALLGRIP,NAVI,Γραμμάτια!!!'18",323059395,22.845€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2018,110.100χλμ,Πετρέλαιο,1.600cc,120bhp,Αυτόματο,Ασπρο(Μεταλλικό),Ύφασμα,Ζυγό,5,5,3ημέρεςπριν,5893,www.car.gr/323059395,"2310705705,6945851831","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Ελληνικής αντιπροσωπείας', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μαύρο,,115€,4x4(4WD),,118g/km,Euro6,,,,,
Hyundai,i30,2018,Hyundai i 30 '18 Sw!Auto!Diesel!Navi!Cruise!Με,Hyundaii30Sw!Auto!Diesel!Navi!Cruise!ΜεΓραμμάτια!'18,328543225,18.298€,Μεταχειρισμένο,Κόμπι/Kάραβαν,8/2018,112.000χλμ,Πετρέλαιο,1.600cc,110bhp,Αυτόματο,Ασημί,,Άγνωστο,5,5,3ημέρεςπριν,1268,www.car.gr/328543225,"2310705705,6945851831","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Γραμμάτια δεκτά', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,Προσθιοκίνητο(FWD),,,,,,,,
Citroen,Xantia,1997,Citroen Xantia '97 500€ ΠΡΟΚΑΤΑΒΟΛΗ ΕΩΣ 24 ΑΤΟΚΕΣ,CitroenXantia500€ΠΡΟΚΑΤΑΒΟΛΗΕΩΣ24ΑΤΟΚΕΣΔΟΣΕΙΣ!'97,31845257,2.299€,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/1997,244.357χλμ,Βενζίνη,1.580cc,95bhp,Χειροκίνητο,Μπορντό,Ύφασμα,Ζυγό,5,5,3ημέρεςπριν,1858,www.car.gr/31845257,"2310705705,6945851831","['Abs', 'Bucket καθίσματα', 'Αερανάρτηση', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,,
Nissan,Navara,2007,Nissan Navara,NissanNavara'07,334473631,15.100€,Μεταχειρισμένο,Αγροτικό/Pickup,7/2007,210.300χλμ,Πετρέλαιο,2.500cc,174bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Ύφασμα,Ζυγό,4,5,1ημέραπριν,141,www.car.gr/334473631,6978229592,"['Abs', 'Bluetooth', 'Cd player', 'Hardtop', 'Immobilizer', 'Parktronic', 'Turbo', 'Αγροτικό', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Γκρι,16ίντσες,105€,4x4(4WD),,,,,,,,
Audi,A1,2017,Audi A1 '17  Sportback 1.0 TFSI ultra,AudiA1Sportback1.0TFSIultradesign'17,334494534,14.250€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2017,74.244χλμ,Βενζίνη,1.000cc,95bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Ύφασμα,Άγνωστο,5,5,11ώρεςπριν,105,www.car.gr/334494534,6937149530,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Keyless', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Γκρι,16ίντσες,95€,,"309,83€/μήνα",97g/km,Euro6,1,,,,
Audi,A3,2020,Audi A3 '20 SPORTBACK 1.6 30 TDI 116HP BUSINESS,AudiA3SPORTBACK1.630TDI116HPBUSINESSΕΛΛΗΝΙΚΟ'20,333951761,16.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2020,187.000χλμ,Πετρέλαιο,1.600cc,115bhp,Χειροκίνητο,Ασπρο,Ύφασμα,Ζυγό,5,5,3ώρεςπριν,265,www.car.gr/333951761,"2314001383,6972855407","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",Μαύρο,16ίντσες,99€,Προσθιοκίνητο(FWD),"237,04€/μήνα",101g/km,Euro6,1,8,5/2024,,5(Εντός)/3(Εκτός)/4(Μικτό)λ/100χλμ
LandRover,RangeRoverSport,2019,Land Rover Range Rover Sport '19 P400 2.0,LandRoverRangeRoverSportP4002.0PLUG-IN'19,334245506,94.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2019,90.000χλμ,Υβριδικόplug-inβενζίνη,2.000cc,404bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δέρμα,Ζυγό,5,5,3ώρεςπριν,1720,www.car.gr/334245506,6988412412,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Μαύρο,22ίντσες,0€,4x4(4WD),,,,,10,11/2024,,
Toyota,Yaris,2009,Toyota Yaris,ToyotaYaris'09,331950906,7.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2009,139.000χλμ,Βενζίνη,1.300cc,101bhp,Χειροκίνητο,Μαύρο,,Άγνωστο,5,5,3ώρεςπριν,3749,www.car.gr/331950906,6970017001,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,15ίντσες,135€,,,,Euro4,1,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot,Partner,2018,Peugeot Partner '18 BlueHDi 3ΘΕΣΙΟ,PeugeotPartnerBlueHDi3ΘΕΣΙΟ'18,332182917,9.800€,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,11/2018,123.500χλμ,Πετρέλαιο,1.600cc,90bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Ύφασμα,Άγνωστο,5,3,6ώρεςπριν,1253,www.car.gr/332182917,"6947972820,6947972820","['Abs', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Συρόμενη πόρτα αριστερά', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",Μαύρο,14ίντσες,80€,,,,Euro6d,1,4,1/2025,Ναι,
Peugeot,Boxer,2017,Peugeot Boxer '17  Van L2H2 335 2.0 BlueHDi,PeugeotBoxerVanL2H23352.0BlueHDiComfort'17,327468567,18.000€Χωρίςφπα,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,3/2017,86.900χλμ,Πετρέλαιο,2.000cc,130bhp,Χειροκίνητο,Ασπρο,,Ζυγό,5,3,9ώρεςπριν,613,www.car.gr/327468567,"2351045221,2351045224,6976121581","['Abs', 'Bluetooth', 'Immobilizer', 'Turbo', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Συρόμενη πόρτα δεξιά', 'Τιμή χωρίς φπα', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,Euro6,1,,2/2024,,
Renault,Kadjar,2016,Renault Kadjar '16  Energy dCi Auto 110HP,RenaultKadjarEnergydCiAuto110HPECO2'16,327660437,18.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2016,109.606χλμ,Πετρέλαιο,1.461cc,110bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),,Χωρίς,5,5,9ώρεςπριν,1140,www.car.gr/327660437,"2351045221,2351045224,6976121581","['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,17ίντσες,,Προσθιοκίνητο(FWD),,,Euro6,1,8,,,
Audi,A6,2007,Audi A6,AudiA6'07,333928223,10.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2007,103.000χλμ,Βενζίνη,2.400cc,180bhp,Αυτόματο,Μπλεσκούρο,Δέρμα,Ζυγό,5,5,3ημέρεςπριν,40,www.car.gr/333928223,6948175245,['Ελληνικής αντιπροσωπείας'],,19ίντσες,,,,,,2,10,5/2025,,"10(Εντός)/8,50(Εκτός)/9(Μικτό)λ/100χλμ"
Hyundai,i10,2015,Hyundai i 10 '15  1.2,Hyundaii101.2Style'15,330230909,9.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2015,80.489χλμ,Βενζίνη,1.248cc,87bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,Χωρίς,5,5,9ώρεςπριν,1038,www.car.gr/330230909,"2351045221,2351045224,6976121581","['Abs', 'Cruise control', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,Euro6,1,,,,
Citroen,C3,2016,Citroen C3 '16   ΑΨΟΓΟ EURO6 AUTOMATIC,CitroenC3ΑΨΟΓΟEURO6AUTOMATICF1'16,333757787,11.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,5/2016,122.800χλμ,Βενζίνη,1.200cc,99bhp,Αυτόματο,Ασημί,Δέρμα-ύφασμα,Άγνωστο,5,5,6ώρεςπριν,233,www.car.gr/333757787,"6947972820,6947972820","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']",Δίχρωμο,16ίντσες,,Προσθιοκίνητο(FWD),,,Euro6d,1,6,1/2025,Ναι,
Fiat,500S,2015,Fiat 500S '15 Sport!105hp!Γραμμάτια μεταξύ,Fiat500SSport!105hp!Γραμμάτιαμεταξύμας!'15,333648118,11.995€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2015,94.600χλμ,Βενζίνη,875cc,105bhp,Χειροκίνητο,Μπλέ,Δέρμα-ύφασμα,Άγνωστο,3,4,3ημέρεςπριν,144,www.car.gr/333648118,"2310705705,6945851831","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Δερμάτινα καθίσματα', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,16ίντσες,90€,,,99g/km,Euro6,,,,,
