brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κλάσηρύπων,Μέγεθοςζάντας,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Τέληκυκλοφορίας,Κατανάλωση,Κτέομέχρι,Χρηματοδότηση,Ρύποι(co2),Παράδοσηστοσπίτι,Αυτονομίαμπαταρίας,Χωρητικότηταμπαταρίας
Mazda,RX-8,2007,Mazda RX-8,MazdaRX-8'07,328825617,8.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2007,128.000χλμ,Βενζίνη,1.300cc,1bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),Δίχρωμο,Alcantara,,18ίντσες,Ζυγό,2,,9,5,4,10ώρεςπριν,1408,www.car.gr/328825617,6988580691,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led', 'Φώτα xenon']",,,1/2023,,,,,
Peugeot,107,2008,Peugeot 107 '08 LPG ΠΡΟΣΦΟΡΑ ΓΙΑ ΛΙΓΕΣ ΜΈΡΕΣ,Peugeot107LPGΠΡΟΣΦΟΡΑΓΙΑΛΙΓΕΣΜΈΡΕΣ'08,334044802,4.999€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2008,120.000χλμ,Αέριο(lpg)-βενζίνη,998cc,69bhp,Αυτόματο,Ασπρο(Μεταλλικό),Γκρι,,Euro5,,Ζυγό,1,,5,5,5,7ώρεςπριν,107,www.car.gr/334044802,"6972076594,2441055213,6972076594","['Abs', 'Adaptive cruise control (acc)', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι', 'Φώτα led']",,,8/2024,,,,,
Toyota,Hiace,2006,Toyota Hiace,ToyotaHiace'06,334044852,10.000€,Μεταχειρισμένο,Αλλο,1/2006,191.000χλμ,Πετρέλαιο,2.500cc,110bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,,Euro5,,Ζυγό,,Προσθιοκίνητο(FWD),5,5,2,5ώρεςπριν,116,www.car.gr/334044852,"6972076594,2441055213,6972076594","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Turbo', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,6/2025,,,,,
Mitsubishi,SpaceStar,2016,"Mitsubishi Space Star '16 ""Diamant edition"" 1193","MitsubishiSpaceStar""Diamantedition""1193cc'16",331056634,9.300€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2016,115.000χλμ,Βενζίνη,1.193cc,70bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Γκρι,Ύφασμα,Euro6,15ίντσες,Άγνωστο,1,Προσθιοκίνητο(FWD),4,5,5,7ώρεςπριν,931,www.car.gr/331056634,"6972076594,2441055213,6972076594","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,
Opel,Corsa,2016,Opel Corsa '16 Colοr edition  TURBO,OpelCorsaColοreditionTURBO'16,326858277,11.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,12/2016,134.000χλμ,Βενζίνη,1.400cc,105bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Δίχρωμο,Ύφασμα,Euro6,17ίντσες,Άγνωστο,1,Προσθιοκίνητο(FWD),4,5,5,6ώρεςπριν,2715,www.car.gr/326858277,"6972076594,2441055213,6972076594","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,,
Kia,Sportage,2021,Kia Sportage,KiaSportage'21,332973716,27.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,3/2021,23.600χλμ,Υβριδικόπετρέλαιο,1.600cc,116bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,,,17ίντσες,Ζυγό,1,Προσθιοκίνητο(FWD),,5,5,3ημέρεςπριν,344,www.car.gr/332973716,"6937655784,6936576749","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",83€,6(Μικτό)λ/100χλμ,,,,,,
Bmw,318,2003,Bmw 318 '03,Bmw318Coupé'03,319073967,6.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,9/2003,119.000χλμ,Βενζίνη,1.995cc,143bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,,18ίντσες,Ζυγό,2,,6,2,5,3ημέρεςπριν,2820,www.car.gr/319073967,"6936515320,6973676183","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",,10(Εντός)/9(Εκτός)/8(Μικτό)λ/100χλμ,,,,,,
Chevrolet,Matiz,2006,Chevrolet Matiz '06 Ελληνικο πρωτο,ChevroletMatizΕλληνικοπρωτοχερι!'06,334029749,2.599€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2006,80.000χλμ,Αέριο(lpg)-βενζίνη,800cc,60bhp,Χειροκίνητο,Ασπρο,Μαύρο,,,,Ζυγό,,,2,5,5,5ώρεςπριν,1871,www.car.gr/334029749,6988999988,"['Abs', 'Cd player', 'Tv\\u002Fcamera', 'Ελληνικής αντιπροσωπείας', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft']",120€,"4(Εντός)/5(Εκτός)/4,50(Μικτό)λ/100χλμ",8/2023,,,,,
Peugeot,3008,2023,Peugeot 3008 '23 ACTIVE PACK AYTOMATO ΛΕΥΚΟ,Peugeot3008ACTIVEPACKAYTOMATOΛΕΥΚΟΠΕΡΛΑ'23,333627681,33.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2023,960χλμ,Πετρέλαιο,1.500cc,130bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,Euro6d-temp,17ίντσες,Άγνωστο,,Προσθιοκίνητο(FWD),6,5,5,10ώρεςπριν,1292,www.car.gr/333627681,"2109690281,2109625300","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,4/2027,,,,,
Peugeot,2008,2023,Peugeot 2008 '23 ACTIVE PLUS 100HP ΕΛΛΗΝΙΚΟ ΜΕ,Peugeot2008ACTIVEPLUS100HPΕΛΛΗΝΙΚΟΜΕΦ.Π.Α'23,334240204,26.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2023,549χλμ,Βενζίνη,1.200cc,100bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Βελούδο,Euro6d-temp,16ίντσες,Μονό,,Προσθιοκίνητο(FWD),6,5,5,10ώρεςπριν,161,www.car.gr/334240204,"2109690281,2109625300","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,1/2027,,,,,
Peugeot,3008,2018,Peugeot 3008 '18 1.2 PURETECH 130HP ALLURE PACK GRIP,Peugeot30081.2PURETECH130HPALLUREPACKGRIPCONTROL'18,333235378,23.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,3/2018,73.991χλμ,Βενζίνη,1.199cc,130bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,Euro6,18ίντσες,Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,10ώρεςπριν,519,www.car.gr/333235378,"2108940612,2108940712","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,"386,51€/μήνα",,,,
Suzuki,Swift,2010,Suzuki Swift '10 GLX KEYLESS - FULL BOOKSERVICE,SuzukiSwiftGLXKEYLESS-FULLBOOKSERVICE'10,333442390,7.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2010,197.000χλμ,Βενζίνη,1.300cc,95bhp,Χειροκίνητο,Κόκκινο,Μαύρο,Ύφασμα,,16ίντσες,Μονό,1,Προσθιοκίνητο(FWD),6,5,5,10ώρεςπριν,219,www.car.gr/333442390,"2109690281,2109625300","['Abs', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,6/2025,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LandRover,RangeRoverSport,2014,Land Rover Range Rover Sport '14 ΕΛΛΗΝΙΚΟ 65.000,LandRoverRangeRoverSportΕΛΛΗΝΙΚΟ65.000ΧΛΜ'14,322226074,68.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2014,65.000χλμ,Πετρέλαιο,3.000cc,306bhp,Αυτόματο,Ασπρο,Ασπρο,Δέρμα,,20ίντσες,Ζυγό,,,,5,5,5ώρεςπριν,169,www.car.gr/322226074,6951375685,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,,,,,
Opel,Corsa,2013,Opel Corsa '13 1.4 turbo ecoflex limited,OpelCorsa1.4turboecoflexlimitededit'13,333242068,7.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2013,134.604χλμ,Βενζίνη,1.400cc,120bhp,Χειροκίνητο,Μαύρο,Μαύρο,Ύφασμα,Euro5,16ίντσες,Ζυγό,1,,,3,4,3ώρεςπριν,760,www.car.gr/333242068,6937225363,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",154€,"7,20(Εντός)/4,50(Εκτός)/5,50(Μικτό)λ/100χλμ",12/2023,,129g/km,,,
Mazda,6,2009,Mazda 6,Mazda6'09,334451478,5.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,8/2009,404χλμ,Βενζίνη,1.798cc,120bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μαύρο,Ύφασμα,,16ίντσες,Μονό,,,6,4,5,17ώρεςπριν,169,www.car.gr/334451478,6971503919,"['Abs', 'Cd player', 'Esp', 'Parktronic', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Συναγερμός', 'Υδραυλικό τιμόνι']",,,8/2025,,,,,
Bmw,740,2016,Bmw 740 '16  Le xdriv sky long individual,Bmw740Lexdrivskylongindividual'16,333652779,68.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,6/2016,82.000χλμ,Υβριδικόplug-inβενζίνη,1.998cc,326bhp,Αυτόματο,Γκρι(Μεταλλικό),Μπεζ,Δέρμα,Euro6,19ίντσες,Μονό,,4x4(4WD),10,5,4,7ώρεςπριν,520,www.car.gr/333652779,6972323549,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",0€,"2,10(Μικτό)λ/100χλμ",5/2025,,49g/km,,40χλμ,9kwh
Subaru,Forester,2009,Subaru Forester,SubaruForester'09,318100677,7.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2009,295.000χλμ,Βενζίνη,2.000cc,150bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Γκρι,Δέρμα,,,Ζυγό,1,,,5,5,7ώρεςπριν,167,www.car.gr/318100677,6932914218,"['Abs', 'Cd player', 'Cruise control', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Θερμαινόμενα καθίσματα', 'Κλιματισμός(a\\u002Fc)', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης']",,"9,50(Εντός)/λ/100χλμ",11/2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini,Cooper,2001,Mini Cooper,MiniCooper'01,330542708,4.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2001,280.000χλμ,Βενζίνη,1.600cc,116bhp,Χειροκίνητο,Κόκκινο,Κόκκινο,Δέρμα,,18ίντσες,Μονό,2,Προσθιοκίνητο(FWD),,2,4,10ώρεςπριν,3249,www.car.gr/330542708,6971637404,[],,7(Μικτό)λ/100χλμ,,,,,,
Nissan,Micra,2017,Nissan Micra '17 ACENTA.ΔΩΡΟ ΤΟ SERVICE - ΔΩΡΟ ΟΛΑ ΤΑ,NissanMicraACENTA.ΔΩΡΟΤΟSERVICE-ΔΩΡΟΟΛΑΤΑΕΞΟΔΑ.'17,334475624,9.590€,Μεταχειρισμένο,Αλλο,6/2017,134.795χλμ,Βενζίνη,1.198cc,80bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,Euro6,15ίντσες,Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,8ώρεςπριν,93,www.car.gr/334475624,"2221062250,2221062251,6945372424","['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,5/2024,,115g/km,,,
Bmw,M5,2001,Bmw M5,BmwM5'01,330940703,19.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2001,110.000χλμ,Βενζίνη,2.000cc,407bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Μπεζ,Δέρμα,,18ίντσες,Μονό,,Πισωκίνητο(RWD),10,5,5,3ημέρεςπριν,9849,www.car.gr/330940703,6985799068,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Esp', 'Immobilizer', 'Parktronic', 'Tv\\u002Fcamera', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,,,,,,
Ford,Fiesta,2017,Ford Fiesta '17  1.5 TDCi ECOnetic,FordFiesta1.5TDCiECOneticTrend'17,333253928,9.600€,Μεταχειρισμένο,Κόμπι/Kάραβαν,1/2017,133.200χλμ,Πετρέλαιο,1.465cc,95bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),Δίχρωμο,Ύφασμα,Euro6c,15ίντσες,Άγνωστο,1,,5,5,5,6ώρεςπριν,802,www.car.gr/333253928,"6972076594,2441055213,6972076594","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,2/2024,,,,,
Citroen,C1,2018,Citroen C1 '18,CitroenC1Live'18,330793365,9.300€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2018,112.000χλμ,Βενζίνη,998cc,69bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,Euro6c,,Άγνωστο,1,,4,5,5,7ώρεςπριν,777,www.car.gr/330793365,"6972076594,2441055213,6972076594","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,12/2023,,,,,
Fiat,Panda,2015,Fiat Panda,FiatPanda'15,333122002,8.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2015,115.000χλμ,Βενζίνη,1.242cc,69bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),Δίχρωμο,Ύφασμα,Euro6d,,Άγνωστο,1,Προσθιοκίνητο(FWD),5,5,5,6ώρεςπριν,28,www.car.gr/333122002,"6972076594,2441055213,6972076594","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,4/2025,,,,,
