brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Μέγεθοςζάντας,Πινακίδα,Σύνολοκατόχων,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρηματοδότηση,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Αερόσακοι,Παράδοσηστοσπίτι,Κλάσηρύπων,Τέληκυκλοφορίας,Κίνηση,Κατανάλωση,Ρύποι(co2),Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat,Panda,2017,Fiat Panda '17,FiatPandaΕΛΛΗΝΙΚΟ/ΑΡΙΣΤΟ!!!!!!!'17,331694067,7.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2017,165.000χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Ασπρο,,Μονό,1,5,5,13ώρεςπριν,24,www.car.gr/331694067,"2316016262,6944297636,6942470499","['Abs', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,,,,,,
Audi,A3,2008,Audi A3 '08 Sportback,AudiA3Sportbackambition!!!ΑΡΙΣΤΟ!!'08,333593855,8.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2008,148.000χλμ,Βενζίνη,1.400cc,125bhp,Χειροκίνητο,Καφέ(Μεταλλικό),17ίντσες,Άγνωστο,1,5,5,13ώρεςπριν,77,www.car.gr/333593855,"2316016262,6944297636,6942470499","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,,,,,,
Toyota,Auris,2010,Toyota Auris '10,ToyotaAurisΙΔΙΩΤΗ/ΑΡΙΣΤΟ!!!!!!!'10,333929098,8.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2010,147.000χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,Μονό,,5,5,13ώρεςπριν,998,www.car.gr/333929098,"2316016262,6944297636,6942470499","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Immobilizer', 'Navigation - gps', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,,,,,,
Renault,Clio,2019,Renault Clio '19,RenaultClioΕΛΛΗΝΙΚΟ/ΑΡΙΣΤΟ!!!!!!'19,333776079,11.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2019,127.500χλμ,Πετρέλαιο,1.500cc,90bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),,Άγνωστο,,5,5,11ώρεςπριν,468,www.car.gr/333776079,"2316016262,6944297636,6942470499","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,,,,,,
Peugeot,306,1999,Peugeot 306 '99,Peugeot306*ΥΔΡΑΥΛΙΚΟ_ΤΙΜΟΝΙ_ΑCC*'99,330848245,1.800€,Μεταχειρισμένο,Λιμουζίνα/Sedan,12/1999,188.000χλμ,Βενζίνη,1.360cc,75bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),15ίντσες,Άγνωστο,1,5,5,έναλεπτόπριν,4958,www.car.gr/330848245,"2611104282,6983458433,6984255394","['{Abs', '{Bluetooth', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Αντ\\u002Fγή με σκάφος δεκτή', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Πιστωτική κάρτα δεκτή', '{Υδραυλικό τιμόνι']","100,00€/μήνα",Μαύρο,Ύφασμα,5/2024,1,Ναι,,,,,,,,,,
Audi,A3,2018,Audi A3 '18 Sportback 1.6 TDI,AudiA3Sportback1.6TDIBusiness'18,334478113,18.350€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2018,91.000χλμ,Πετρέλαιο,1.600cc,116bhp,Χειροκίνητο,Ασπρο,16ίντσες,Άγνωστο,1,5,5,2ημέρεςπριν,27,www.car.gr/334478113,"2102321718,2102385808,6947202558","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,6,,Euro6,115€,Προσθιοκίνητο(FWD),,,,,,,
Toyota,Auris,2017,Toyota Auris '17,ToyotaAurisDiesel!ΑΡΙΣΤΟ!!!11ος/'17,333971497,13.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2017,140.000χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Ασημί,,Άγνωστο,1,5,5,13ώρεςπριν,52,www.car.gr/333971497,"2316016262,6944297636,6942470499","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Lane assist', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,,,,,,
Skoda,Octavia,2017,Skoda Octavia '17,SkodaOctaviaΕΛΛΗΝΙΚΟ/ΑΡΙΣΤΟ!!!!!!'17,334207690,12.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2017,158.500χλμ,Πετρέλαιο,1.600cc,116bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,Μονό,,5,5,13ώρεςπριν,102,www.car.gr/334207690,"2316016262,6944297636,6942470499","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,8,,Euro6,,,,,,,,,
Fiat,Tempra,1996,Fiat Tempra '96 ✓•ΥΔΡΑΥΛΙΚΟ,FiatTempra✓•ΥΔΡΑΥΛΙΚΟΤΙΜΟΝΙ✓•'96,330687761,1.100€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/1996,185.000χλμ,Βενζίνη,1.582cc,85bhp,Χειροκίνητο,Πράσινοσκούρο,15ίντσες,Άγνωστο,1,5,5,1λεπτόπριν,361,www.car.gr/330687761,"2611104282,6983458433,6984255394","['{Apple carplay', '{Cd player', '{Keyless', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Μη καπνιστή', '{Υδραυλικό τιμόνι']","61,11€/μήνα",Γκρι,Ύφασμα,7/2025,,Ναι,,250€,,,,,,,,
Opel,Astra,2018,Opel Astra '18,OpelAstraΕΛΛΗΝΙΚΟ/ΑΡΙΣΤΟ!!!!!!'18,334208438,11.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2018,136.000χλμ,Πετρέλαιο,1.600cc,110bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,Ζυγό,1,5,5,11ώρεςπριν,115,www.car.gr/334208438,"2316016262,6944297636,6942470499","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,8,,Euro6,,,,,,,,,
Seat,Leon,2009,Seat Leon '09 1.4,SeatLeon1.4tsi'09,334260613,7.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2009,134.000χλμ,Βενζίνη,1.400cc,122bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,Άγνωστο,,5,5,13ώρεςπριν,65,www.car.gr/334260613,"2316016262,6944297636,6942470499","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,,,,,,
Jeep,Wrangler,2004,Jeep Wrangler '04,JeepWrangler✓•TJ_GREEK✓•'04,332935803,24.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2004,181.000χλμ,Αέριο(lpg)-βενζίνη,4.000cc,180bhp,Χειροκίνητο,Πράσινοσκούρο,20ίντσες,Άγνωστο,1,3,5,1λεπτόπριν,2552,www.car.gr/332935803,"2611104282,6983458433,6984255394","['{Abs', '{Bluetooth', '{Cd player', '{Hardtop', '{Head-up display', '{Hill assist', '{Immobilizer', '{Keyless', '{Navigation - gps', '{Parktronic', '{Tv\\u002Fcamera', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Δερμάτινα καθίσματα', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Μη καπνιστή', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Συναγερμός', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon']","1.333,33€/μήνα",Μαύρο,Δέρμα,1/2024,5,Ναι,,,4x4(4WD),,,,,,,
Audi,A3,2008,Audi A3 '08,AudiA3ΕΛΛΗΝΙΚΟ/ΗΛΙΟΡΟΦΗ/ΔΕΡΜΑ!!!!!'08,332692711,8.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2008,243.000χλμ,Αέριο(lpg)-βενζίνη,1.800cc,160bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),17ίντσες,Ζυγό,1,3,5,13ώρεςπριν,1899,www.car.gr/332692711,"2316016262,6944297636,6942470499","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Καφέ,,,4,,,,,,,,,,,
Audi,A4,2003,Audi A4 '03 111.500,AudiA4111.500xιλιόμετρα/ΙΔΙΩΤΗ!!!!!!!'03,333992770,5.990€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2003,111.500χλμ,Βενζίνη,1.800cc,163bhp,Χειροκίνητο,Γκρι(Μεταλλικό),16ίντσες,Ζυγό,1,4,5,13ώρεςπριν,1170,www.car.gr/333992770,"2316016262,6944297636,6942470499","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,6,,,,4x4(4WD),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot,2008,2019,Peugeot 2008 '19 DIESEL ALLURE PANORAMA,Peugeot2008DIESELALLUREPANORAMAGPS'19,334355946,15.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2019,34.000χλμ,Πετρέλαιο,1.600cc,102bhp,Χειροκίνητο,Γκρι(Μεταλλικό),16ίντσες,Ζυγό,,5,5,4ώρεςπριν,625,www.car.gr/334355946,6939606897,"['Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Μη καπνιστή', 'Ράγες οροφής', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,Δέρμα-ύφασμα,,7,,Euro6,92€,,,,,,,,
Ford,Focus,2006,Ford Focus,FordFocus'06,328900131,4.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,6/2006,239.000χλμ,Αέριο(lpg)-βενζίνη,1.398cc,90bhp,Χειροκίνητο,Γκρι(Μεταλλικό),15ίντσες,Άγνωστο,,5,5,3ώρεςπριν,2557,www.car.gr/328900131,"2410851130,6936768936","['Abs', 'Adaptive cruise control (acc)', 'Cd player', 'Isofix -παιδικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,Γκρι,Ύφασμα,8/2024,4,,,,,,,,,,,
Mercedes-Benz,A180,2016,Mercedes-Benz A 180 '16  d Urban,Mercedes-BenzA180dUrban7G-DCT'16,333134874,23.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2016,109.500χλμ,Πετρέλαιο,1.500cc,110bhp,Αυτόματο,Μαύρο(Μεταλλικό),16ίντσες,Ζυγό,,5,5,1ημέραπριν,341,www.car.gr/333134874,6945446483,"['Abs', 'Adaptive cruise control (acc)', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Μαύρο,Δέρμα-ύφασμα,,,,Euro6,88€,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Sportage,2002,Kia Sportage,KiaSportage'02,315782381,3.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2002,1χλμ,Βενζίνη,1.998cc,118bhp,Χειροκίνητο,Ασπρο,,Μονό,,3,5,2ημέρεςπριν,559,www.car.gr/315782381,2462028549,[],,,,,,,,,,,,,,,,
Nissan,Qashqai,2022,Nissan Qashqai '22 HYBRID,NissanQashqaiHYBRIDN-CONNECTA'22,332930250,29.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2022,18.652χλμ,Υβριδικόβενζίνη,1.332cc,140bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),18ίντσες,Ζυγό,1,5,5,2ημέρεςπριν,60,www.car.gr/332930250,6974411689,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Μαύρο,Ύφασμα,,8,,Euro6d-temp,101€,,"5,40(Εκτός)/6,40(Μικτό)λ/100χλμ",,,,,,
Nissan,Juke,2017,Nissan Juke '17 Juke 1.5 Turbodiesel,NissanJukeJuke1.5TurbodieselAcenta'17,334494402,14.200€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2017,99.313χλμ,Πετρέλαιο,1.461cc,110bhp,Χειροκίνητο,Μπορντό(Μεταλλικό),17ίντσες,Μονό,1,5,5,2ημέρεςπριν,32,www.car.gr/334494402,6937149530,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Parktronic', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων']","308,74€/μήνα",Μαύρο,Ύφασμα,3/2023,,,Euro6,,Προσθιοκίνητο(FWD),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bmw,520,2013,Bmw 520 '13  Touring M,Bmw520TouringMSportpacket'13,322735430,100€,Μεταχειρισμένο,Κόμπι/Kάραβαν,1/2013,116.000χλμ,Πετρέλαιο,1.995cc,184bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),19ίντσες,Ζυγό,1,5,5,10ώρεςπριν,14,www.car.gr/322735430,6932576576,"['Abs', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Head-up display', 'Hill assist', 'Keyless', 'Navigation - gps', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή πανοραμική', 'Συναγερμός', 'Τηλέφωνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,Μπεζ,Δέρμα,6/2023,10,,,165€,Πισωκίνητο(RWD),7(Εκτός)/λ/100χλμ,1g/km,,,,,
Toyota,Yaris,2017,Toyota Yaris '17 ΕΛΛΗΝΙΚΟ!VVT-ie,ToyotaYarisΕΛΛΗΝΙΚΟ!VVT-ie111PS!ΑΨΟΓΟ!'17,333207455,13.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2017,65.000χλμ,Βενζίνη,1.500cc,111bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),15ίντσες,Μονό,,5,5,2ώρεςπριν,392,www.car.gr/333207455,"6977217504,6977711072","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Γκρι,Ύφασμα,5/2025,9,,Euro5,,Προσθιοκίνητο(FWD),,109g/km,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat,Panda,2017,Fiat Panda '17,FiatPandaΕΛΛΗΝΙΚΟ/ΑΡΙΣΤΟ!!!!!!!'17,331694067,7.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2017,165.000χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Ασπρο,,Μονό,1,5,5,13ώρεςπριν,25,www.car.gr/331694067,"2316016262,6944297636,6942470499","['Abs', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,,,,,,
Audi,A3,2008,Audi A3 '08 Sportback,AudiA3Sportbackambition!!!ΑΡΙΣΤΟ!!'08,333593855,8.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2008,148.000χλμ,Βενζίνη,1.400cc,125bhp,Χειροκίνητο,Καφέ(Μεταλλικό),17ίντσες,Άγνωστο,1,5,5,13ώρεςπριν,77,www.car.gr/333593855,"2316016262,6944297636,6942470499","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,,,,,,
Toyota,Auris,2010,Toyota Auris '10,ToyotaAurisΙΔΙΩΤΗ/ΑΡΙΣΤΟ!!!!!!!'10,333929098,8.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2010,147.000χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,Μονό,,5,5,13ώρεςπριν,998,www.car.gr/333929098,"2316016262,6944297636,6942470499","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Immobilizer', 'Navigation - gps', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,,,,,,
