brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Παράδοσηστοσπίτι,Kilowatt
Smart,ForTwo,2017,Smart ForTwo '17 electric drive prime,SmartForTwoelectricdriveprime'17,330426421,13.800€,,Μεταχειρισμένο,Αλλο,12/2017,32.000χλμ,Ηλεκτρικό,,82bhp,Αυτόματο,Ασπρο,Μαύρο,Δέρμα,2/2024,,,15ίντσες,,,Ζυγό,1,Προσθιοκίνητο(FWD),4,3,2,4ώρεςπριν,1624,www.car.gr/330426421,"6948835645,6972821014","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Tv\\u002Fcamera', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']",150χλμ,6ώρες,1ώρες,61kwh,,61kw
Nissan,Almera,2004,Nissan Almera,NissanAlmera'04,330616781,1.500€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,3/2004,454.000χλμ,Βενζίνη,1.497cc,10bhp,Χειροκίνητο,Μπορντό(Μεταλλικό),Γκρι,,,,,,,,Μονό,2,,,5,4,3ημέρεςπριν,2971,www.car.gr/330616781,6932729014,"['Abs', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Κλιματισμός(a\\u002Fc)']",,,,,,
Hyundai,i20,2016,Hyundai i 20 '16 1250cc _Book Service 96 Km -EURO 6- ΑΡΙΣΤΟ,Hyundaii201250cc_BookService96Km-EURO6-ΑΡΙΣΤΟ!'16,334071960,11.700€,"187,89€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2016,96.000χλμ,Βενζίνη,1.250cc,80bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),,Ύφασμα,,,Euro6,,,"4,10(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,5,5,7ώρεςπριν,269,www.car.gr/334071960,"2102843056,2102843455","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,
Hyundai,i10,2011,Hyundai i 10 '11 1100cc _ΑΡΙΣΤΟ ! BOOK SERVICE HYUNDAI,Hyundaii101100cc_ΑΡΙΣΤΟ!BOOKSERVICEHYUNDAI-'11,332959182,7.300€,"277,64€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2011,117.000χλμ,Βενζίνη,1.100cc,72bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,Ύφασμα,,,Euro5,,,,Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,7ώρεςπριν,566,www.car.gr/332959182,"2102843056,2102843455","['Abs', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι']",,,,,,
Mercedes-Benz,GLC300,2020,Mercedes-Benz GLC 300 '20 Coupe 300de 4matic AMG,Mercedes-BenzGLC300Coupe300de4maticAMG9G'20,333620619,70.900€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,12/2020,50.200χλμ,Υβριδικόplug-inπετρέλαιο,1.950cc,306bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Alcantara,12/2023,48g/km,Euro6d-temp,19ίντσες,0€,,Άγνωστο,1,,10,5,5,4ώρεςπριν,2225,www.car.gr/333620619,"6948835645,6972821014","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",48χλμ,,,,,
Audi,Q5,2014,Audi Q5 '14 2*S line Panorama MMI,AudiQ52*SlinePanoramaMMI'14,328873313,29.900€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2014,161.500χλμ,Πετρέλαιο,1.998cc,190bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,1/2024,149g/km,Euro6,19ίντσες,150€,"7,50(Εντός)/7(Εκτός)/7,40(Μικτό)λ/100χλμ",Ζυγό,1,4x4(4WD),10,5,5,4ώρεςπριν,2410,www.car.gr/328873313,"6948835645,6972821014","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,,,
Ford,Fiesta,2017,Ford Fiesta '17 1242cc - EURO 6 - ΑΡΙΣΤΟ,FordFiesta1242cc-EURO6-ΑΡΙΣΤΟ!'17,328781089,8.999€,"144,52€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2017,99.000χλμ,Βενζίνη,1.242cc,70bhp,Χειροκίνητο,Ασπρο,,Ύφασμα,,,Euro6,,,"4,30(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,3,5,7ώρεςπριν,2202,www.car.gr/328781089,"2102843056,2102843455","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,
LandRover,RangeRoverEvoque,2019,Land Rover Range Rover Evoque '19 Mild hybrid D180 SE,LandRoverRangeRoverEvoqueMildhybridD180SE'19,323363108,55.000€,"821,76€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,11/2019,59.000χλμ,Πετρέλαιο,1.998cc,180bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,11/2022,145g/km,Euro6d-temp,20ίντσες,268€,"6(Εντός)/7(Εκτός)/6,50(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),10,5,5,10ώρεςπριν,13179,www.car.gr/323363108,"6948835645,6972821014","['Δεξιοτίμονα', 'Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porsche,Cayenne,2015,Porsche Cayenne '15 E Hybrid S,PorscheCayenneEHybridS'15,325829009,57.900€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2015,87.000χλμ,Υβριδικόplug-inβενζίνη,3.000cc,416bhp,Αυτόματο,Ασημί(Μεταλλικό),Μαύρο,Δέρμα,6/2023,65g/km,Euro6,20ίντσες,0€,7(Εντός)/9(Εκτός)/8(Μικτό)λ/100χλμ,Ζυγό,1,4x4(4WD),10,5,5,10ώρεςπριν,4466,www.car.gr/325829009,"6948835645,6972821014","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",40χλμ,6ώρες,1ώρες,90kwh,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,Pixo,2010,Nissan Pixo '10 *ANDREADIS,NissanPixo*ANDREADISCARS*'10,333631402,5.990€,"134,46€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2010,130.000χλμ,Βενζίνη,1.000cc,80bhp,Χειροκίνητο,Κόκκινο,,,,,,,,,Μονό,,,,5,4,1ημέραπριν,362,www.car.gr/333631402,"2114188539,6932899838",[],,,,,,
Mercedes-Benz,C230,2008,Mercedes-Benz C 230 '08 *ANDREADIS CARS*C 63 AMG LOOK 7 G-TRONIC,Mercedes-BenzC230*ANDREADISCARS*C63AMGLOOK7G-TRONIC'08,332476635,17.990€,"403,82€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2008,180.000χλμ,Βενζίνη,2.496cc,260bhp,Αυτόματο,Ασπρο,,,,,,,,,Μονό,,,,4,5,1ημέραπριν,1044,www.car.gr/332476635,"2114188539,6932899838",[],,,,,,
Ford,Fiesta,2009,Ford Fiesta,FordFiesta'09,333796430,6.900€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2009,270χλμ,Βενζίνη,1.383cc,90bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,Ύφασμα,3/2025,,,,,,Μονό,1,,,5,5,3ημέρεςπριν,122,www.car.gr/333796430,"2321045551,6955331713,6955331713","['Abs', 'Bluetooth', 'Cd player', 'Immobilizer', 'Turbo', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,Ναι,
Fiat,500C,2013,Fiat 500C '13 F/l Lounge Pack,Fiat500CF/lLoungePackEuro6'13,334494506,10.720€,"209,02€/μήνα",Μεταχειρισμένο,Κάμπριο/Roadster,11/2013,70.000χλμ,Βενζίνη,1.200cc,70bhp,Χειροκίνητο,Μαύρο,Μπεζ,Δέρμα-ύφασμα,,119g/km,Euro6,15ίντσες,117€,"4,90(Μικτό)λ/100χλμ",Άγνωστο,,Προσθιοκίνητο(FWD),6,3,5,12ώρεςπριν,12,www.car.gr/334494506,"2109612100,2106219600","['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,
Mercedes-Benz,GLC350,2016,Mercedes-Benz GLC 350 '16 GLC  350 e 4MATIC Hybrid,Mercedes-BenzGLC350GLC350e4MATICHybridPlugi'16,334494505,37.000€,"563,41€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,11/2016,195.000χλμ,Υβριδικόplug-inβενζίνη,1.990cc,320bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,,,Euro6,18ίντσες,,,Χωρίς,1,4x4(4WD),6,5,5,1ημέραπριν,119,www.car.gr/334494505,"2511810163,6936974857,6947486426","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,
Tesla,Model3,2020,Tesla Model 3 '20 STD RANGE+ RWD ΒASIC,TeslaModel3STDRANGE+RWDΒASICAUTOPILOT/AUTOBESIKOSⓇ'20,332571785,36.500€,"567,08€/μήνα",Μεταχειρισμένο,Λιμουζίνα/Sedan,6/2020,15.000χλμ,Ηλεκτρικό,,325bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Δέρμα,,,,18ίντσες,,,Άγνωστο,1,Πισωκίνητο(RWD),7,4,5,12ώρεςπριν,5442,www.car.gr/332571785,"2108001111,2108002222,6945140042","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Esp', 'Hill assist', 'Immobilizer', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",410χλμ,6ώρες,1ώρες,54kwh,Ναι,242kw
Renault,Megane,2017,Renault Megane,RenaultMegane'17,328952891,12.300€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2017,217.000χλμ,Πετρέλαιο,1.500cc,95bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,11/2024,,,17ίντσες,85€,"4,50(Εντός)/4,80(Μικτό)λ/100χλμ",Μονό,,,10,5,5,7ώρεςπριν,2,www.car.gr/328952891,"6951111240,6983525977","['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Bluetooth', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Navigation - gps', '{Parktronic', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Αυτόματο παρκάρισμα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Σύστημα μη σύγκρουσης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon']",,,,,,
Opel,Corsa,2015,Opel Corsa '15 1000cc _Book Service 99 Km ! ΑΡΙΣΤΟ ! EURO,OpelCorsa1000cc_BookService99Km!ΑΡΙΣΤΟ!EURO6'15,328425225,8.900€,"142,93€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2015,99.000χλμ,Βενζίνη,1.000cc,80bhp,Χειροκίνητο,Ασπρο,,Ύφασμα,,,Euro6,,,"3,90(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,5,5,7ώρεςπριν,1067,www.car.gr/328425225,"2102843056,2102843455","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,
Mini,Countryman,2020,Mini Countryman '20 SE Hybrid Panorama,MiniCountrymanSEHybridPanorama'20,331266849,43.900€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,9/2020,31.200χλμ,Υβριδικόplug-inβενζίνη,1.499cc,220bhp,Αυτόματο,Πράσινο(Μεταλλικό),Μπεζ,Δέρμα,9/2023,41g/km,Euro6d-temp,19ίντσες,0€,"3,80(Εντός)/3,50(Εκτός)/3,60(Μικτό)λ/100χλμ",Άγνωστο,9,4x4(4WD),10,5,5,4ώρεςπριν,2495,www.car.gr/331266849,"6948835645,6972821014","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led', 'Φώτα που στρίβουν']",52χλμ,6ώρες,1ώρες,90kwh,,
Mini,Countryman,2020,Mini Countryman '20 Cooper SE Hybrid Petr,MiniCountrymanCooperSEHybridPetrPanorama'20,331208868,39.900€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2020,30.800χλμ,Υβριδικόplug-inβενζίνη,1.499cc,220bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,10/2023,41g/km,Euro6d-temp,18ίντσες,0€,"3,50(Εντός)/3,80(Εκτός)/3,60(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),10,5,5,4ώρεςπριν,3031,www.car.gr/331208868,"6948835645,6972821014","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",53χλμ,6ώρες,1ώρες,90kwh,,
Opel,Agila,2011,Opel Agila '11 AUTOMATIC ! 5ΘΥΡΟ _ 83 Km Book Service,OpelAgilaAUTOMATIC!5ΘΥΡΟ_83KmBookService!'11,334258038,9.900€,"158,99€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2011,83.000χλμ,Βενζίνη,1.242cc,96bhp,Αυτόματο,Πράσινο(Μεταλλικό),,Ύφασμα,,,,15ίντσες,,"4,70(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,7ώρεςπριν,158,www.car.gr/334258038,"2102843056,2102843455","['Abs', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,
