brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Ρύποι(co2),Κλάσηρύπων,Κατανάλωση,Κίνηση,Χρηματοδότηση,Παράδοσηστοσπίτι,Leasing,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας
Audi,TT,2008,Audi TT '08  Coupé 1.8,AudiTTCoupé1.8TFSI'08,333625116,18.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,9/2008,85.718χλμ,Βενζίνη,1.800cc,160bhp,Χειροκίνητο,Ασπρο,Μαύρο,Δέρμα,9/2024,18ίντσες,,Μονό,1,,3,4,3ημέρεςπριν,1074,www.car.gr/333625116,6946243266,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,,,,,,,,,
Ford,Focus,2006,Ford Focus '06 1600CC,FordFocus1600CC16V'06,333437945,2.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2006,305.050χλμ,Βενζίνη,1.600cc,110bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,6/2024,15ίντσες,265€,Μονό,,6,5,5,4ώρεςπριν,2255,www.car.gr/333437945,6977378478,"['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι']",,,,,,,,,,,,
Tesla,Model3,2020,Tesla Model 3 '20 STD RANGE+ RWD ΒASIC,TeslaModel3STDRANGE+RWDΒASICAUTOPILOT/AUTOBESIKOSⓇ'20,332571785,34.800€,Μεταχειρισμένο,Λιμουζίνα/Sedan,6/2020,15.000χλμ,Ηλεκτρικό,,325bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Δέρμα,,18ίντσες,,Άγνωστο,1,7,4,5,1ώραπριν,5519,www.car.gr/332571785,"2108001111,2108002222,6945140042","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Esp', 'Hill assist', 'Immobilizer', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,,,Πισωκίνητο(RWD),"540,67€/μήνα",Ναι,,242kw,410χλμ,6ώρες,1ώρες,54kwh
Nissan,Micra,2011,Nissan Micra,NissanMicra'11,334341510,5.700€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2011,85.693χλμ,Βενζίνη,1.198cc,80bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,10/2024,,112€,Ζυγό,2,2,5,5,1ημέραπριν,1994,www.car.gr/334341510,6955131871,"['Bluetooth', 'Isofix -παιδικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",115g/km,,,,,,,,,,,
Ford,C-Max,2005,Ford C-Max,FordC-Max'05,333901641,3.450€,Μεταχειρισμένο,Αλλο,5/2005,213.000χλμ,Αέριο(lpg)-βενζίνη,1.600cc,115bhp,Χειροκίνητο,Ασημί,Μαύρο,Ύφασμα,4/2025,16ίντσες,,Μονό,1,6,5,5,3ημέρεςπριν,415,www.car.gr/333901641,6944145011,"['Abs', 'Cd player', 'Dvd', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι']",,,,,,,,,,,,
Toyota,Yaris,2020,Toyota Yaris,ToyotaYaris'20,334075755,14.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2020,89.562χλμ,Βενζίνη,1.496cc,110bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Δίχρωμο,Ύφασμα,7/2024,15ίντσες,113€,Ζυγό,1,,5,5,5ώρεςπριν,1438,www.car.gr/334075755,6981791977,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",116g/km,Euro6,"6,50(Εντός)/5,50(Εκτός)/6(Μικτό)λ/100χλμ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,TT,2007,Audi TT,AudiTT'07,17004505,11.620€,Μεταχειρισμένο,Κάμπριο/Roadster,4/2007,139.800χλμ,Βενζίνη,2.000cc,200bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Δέρμα-ύφασμα,,17ίντσες,,Μονό,,,2,2,12ώρεςπριν,2226,www.car.gr/17004505,6944414477,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Turbo', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,,Προσθιοκίνητο(FWD),,,,,,,,
Peugeot,208,2015,Peugeot 208 '15 HDi  1.4 ΕΛΛΗΝΙΚΗΣ,Peugeot208HDi1.4ΕΛΛΗΝΙΚΗΣΑΝΤΙΠΡΟΣΩΠΕΙΑΣ'15,334074992,9.380€,Μεταχειρισμένο,Λιμουζίνα/Sedan,11/2015,107.926χλμ,Πετρέλαιο,1.397cc,68bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,11/2024,15ίντσες,101€,Μονό,1,10,5,5,2ημέρεςπριν,111,www.car.gr/334074992,"2232023504,2231021221,6980231010","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",98g/km,Euro6d-temp,"4,40(Εντός)/3,60(Εκτός)/3,80(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),,Ναι,,,,,,
Peugeot,3008,2023,Peugeot 3008 '23 ΕΤΟΙΜΟΠΑΡΑΔΟΤΟ  / PEUGEOT,Peugeot3008ΕΤΟΙΜΟΠΑΡΑΔΟΤΟ/PEUGEOTBESIKOSⓇ'23,333239288,27.900€,,4χ4/Τζιπ/Suv,5/2023Καινούριο,,Βενζίνη,1.199cc,130bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Δίχρωμο,Ύφασμα,,17ίντσες,,Άγνωστο,,6,5,5,5ώρεςπριν,6388,www.car.gr/333239288,"2108001111,2108002222,6945140042","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",138g/km,Euro6d,"6,10(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),"433,47€/μήνα",Ναι,,,,,,
Smart,ForFour,2019,Smart ForFour '19 EQ Prime LED *ΑΝΑΛΥΣΗ,SmartForFourEQPrimeLED*ΑΝΑΛΥΣΗΦΠΑ*'19,332917769,15.900€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2019,43.000χλμ,Ηλεκτρικό,,82bhp,Αυτόματο,Μαύρο,Μαύρο,Δέρμα,4/2025,16ίντσες,,Άγνωστο,1,,5,5,5ώρεςπριν,2058,www.car.gr/332917769,6987696000,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Αντικλεπτικό gps', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,Πισωκίνητο(RWD),,,,61kw,150χλμ,6ώρες,1ώρες,18kwh
Mini,CooperD,2017,Mini Cooper D '17 ΕΛΛΗΝΙΚΟ // BOOK SERVICE,MiniCooperDΕΛΛΗΝΙΚΟ//BOOKSERVICE'17,333981763,13.350€,Μεταχειρισμένο,Κουπέ-Σπόρ,6/2017,152.250χλμ,Πετρέλαιο,1.500cc,122bhp,Χειροκίνητο,Κόκκινο,Μαύρο,Δέρμα-ύφασμα,2/2024,15ίντσες,82€,Ζυγό,1,8,3,4,1ημέραπριν,124,www.car.gr/333981763,6971751795,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",80g/km,Euro6,"6(Εντός)/4,50(Εκτός)/5,50(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),,,,,,,,
Mercedes-Benz,E200,2011,Mercedes-Benz E 200 '11 W207 1.8 AMG,Mercedes-BenzE200W2071.8AMGPACK'11,319116468,27.000€,Μεταχειρισμένο,Κάμπριο/Roadster,7/2011,99.925χλμ,Βενζίνη,1.800cc,204bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δίχρωμο,Δέρμα,2/2025,19ίντσες,,Ζυγό,1,,2,4,2ημέρεςπριν,10658,www.car.gr/319116468,6944912593,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led', 'Φώτα xenon']",,,,,,,,,,,,
Alpina,B3,2021,Alpina B3 '21,AlpinaB3Touring'21,326823302,123.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,11/2021,11.843χλμ,Βενζίνη,2.998cc,495bhp,Αυτόματο,Μπλέ(Μεταλλικό),,,,20ίντσες,,Άγνωστο,,,5,4,3ημέρεςπριν,8696,www.car.gr/326823302,2109424449,"['Abs', 'Adaptive cruise control (acc)', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,,,,,,
Jeep,Wrangler,2004,Jeep Wrangler,JeepWrangler'04,331358333,24.999€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2004,168.000χλμ,Βενζίνη,4.000cc,180bhp,Αυτόματο,Μαύρο(Μεταλλικό),,Δέρμα,,,105€,Χωρίς,2,2,3,4,5ώρεςπριν,5887,www.car.gr/331358333,6971770821,"['Abs', 'Bluetooth', 'Cd player', 'Hardtop', 'Tv\\u002Fcamera', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κάμερα οπισθοπορείας', 'Κοτσαδόρος', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Συναγερμός', 'Τηλέφωνο', 'Υδραυλικό τιμόνι']",,,,4x4(4WD),,,,,,,,
Audi,A5,2008,Audi A5,AudiA5'08,333363143,16.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,10/2008,170.000χλμ,Βενζίνη,1.800cc,170bhp,Αυτόματο,Γκρι,Καφέ,Δέρμα,,,,Ζυγό,,,2,5,2ημέρεςπριν,888,www.car.gr/333363143,6973868791,"['Αισθητήρας βροχής', 'Ατρακάριστο', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Θερμαινόμενα καθίσματα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Συναγερμός', 'Φώτα led']",,,,,,,,,,,,
Bmw,X3,2007,Bmw X3 '07 2.5si Mpack panorama,BmwX32.5siMpackpanoramaΆριστο!!'07,332247530,9.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2007,161.000χλμ,Αέριο(lpg)-βενζίνη,2.497cc,218bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μπεζ,Δέρμα,,19ίντσες,,Ζυγό,,7,5,6,5ώρεςπριν,6567,www.car.gr/332247530,6977910125,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Parktronic', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,,,,,,,,,
Audi,A3,2018,Audi A3 '18 SEDAN S-LINE BLACKEDITION,AudiA3SEDANS-LINEBLACKEDITIONNAVI'18,333372872,22.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2018,109.000χλμ,Βενζίνη,1.500cc,150bhp,Αυτόματο,Γκρι,Μαύρο,,10/2024,18ίντσες,,Μονό,1,8,4,5,5ώρεςπριν,8087,www.car.gr/333372872,6907915669,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,Euro6,,,,,,,,,,
Fiat,500,2014,"Fiat 500 '14 LOUNGE,PANORAMA,EURO","Fiat500LOUNGE,PANORAMA,EURO6'14",332089870,9.790€,Μεταχειρισμένο,Αλλο,12/2014,94.000χλμ,Βενζίνη,1.242cc,69bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Δίχρωμο,Ύφασμα,,15ίντσες,,Άγνωστο,,7,3,5,5λεπτάπριν,728,www.car.gr/332089870,2109414417,"['{Abs', '{Bluetooth', '{Cd player', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,Euro6,,,"146,27€/μήνα",,,,,,,
Peugeot,3008,2018,Peugeot 3008 '18  1.5 BlueHDi 130HP ACTIVE GRIP,Peugeot30081.5BlueHDi130HPACTIVEGRIPΕΛΛΗΝΙΚΟ'18,334074349,20.990€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2018,134.000χλμ,Πετρέλαιο,1.500cc,130bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,8/2024,18ίντσες,107€,Ζυγό,1,6,5,5,1ώραπριν,233,www.car.gr/334074349,"2314001383,6972855407","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",109g/km,Euro6,"5,50(Εντός)/3,50(Εκτός)/4,50(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),"292,84€/μήνα",,,,,,,
Bmw,420GranCoupe,2017,Bmw 420 Gran Coupe '17 Η ΤΙΜΗ ΓΙΑ ΤΡΙΤΕΚΝΟ Η,Bmw420GranCoupeΗΤΙΜΗΓΙΑΤΡΙΤΕΚΝΟΗΑΜΕΑ'17,321406272,28.990€,Μεταχειρισμένο,Κουπέ-Σπόρ,8/2017,93.476χλμ,Πετρέλαιο,1.995cc,190bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,2/2024,18ίντσες,110€,Ζυγό,1,10,5,5,17ώρεςπριν,1208,www.car.gr/321406272,2310433041,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",114g/km,Euro6,"4,60(Εκτός)/λ/100χλμ",Πισωκίνητο(RWD),,,,,,,,
Bmw,Z4,2005,Bmw Z4 '05 Z4,BmwZ4Z4'05,25220965,7.500€,Μεταχειρισμένο,Κάμπριο/Roadster,9/2005,145.000χλμ,Βενζίνη,2.000cc,150bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,1/2023,17ίντσες,,Ζυγό,2,4,2,2,1ημέραπριν,7118,www.car.gr/25220965,6939616885,"['Abs', 'Android auto', 'Bluetooth', 'Cruise control', 'Esp', 'Immobilizer', 'Navigation - gps', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,"7(Εντός)/6(Εκτός)/6,50(Μικτό)λ/100χλμ",Πισωκίνητο(RWD),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkswagen,Lupo,2000,Volkswagen Lupo '00 1.2,VolkswagenLupo1.2'00,329907286,5.450€,Μεταχειρισμένο,Κουπέ-Σπόρ,4/2000,196.400χλμ,Πετρέλαιο,1.200cc,61bhp,Χειροκίνητο,Μπλέ,Μαύρο,Ύφασμα,5/2024,15ίντσες,135€,Ζυγό,,6,3,4,17ώρεςπριν,1142,www.car.gr/329907286,2310433041,"['Bucket καθίσματα', 'Cd player', 'Immobilizer', 'Turbo', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,"3,70(Μικτό)λ/100χλμ",,,,,,,,,
