brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κτέομέχρι,Χρηματοδότηση
Bmw,316,2014,Bmw 316 '14  Advantage,Bmw316AdvantageSteptronic'14,334038832,21.900€,Μεταχειρισμένο,Λιμουζίνα/Sedan,7/2014,145.000χλμ,Βενζίνη,1.600cc,134bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Δέρμα,,,,,,Μονό,1,,,5,5,2ώρεςπριν,2272,www.car.gr/334038832,6944248093,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,
Volkswagen,Passat,2009,Volkswagen Passat,VolkswagenPassat'09,320661522,8.800€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2009,178.759χλμ,Βενζίνη,1.400cc,127bhp,Χειροκίνητο,Μαύρο,,,,,18ίντσες,255€,,Ζυγό,,Προσθιοκίνητο(FWD),8,5,5,12ώρεςπριν,10206,www.car.gr/320661522,6948494378,"['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Turbo', 'Usb', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υπολογιστής ταξιδιού']",,
Mercedes-Benz,Citan,2019,Mercedes-Benz Citan '19 111CDI * 110PS * ΝΑVI * EXTRALONG,Mercedes-BenzCitan111CDI*110PS*ΝΑVI*EXTRALONG'19,333009621,12.950€Χωρίςφπα,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,1/2019,151.184χλμ,Πετρέλαιο,1.461cc,110bhp,Χειροκίνητο,Γκρι,Μαύρο,Ύφασμα,119g/km,Euro6,15ίντσες,105€,"5,20(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),4,5,2,3ώρεςπριν,783,www.car.gr/333009621,"6945132222,2665100485,6936772872","['{Abs', '{Bluetooth', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Tcs - asr', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Εισαγωγής', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Συρόμενη πόρτα δεξιά', '{Τιμή χωρίς φπα', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,
Mercedes-Benz,Citan,2017,Mercedes-Benz Citan '17 109 CDI Long,Mercedes-BenzCitan109CDILong*3ΘΕΣΙΟ!!!*'17,332046500,12.990€Χωρίςφπα,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,1/2017,134.064χλμ,Πετρέλαιο,1.461cc,90bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,123g/km,Euro5,15ίντσες,105€,"5,40(Εντός)/4,40(Εκτός)/4,70(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),4,5,3,3ώρεςπριν,683,www.car.gr/332046500,"6945132222,2665100485,6936772872","['{Abs', '{Bluetooth', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Tcs - asr', '{Turbo', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Εισαγωγής', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Συρόμενη πόρτα δεξιά', '{Τιμή χωρίς φπα', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,
Nissan,Navara,2010,Nissan Navara '10  ΕΛΛΗΝΙΚΟ Double Cab 2.5 dCi,NissanNavaraΕΛΛΗΝΙΚΟDoubleCab2.5dCiLE'10,331503622,15.000€,Μεταχειρισμένο,Αγροτικό/Pickup,1/2010,313.776χλμ,Πετρέλαιο,2.488cc,171bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μαύρο,Ύφασμα,,Euro4,17ίντσες,105€,,Μονό,1,,4,5,5,3ώρεςπριν,2902,www.car.gr/331503622,"6945132222,2665100485,6936772872","['{Abs', '{Bluetooth', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κοτσαδόρος', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα xenon']",12/2023,
Mercedes-Benz,Citan,2020,Mercedes-Benz Citan '20 111CDI * 116PS * EXTRALONG,Mercedes-BenzCitan111CDI*116PS*EXTRALONG'20,331365003,16.690€Χωρίςφπα,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,9/2020,74.545χλμ,Πετρέλαιο,1.461cc,116bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,125g/km,Euro6,15ίντσες,105€,"5,30(Εντός)/4,40(Εκτός)/4,80(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),4,5,2,3ώρεςπριν,796,www.car.gr/331365003,"6945132222,2665100485,6936772872","['Abs', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συρόμενη πόρτα δεξιά', 'Τιμή χωρίς φπα', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,
Citroen,Berlingo,2018,Citroen Berlingo '18 1.6 BlueHDi 100PS - ΑVANTAGE EDITION,CitroenBerlingo1.6BlueHDi100PS-ΑVANTAGEEDITION-3ΘΕΣΙΟ'18,327368461,11.990€Χωρίςφπα,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,1/2018,63.122χλμ,Πετρέλαιο,1.560cc,100bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,112g/km,Euro6,15ίντσες,105€,"5,10(Εντός)/3,80(Εκτός)/4,30(Μικτό)λ/100χλμ",Άγνωστο,1,,4,5,3,3ώρεςπριν,2038,www.car.gr/327368461,"6945132222,2665100485,6936772872","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Συρόμενες πόρτες χ2', 'Τηλέφωνο', 'Τιμή χωρίς φπα', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα που στρίβουν']",,
Fiat,500,2020,Fiat 500 '20 C 1.2 8V Start&Stopp Lounge,Fiat500C1.28VStart&StoppLoungePANORAMA'20,334209386,14.290€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2020,25.783χλμ,Βενζίνη,1.242cc,69bhp,Χειροκίνητο,Ασπρο,Δίχρωμο,Δέρμα-ύφασμα,113g/km,Euro6c,15ίντσες,110€,"6,20(Εντός)/4,90(Εκτός)/4,20(Μικτό)λ/100χλμ",Ζυγό,1,,6,3,5,7λεπτάπριν,192,www.car.gr/334209386,"6945132222,2665100485,6936772872","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",1/2020,
Citroen,Jumpy,2020,Citroen Jumpy '20 2.0 BlueHDi XL * 3θέσιο * Οθόνη,CitroenJumpy2.0BlueHDiXL*3θέσιο*Οθόνη'20,333032175,17.990€Χωρίςφπα,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,1/2020,113.852χλμ,Πετρέλαιο,1.997cc,122bhp,Χειροκίνητο,Ασπρο,Μαύρο,Δέρμα-ύφασμα,148g/km,Euro6d,16ίντσες,105€,"6,40(Εντός)/5,20(Εκτός)/5,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),4,5,3,7λεπτάπριν,256,www.car.gr/333032175,"6945132222,2665100485,6936772872","['Abs', 'Android auto', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Γραμμάτια δεκτά', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συρόμενη πόρτα δεξιά', 'Τηλέφωνο', 'Τιμή χωρίς φπα', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,
Nissan,NV250,2020,Nissan NV250 '20 1.5 dCi Comfort - ΕΡΓΟΣΤΑΣΙΑΚΗ,NissanNV2501.5dCiComfort-ΕΡΓΟΣΤΑΣΙΑΚΗΕΓΓΥΗΣΗ'20,332046240,16.490€Χωρίςφπα,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,1/2020,13.368χλμ,Πετρέλαιο,1.461cc,95bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,122g/km,Euro6,15ίντσες,105€,"5,10(Εντός)/4,40(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),4,5,2,7λεπτάπριν,644,www.car.gr/332046240,"6945132222,2665100485,6936772872","['Abs', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Συρόμενη πόρτα δεξιά', 'Τιμή χωρίς φπα', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,
Toyota,RAV4,2006,Toyota RAV 4,ToyotaRAV4'06,31097242,8.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2006,68.000χλμ,Βενζίνη,1.998cc,152bhp,Χειροκίνητο,Μαύρο,,,,,,,,Ζυγό,2,4x4(4WD),,5,5,1ημέραπριν,1551,www.car.gr/31097242,6944843537,"['Abs', 'Cd player', 'Dvd', 'Immobilizer', 'Parktronic', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Ράγες οροφής', 'Υδραυλικό τιμόνι']",,
Nissan,NV200,2019,Nissan NV 200 '19 1.5 dCi Comfort - ΕΡΓΟΣΤΑΣΙΑΚΗ,NissanNV2001.5dCiComfort-ΕΡΓΟΣΤΑΣΙΑΚΗΕΓΓΥΗΣΗ'19,331994940,15.990€Χωρίςφπα,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,5/2019,107.542χλμ,Πετρέλαιο,1.461cc,110bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,130g/km,Euro6d,14ίντσες,105€,"5,50(Εντός)/4,60(Εκτός)/4,90(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),4,5,2,3ώρεςπριν,497,www.car.gr/331994940,"6945132222,2665100485,6936772872","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συρόμενη πόρτα δεξιά', 'Τηλέφωνο', 'Τιμή χωρίς φπα', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,
Nissan,Juke,2018,Nissan Juke '18  1.5 dCi Tekna ΔΕΡΜΑ-NAVI-ΚΑΜΕΡΑ,NissanJuke1.5dCiTeknaΔΕΡΜΑ-NAVI-ΚΑΜΕΡΑ360'18,330065519,17.950€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2018,94.806χλμ,Πετρέλαιο,1.461cc,110bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα,104g/km,Euro6,17ίντσες,101€,"4,40(Εντός)/3,80(Εκτός)/4(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),10,5,5,7λεπτάπριν,1401,www.car.gr/330065519,"6945132222,2665100485,6936772872","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,
Mercedes-Benz,E350,2019,Mercedes-Benz E 350 '19  d T- Avantgarde 9G-TRONIC Full,Mercedes-BenzE350dT-Avantgarde9G-TRONICFullextra'19,330571345,35.000€Χωρίςφπα,Μεταχειρισμένο,Κόμπι/Kάραβαν,3/2019,109.481χλμ,Πετρέλαιο,2.925cc,286bhp,Αυτόματο,Ασημί(Μεταλλικό),Μαύρο,Δέρμα,178g/km,Euro6d,19ίντσες,,"6,60(Εντός)/5,10(Εκτός)/5,70(Μικτό)λ/100χλμ",Άγνωστο,1,Πισωκίνητο(RWD),10,5,5,3ώρεςπριν,2424,www.car.gr/330571345,"6945132222,2665100485,6936772872","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Τιμή χωρίς φπα', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini,Paceman,2015,Mini Paceman,MiniPaceman'15,334027067,17.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,3/2015,95.000χλμ,Βενζίνη,1.600cc,122bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Άλλο,,,16ίντσες,,,Ζυγό,1,Προσθιοκίνητο(FWD),8,3,4,14ώρεςπριν,261,www.car.gr/334027067,2105323633,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",3/2025,
Mercedes-Benz,E200,2009,Mercedes-Benz E 200 '09  Compressor  Avantgarde,Mercedes-BenzE200CompressorAvantgardeΑΘΙΚΤΟ'09,328020487,18.300€,Μεταχειρισμένο,Λιμουζίνα/Sedan,3/2009,150.000χλμ,Βενζίνη,1.800cc,184bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,,,17ίντσες,320€,,Άγνωστο,1,Πισωκίνητο(RWD),10,5,5,10ώρεςπριν,7221,www.car.gr/328020487,6983076825,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon', 'Φώτα που στρίβουν']",6/2025,
Renault,Captur,2020,Renault Captur '20  TCe 90,RenaultCapturTCe90DYNAMIC'20,331635292,17.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2020,35.000χλμ,Βενζίνη,900cc,90bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Άλλο,,,17ίντσες,,"5(Εντός)/4(Εκτός)/4,50(Μικτό)λ/100χλμ",Ζυγό,1,Προσθιοκίνητο(FWD),6,5,5,14ώρεςπριν,1540,www.car.gr/331635292,2105323633,"['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,"315,98€/μήνα"
Opel,Astra,2007,Opel Astra '07  GTC 1.6 Turbo,OpelAstraGTC1.6TurboSport'07,328142866,5.990€,Μεταχειρισμένο,Κουπέ-Σπόρ,7/2007,184.500χλμ,Βενζίνη,1.598cc,180bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δίχρωμο,Άλλο,,,17ίντσες,,,Ζυγό,1,,6,3,5,14ώρεςπριν,5348,www.car.gr/328142866,2105323633,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",10/2024,"134,76€/μήνα"
Volkswagen,Polo,2017,Volkswagen Polo '17  TDI,VolkswagenPoloTDITrendline'17,327835281,11.690€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2017,90.000χλμ,Πετρέλαιο,1.422cc,90bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μαύρο,Άλλο,,,16ίντσες,,,Ζυγό,1,,4,5,5,14ώρεςπριν,1743,www.car.gr/327835281,2105323633,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",7/2023,"206,36€/μήνα"
