brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Τιμήπολύτεκνου,Χρηματοδότηση,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Ρύποι(co2),Κλάσηρύπων,Τέληκυκλοφορίας,Κατανάλωση,Παράδοσηστοσπίτι
Volkswagen,Golf,2019,Volkswagen Golf '19 1.6 TDI COMFORT,VolkswagenGolf1.6TDICOMFORTΕΛΛΗΝΙΚΟ'19,333626070,15.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2019,160.000χλμ,Πετρέλαιο,1.600cc,115bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,,16ίντσες,Ζυγό,,,6,5,5,14ώρεςπριν,446,www.car.gr/333626070,2105690550,"['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,109g/km,,,,
Opel,Corsa,2018,Opel Corsa '18  1.3 DIESEL ΕΛΛΗΝΙΚΟ ΟΘΟΝΗ,OpelCorsa1.3DIESELΕΛΛΗΝΙΚΟΟΘΟΝΗΖΑΝΤΕΣ'18,332800713,9.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2018,216.000χλμ,Πετρέλαιο,1.248cc,95bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,10/2024,15ίντσες,Ζυγό,,,6,5,5,14ώρεςπριν,210,www.car.gr/332800713,2105690550,"['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,94g/km,Euro6,,,
Fiat,Panda,2018,Fiat Panda '18  1.2 LOUNGE,FiatPanda1.2LOUNGEΕΛΛΗΝΙΚΟ'18,333326788,9.200€,Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2018,215.000χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Ασπρο,,Ύφασμα,,,Μονό,,,4,5,5,14ώρεςπριν,157,www.car.gr/333326788,2105690550,"['Abs', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Tcs - asr', 'Turbo', 'Usb', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,94g/km,,,,
Opel,Astra,2019,Opel Astra '19 120 YEARS 1400 150HP,OpelAstra120YEARS1400150HPΕΛΛΗΝΙΚΟ'19,331966500,15.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2019,59.000χλμ,Βενζίνη,1.400cc,150bhp,Χειροκίνητο,Μπλεσκούρο,Γκρι,Ύφασμα,,16ίντσες,Ζυγό,,,6,5,5,14ώρεςπριν,2380,www.car.gr/331966500,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,125g/km,,,,
Hyundai,i20,2015,Hyundai i 20 '15 Active,Hyundaii20Active'15,333147488,8.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2015,178.000χλμ,Πετρέλαιο,1.120cc,75bhp,Χειροκίνητο,Ασπρο,Γκρι,Ύφασμα,,,Ζυγό,,,,5,5,14ώρεςπριν,527,www.car.gr/333147488,2105690550,"['Abs', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,97g/km,,,,
Volkswagen,Passat,2017,"Volkswagen Passat '17 1,6 BLUEMOTION 120HP","VolkswagenPassat1,6BLUEMOTION120HPΕΛΛΗΝΙΚΟ'17",331846922,16.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,3/2017,125.000χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,,16ίντσες,Ζυγό,,Προσθιοκίνητο(FWD),8,4,5,14ώρεςπριν,1555,www.car.gr/331846922,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,105g/km,Euro6,103€,,
Bmw,316,1997,Bmw 316 '97 COUPE SUNROOF M-PACK LPG,Bmw316COUPESUNROOFM-PACKLPGA/C'97,332800555,4.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,4/1997,390χλμ,Αέριο(lpg)-βενζίνη,1.800cc,140bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Γκρι,Δερματίνη,,18ίντσες,Μονό,,,,2,4,14ώρεςπριν,3913,www.car.gr/332800555,2105690550,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι']",,,,,,,,,,,
Hyundai,i10,2014,Hyundai i 10 '14  1.2 Style Full,"Hyundaii101.2StyleFullExtra,'14",334321258,9.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,7/2014,120.000χλμ,Βενζίνη,1.250cc,87bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,8/2024,15ίντσες,Άγνωστο,2,Προσθιοκίνητο(FWD),8,5,5,11ώρεςπριν,244,www.car.gr/334321258,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,,,,,,,,
Jaguar,XE,2018,Jaguar XE '18 BUSINESS BVA8 EURO6,JaguarXEBUSINESSBVA8EURO6'18,330005541,29.900€,Μεταχειρισμένο,Λιμουζίνα/Sedan,7/2018,97.000χλμ,Πετρέλαιο,2.000cc,180bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),,Ύφασμα,,,Άγνωστο,,,,5,5,1ημέραπριν,3381,www.car.gr/330005541,"2310675675,2310675000,6972916086","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'value:a', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",€25.000,,,,,,,,,,
Porsche,Cayenne,2007,Porsche Cayenne '07 4.8 TURBO SUNROOF,PorscheCayenne4.8TURBOSUNROOFΕΛΛΗΝΙΚΟ'07,321765228,32.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2007,180.000χλμ,Βενζίνη,4.800cc,500bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,,20ίντσες,Μονό,,,10,4,5,14ώρεςπριν,6295,www.car.gr/321765228,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αερανάρτηση', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,,,,,,,,,
Ford,Fusion,2003,Ford Fusion '03 1.4 5D A/C Y/T,FordFusion1.45DA/CY/TABS'03,325015918,3.600€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2003,197.000χλμ,Βενζίνη,1.400cc,80bhp,Χειροκίνητο,Κόκκινο,Γκρι,,,,Μονό,1,,2,4,5,14ώρεςπριν,3412,www.car.gr/325015918,2105690550,"['Abs', 'Cd player', 'Immobilizer', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",,,,,,,,,,,
Opel,Astra,2013,Opel Astra '13 ΑΡΙΣΤΟ..ΕΓΓΎΗΣΗ,OpelAstraΑΡΙΣΤΟ..ΕΓΓΎΗΣΗΧΙΛΙΟΜΈΤΡΩΝ.'13,333372392,10.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,7/2013,166.000χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δίχρωμο,Ύφασμα,3/2025,17ίντσες,Άγνωστο,1,,8,5,5,11ώρεςπριν,855,www.car.gr/333372392,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,,,,,,,,
Fiat,500X,2018,Fiat 500X '18 Fiat 500X 1.4  140 HP AUTO ΕΛΛΗΝΙΚΟ,Fiat500XFiat500X1.4140HPAUTOΕΛΛΗΝΙΚΟ'18'18,334049478,19.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2018,48.000χλμ,Βενζίνη,1.400cc,140bhp,Αυτόματο,Μπλέ(Μεταλλικό),,Ύφασμα,,,Μονό,,,6,5,5,14ώρεςπριν,182,www.car.gr/334049478,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,
Jeep,Gladiator,2021,Jeep Gladiator '21 80th Anniversary - Συλλεκτικό,JeepGladiator80thAnniversary-Συλλεκτικό'21,334230636,70.000€Χωρίςφπα,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2021,14.800χλμ,Πετρέλαιο,3.000cc,350bhp,Αυτόματο,Πράσινοσκούρο,Μαύρο,Δέρμα,,20ίντσες,Μονό,,,,4,5,2ώρεςπριν,319,www.car.gr/334230636,6948008500,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αγροτικό', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τιμή χωρίς φπα', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,,,,,,,,
Renault,Megane,2006,Renault Megane '06 DERMATINO,RenaultMeganeDERMATINOSALONI'06,334038701,5.890€,Μεταχειρισμένο,Κάμπριο/Roadster,1/2006,152χλμ,Αέριο(lpg)-βενζίνη,1.600cc,115bhp,Χειροκίνητο,Μαύρο,Μπεζ,Δέρμα,,,Άγνωστο,,Προσθιοκίνητο(FWD),,2,5,2ώρεςπριν,831,www.car.gr/334038701,"2102446576,6906001617","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,
Bmw,520,2000,"Bmw 520 '00 E39,Full Extra,28αρι","Bmw520E39,FullExtra,28αριΜοτερ'00",327594320,10.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2000,200.000χλμ,Αέριο(lpg)-βενζίνη,2.800cc,220bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Μαύρο,Δέρμα,10/2024,18ίντσες,Άγνωστο,2,Πισωκίνητο(RWD),6,5,5,11ώρεςπριν,5950,www.car.gr/327594320,"6936277350,2104316863,6936277350","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,,,,,
Opel,Astra,2006,Opel Astra '06,OpelAstraGtc'06,333394171,4.600€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2006,200.000χλμ,Βενζίνη,1.600cc,110bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),,,12/2023,16ίντσες,Ζυγό,1,,5,3,4,1ώραπριν,2105,www.car.gr/333394171,6983057003,[],,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opel,Corsa,2016,Opel Corsa '16 1.3 CDTI,"OpelCorsa1.3CDTIecoflex,Aytomatic,'16",332276335,12.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2016,113.000χλμ,Πετρέλαιο,1.250cc,95bhp,Αυτόματο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,3/2025,16ίντσες,Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,11ώρεςπριν,875,www.car.gr/332276335,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",,,,,,,,Euro6,,,
Volkswagen,Golf,2014,Volkswagen Golf '14  1.4 TSI ACT  BlueMotion,VolkswagenGolf1.4TSIACTBlueMotionFull'14,331943912,19.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,4/2014,128.000χλμ,Βενζίνη,1.400cc,140bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα,1/2025,19ίντσες,Άγνωστο,1,Προσθιοκίνητο(FWD),8,5,5,11ώρεςπριν,3575,www.car.gr/331943912,"6936277350,2104316863,6936277350","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,,,,,Euro6,,,
Peugeot,2008,2020,Peugeot 2008 '20  PureTech 110 STOP&START,Peugeot2008PureTech110STOP&STARTUrban'20,334482063,23.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2020,77.000χλμ,Πετρέλαιο,1.500cc,110bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,6/2025,16ίντσες,Άγνωστο,,,8,5,5,11ώρεςπριν,36,www.car.gr/334482063,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,,,,,
Volkswagen,Passat,2017,"Volkswagen Passat '17 1,6 BLUEMOTION 120HP","VolkswagenPassat1,6BLUEMOTION120HPΕΛΛΗΝΙΚΟ'17",331696197,15.300€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2017,171.000χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,2/2025,16ίντσες,Ζυγό,,,8,5,5,14ώρεςπριν,1336,www.car.gr/331696197,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,105g/km,Euro6,103€,,
