brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Σύνολοκατόχων,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Ρύποι(co2),Κλάσηρύπων,Κατανάλωση,Κίνηση,Αερόσακοι,Τιμήπολύτεκνου,Χρηματοδότηση
Toyota,Yaris,2017,Toyota Yaris '17  1.5 Hybrid  EURO,ToyotaYaris1.5HybridEURO6'17,332806551,11.300€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2017,237.000χλμ,Υβριδικόβενζίνη,1.500cc,110bhp,Αυτόματο,Μαύρο,,,,,,Άγνωστο,,5,5,1ημέραπριν,1272,www.car.gr/332806551,"2310675675,2310675000,6972916086","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,
Hyundai,i10,2018,"Hyundai i 10 '18 LPG ORIGINAL, FULL","Hyundaii10LPGORIGINAL,FULLEXTRA,Navi,'18",333072284,11.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,6/2018,100.000χλμ,Αέριο(lpg)-βενζίνη,1.000cc,75bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,4/2025,14ίντσες,,Άγνωστο,1,5,5,10ώρεςπριν,915,www.car.gr/333072284,"6936277350,2104316863,6936277350","['Abs', 'Android auto', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,Euro6,,,6,,
Jeep,Wrangler,2004,Jeep Wrangler,JeepWrangler'04,331358333,24.999€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2004,168.000χλμ,Βενζίνη,4.000cc,180bhp,Αυτόματο,Μαύρο(Μεταλλικό),,Δέρμα,,,105€,Χωρίς,2,3,4,2ώρεςπριν,5759,www.car.gr/331358333,6971770821,"['Abs', 'Bluetooth', 'Cd player', 'Hardtop', 'Tv\\u002Fcamera', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κάμερα οπισθοπορείας', 'Κοτσαδόρος', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Συναγερμός', 'Τηλέφωνο', 'Υδραυλικό τιμόνι']",,,,4x4(4WD),2,,
Mercedes-Benz,A180,2016,Mercedes-Benz A 180 '16  d Urban,Mercedes-BenzA180dUrban7G-DCT'16,332927628,21.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2016,81.000χλμ,Πετρέλαιο,1.461cc,109bhp,Αυτόματο,Γκρι,,,,,,Μονό,,5,5,1ημέραπριν,2717,www.car.gr/332927628,"6936773401,6981004860","['Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Tv\\u002Fcamera', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Κάμερα οπισθοπορείας', 'Μη καπνιστή', 'Οθόνη tft', 'Υπολογιστής ταξιδιού']",,,,,,,
Skoda,Octavia,2018,Skoda Octavia '18 Ambition 1.6 TDI,SkodaOctaviaAmbition1.6TDIΕλληνικο'18,331727951,15.900€,Μεταχειρισμένο,Λιμουζίνα/Sedan,3/2018,175.000χλμ,Πετρέλαιο,1.600cc,115bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Δίχρωμο,Ύφασμα,,16ίντσες,104€,Μονό,,5,5,14ώρεςπριν,1003,www.car.gr/331727951,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",106g/km,Euro6,,,6,,
Nissan,X-Trail,2004,Nissan X-Trail,NissanX-Trail'04,330971834,6.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2004,215.000χλμ,Αέριο(lpg)-βενζίνη,2.000cc,150bhp,Χειροκίνητο,Μαύρο,Δίχρωμο,Δέρμα-ύφασμα,,16ίντσες,,Μονό,,5,5,14ώρεςπριν,3573,www.car.gr/330971834,2105690550,"['Abs', 'Cd player', 'Cruise control', 'Immobilizer', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,4x4(4WD),,,
Opel,Astra,2010,Opel Astra '10 1.6 TURBO COSMO SUNROOF 480,OpelAstra1.6TURBOCOSMOSUNROOF480HP'10,30752676,12.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2010,84.000χλμ,Βενζίνη,1.600cc,480bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Γκρι,Δέρμα-ύφασμα,,18ίντσες,,Ζυγό,1,5,5,14ώρεςπριν,5740,www.car.gr/30752676,2105690550,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,,Προσθιοκίνητο(FWD),6,,
Peugeot,208,2015,Peugeot 208 '15 1.4 DIESEL ΕΛΛΗΝΙΚΟ ΟΘΟΝΗ,Peugeot2081.4DIESELΕΛΛΗΝΙΚΟΟΘΟΝΗTFT'15,330754656,7.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2015,186.000χλμ,Πετρέλαιο,1.400cc,70bhp,Χειροκίνητο,Ασπρο,Γκρι,Ύφασμα,,,,Μονό,,5,5,14ώρεςπριν,835,www.car.gr/330754656,2105690550,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,Προσθιοκίνητο(FWD),6,,
Bmw,Z4,2003,Bmw Z4 '03 E85,BmwZ4E85'03,330290637,9.500€,Μεταχειρισμένο,Κάμπριο/Roadster,8/2003,180.000χλμ,Βενζίνη,2.500cc,192bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,Δέρμα,,18ίντσες,,Μονό,,2,2,14ώρεςπριν,1431,www.car.gr/330290637,2105690550,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Navigation - gps', 'Tcs - asr', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,,,4,,
Volkswagen,Polo,2019,"Volkswagen Polo '19  1.6 TDI Style,Full","VolkswagenPolo1.6TDIStyle,FullExtra,Navi'19",333717035,15.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,5/2019,135.000χλμ,Πετρέλαιο,1.600cc,95bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Γκρι,Ύφασμα,5/2019,15ίντσες,,Άγνωστο,1,5,5,10ώρεςπριν,938,www.car.gr/333717035,"6936277350,2104316863,6936277350","['Abs', 'Android auto', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,Euro6,,,6,,
Volkswagen,Up,2015,Volkswagen Up '15 1.0 Club up!Full,VolkswagenUp1.0Clubup!Fullextra'15,334057558,9.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,4/2015,117.000χλμ,Βενζίνη,100cc,75bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δίχρωμο,Ύφασμα,3/2025,15ίντσες,,Άγνωστο,2,3,5,10ώρεςπριν,620,www.car.gr/334057558,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,Προσθιοκίνητο(FWD),6,,
Citroen,C4,2016,Citroen C4 '16 AFTOMATO EURO,CitroenC4AFTOMATOEURO6'16,334212325,11.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2016,115.000χλμ,Πετρέλαιο,1.600cc,120bhp,Αυτόματο,Μαύρο(Μεταλλικό),,,,,,Άγνωστο,,5,5,1ημέραπριν,156,www.car.gr/334212325,"2310675675,2310675000,6972916086","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'value:a', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,€10.700,
Fiat,Panda,2019,Fiat Panda '19 1.2 easy,FiatPanda1.2easy69hp'19,334498209,12.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2019,72.825χλμ,Βενζίνη,1.200cc,69bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,,,,,Μονό,,5,5,1ημέραπριν,21,www.car.gr/334498209,2311230030,[],,,,,,,"231,49€/μήνα"
Smart,ForTwo,2015,Smart ForTwo '15,"SmartForTwoΑΡΙΣΤΟ,Gps,ΖΑΝΤΕΣ,ΔΕΡΜΑ,Full'15",334057717,9.400€,Μεταχειρισμένο,Κουπέ-Σπόρ,5/2015,140.000χλμ,Βενζίνη,1.000cc,78bhp,Χειροκίνητο,Πορτοκαλί(Μεταλλικό),Δίχρωμο,Δέρμα,5/2025,17ίντσες,,Άγνωστο,2,2,2,10ώρεςπριν,384,www.car.gr/334057717,"6936277350,2104316863,6936277350","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,Πισωκίνητο(RWD),6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renault,Clio,2014,Renault Clio '14 1.2 TCe,"RenaultClio1.2TCeGT,Automatic,Navi'14",332941964,13.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2014,153.000χλμ,Βενζίνη,1.200cc,120bhp,Αυτόματο,Πορτοκαλί(Μεταλλικό),Γκρι,Ύφασμα,4/2024,17ίντσες,,Άγνωστο,2,5,5,10ώρεςπριν,1243,www.car.gr/332941964,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,Προσθιοκίνητο(FWD),8,,
Fiat,Doblo,2016,Fiat Doblo '16 DISEL VAN,FiatDobloDISELVANFORTIGAKI'16,334206522,9.700€,Μεταχειρισμένο,Van/MiniBus,7/2016,150.000χλμ,Πετρέλαιο,1.300cc,110bhp,Χειροκίνητο,Ασπρο,,,,,,Άγνωστο,,5,2,1ημέραπριν,100,www.car.gr/334206522,"2310675675,2310675000,6972916086","['Bluetooth', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Parktronic', 'Turbo', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,
Peugeot,3008,2023,Peugeot 3008 '23,"Peugeot3008ΟΛΟΚΑΊΝΟΥΡΓΙΟ,'23",333929487,33.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2023,2.000χλμ,Πετρέλαιο,1.500cc,130bhp,Χειροκίνητο,Γαλάζιο(Μεταλλικό),Δίχρωμο,Ύφασμα,2/2027,17ίντσες,,Άγνωστο,1,5,5,10ώρεςπριν,1235,www.car.gr/333929487,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,Euro6,,,8,,
Fiat,Fiorino,2017,Fiat Fiorino '17 euro 6 disel VAN,FiatFiorinoeuro6diselVANFORTIGAKI'17,334206481,7.800€,Μεταχειρισμένο,Van/MiniBus,1/2017,97.000χλμ,Πετρέλαιο,1.300cc,100bhp,Χειροκίνητο,Ασπρο,,,,,,Άγνωστο,,5,2,1ημέραπριν,47,www.car.gr/334206481,"2310675675,2310675000,6972916086","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Hill assist', 'Immobilizer', 'Turbo', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,
Fiat,GrandePunto,2009,Fiat Grande Punto '09,"FiatGrandePuntoΑΡΙΣΤΟ,Aytomatic,'09",333355519,6.700€,Μεταχειρισμένο,Κουπέ-Σπόρ,3/2009,148.000χλμ,Βενζίνη,1.400cc,80bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δίχρωμο,Ύφασμα,2/2025,14ίντσες,,Άγνωστο,2,5,5,10ώρεςπριν,1165,www.car.gr/333355519,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,,Προσθιοκίνητο(FWD),6,,
Toyota,Yaris,2018,Toyota Yaris '18 1400CC DISEI EURO,ToyotaYaris1400CCDISEIEURO6'18,334206372,11.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2018,101.000χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Ασπρο,,,,,,Άγνωστο,,5,5,1ημέραπριν,126,www.car.gr/334206372,"2310675675,2310675000,6972916086","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Turbo', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,
Jeep,Compass,2021,Jeep Compass '21 MY21 NEO  Longitude,JeepCompassMY21NEOLongitude'21,323172956,31.400€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,9/2021,18.000χλμ,Βενζίνη,1.300cc,130bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,,,17ίντσες,,Ζυγό,1,5,5,1ώραπριν,298,www.car.gr/323172956,6984159658,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κάμερα οπισθοπορείας', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,Προσθιοκίνητο(FWD),,,
Fiat,Punto,2004,Fiat Punto,FiatPunto'04,334474458,3.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,3/2004,220.000χλμ,Βενζίνη,1.200cc,80bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,,,,,Άγνωστο,,5,5,3ώρεςπριν,29,www.car.gr/334474458,6946991699,"['Abs', 'Cd player', 'Immobilizer', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι']",,,,,,,
Opel,Corsa,2016,Opel Corsa '16 DISEL EURO,OpelCorsaDISELEURO6'16,334206340,9.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2016,137.000χλμ,Πετρέλαιο,1.300cc,80bhp,Χειροκίνητο,Ασπρο,,,,,,Άγνωστο,,5,5,1ημέραπριν,55,www.car.gr/334206340,"2310675675,2310675000,6972916086","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,
Citroen,C3,2019,Citroen C3 '19 EURO 6,CitroenC3EURO6AFTOMATO'19,334059735,15.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2019,80.000χλμ,Βενζίνη,1.200cc,110bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,,,,,Άγνωστο,,5,4,1ημέραπριν,175,www.car.gr/334059735,"2310675675,2310675000,6972916086","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,
