brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Κλάσηρύπων,Τέληκυκλοφορίας,Πινακίδα,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κίνηση,Σύνολοκατόχων,Κατανάλωση,Χρηματοδότηση,Παράδοσηστοσπίτι
Bmw,520,2000,"Bmw 520 '00 E39,Full Extra,28αρι","Bmw520E39,FullExtra,28αριΜοτερ'00",327594320,10.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2000,200.000χλμ,Αέριο(lpg)-βενζίνη,2.800cc,220bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Μαύρο,Δέρμα,10/2024,,18ίντσες,,,Άγνωστο,6,5,5,11ώρεςπριν,5952,www.car.gr/327594320,"6936277350,2104316863,6936277350","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Πισωκίνητο(RWD),2,,,
Opel,Astra,2006,Opel Astra '06,OpelAstraGtc'06,333394171,4.600€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2006,200.000χλμ,Βενζίνη,1.600cc,110bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),,,12/2023,,16ίντσες,,,Ζυγό,5,3,4,2ώρεςπριν,2108,www.car.gr/333394171,6983057003,[],,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opel,Corsa,2016,Opel Corsa '16 1.3 CDTI,"OpelCorsa1.3CDTIecoflex,Aytomatic,'16",332276335,12.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2016,113.000χλμ,Πετρέλαιο,1.250cc,95bhp,Αυτόματο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,3/2025,,16ίντσες,Euro6,,Άγνωστο,6,5,5,11ώρεςπριν,875,www.car.gr/332276335,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",Προσθιοκίνητο(FWD),1,,,
Volkswagen,Golf,2014,Volkswagen Golf '14  1.4 TSI ACT  BlueMotion,VolkswagenGolf1.4TSIACTBlueMotionFull'14,331943912,19.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,4/2014,128.000χλμ,Βενζίνη,1.400cc,140bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα,1/2025,,19ίντσες,Euro6,,Άγνωστο,8,5,5,11ώρεςπριν,3576,www.car.gr/331943912,"6936277350,2104316863,6936277350","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Προσθιοκίνητο(FWD),1,,,
Peugeot,2008,2020,Peugeot 2008 '20  PureTech 110 STOP&START,Peugeot2008PureTech110STOP&STARTUrban'20,334482063,23.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2020,77.000χλμ,Πετρέλαιο,1.500cc,110bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,6/2025,,16ίντσες,,,Άγνωστο,8,5,5,11ώρεςπριν,36,www.car.gr/334482063,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,
Volkswagen,Passat,2017,"Volkswagen Passat '17 1,6 BLUEMOTION 120HP","VolkswagenPassat1,6BLUEMOTION120HPΕΛΛΗΝΙΚΟ'17",331696197,15.300€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2017,171.000χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,2/2025,105g/km,16ίντσες,Euro6,103€,Ζυγό,8,5,5,15ώρεςπριν,1336,www.car.gr/331696197,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,
Volkswagen,Passat,2017,"Volkswagen Passat '17 1,6 BLUEMOTION 120HP","VolkswagenPassat1,6BLUEMOTION120HPΕΛΛΗΝΙΚΟ'17",331494399,15.800€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2017,160.500χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,2/2025,105g/km,16ίντσες,Euro6,103€,Μονό,8,4,5,15ώρεςπριν,879,www.car.gr/331494399,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Προσθιοκίνητο(FWD),,,,
Opel,Astra,2019,"Opel Astra '19 120 YEARS 1,6 DIESEL","OpelAstra120YEARS1,6DIESELΕΛΛΗΝΙΚΟ'19",331491925,12.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2019,191.000χλμ,Πετρέλαιο,1.600cc,110bhp,Χειροκίνητο,Ασπρο,Γκρι,Ύφασμα,,115g/km,16ίντσες,,,Μονό,6,5,5,15ώρεςπριν,1325,www.car.gr/331491925,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,
Toyota,Yaris,2018,Toyota Yaris '18 1.4 D-4D ΕΛΛΗΝΙΚΟ,ToyotaYaris1.4D-4DΕΛΛΗΝΙΚΟ5D'18,329635924,10.400€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2018,238.000χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Ασπρο,,Ύφασμα,,91g/km,,,,Ζυγό,6,5,5,15ώρεςπριν,2084,www.car.gr/329635924,2105690550,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Tcs - asr', 'Turbo', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός(a\\u002Fc)', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,
Fiat,Sedici,2007,"Fiat Sedici '07 1,6","FiatSedici1,64X4'07",326632979,6.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2007,112.900χλμ,Βενζίνη,1.600cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,Ύφασμα,,,16ίντσες,,,Ζυγό,6,5,5,15ώρεςπριν,5165,www.car.gr/326632979,2105690550,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Tcs - asr', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",4x4(4WD),,,,
Ford,Mercury,1971,Ford Mercury,FordMercury'71,21384656,3.888€,Μεταχειρισμένο,Αλλο,1/1971,44.710χλμ,Βενζίνη,4.998cc,290bhp,Αυτόματο,Μπλεσκούρο,,Δέρμα,,,,,,Άγνωστο,,3,1,3ώρεςπριν,15121,www.car.gr/21384656,6972271749,[],,2,,,
Fiat,Punto,2012,Fiat Punto,FiatPunto'12,334423233,6.000€,Μεταχειρισμένο,Αλλο,1/2012,172.000χλμ,Πετρέλαιο,1.300cc,85bhp,Χειροκίνητο,Γκρι,,,,,,,0€,Άγνωστο,,3,4,2ώρεςπριν,608,www.car.gr/334423233,6975625952,[],,,,,
Ford,Focus,2018,Ford Focus '18 1.5 TDCI Business - Ντίζελ - Αυτόματο - 120,FordFocus1.5TDCIBusiness-Ντίζελ-Αυτόματο-120hp'18,331265592,13.680€,Μεταχειρισμένο,Κόμπι/Kάραβαν,10/2018,158.000χλμ,Πετρέλαιο,1.500cc,120bhp,Αυτόματο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,4/2024,99g/km,16ίντσες,Euro6,0€,Άγνωστο,8,5,5,4ώρεςπριν,1450,www.car.gr/331265592,"6949255100,6949255100","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Προσθιοκίνητο(FWD),1,4(Εντός)/4(Εκτός)/4(Μικτό)λ/100χλμ,"360,81€/μήνα",Ναι
Toyota,Yaris,2017,Toyota Yaris '17 1.5L HYBRID,ToyotaYaris1.5LHYBRIDNAVI'17,323246257,15.499€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2017,169χλμ,Υβριδικόβενζίνη,1.500cc,105bhp,Αυτόματο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,10/2022,95g/km,15ίντσες,Euro6,0€,Άγνωστο,8,5,5,4ώρεςπριν,832,www.car.gr/323246257,"6949255100,6949255100","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Προσθιοκίνητο(FWD),1,"3,50(Εντός)/3,50(Εκτός)/3,50(Μικτό)λ/100χλμ","408,78€/μήνα",
Toyota,Yaris,2013,Toyota Yaris '13 Navi 1.5l,ToyotaYarisNavi1.5lHybrid'13,322426798,12.499€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2013,160.000χλμ,Υβριδικόβενζίνη,1.500cc,105bhp,Αυτόματο,Ασπρο(Μεταλλικό),Γκρι,Ύφασμα,4/2024,98g/km,16ίντσες,Euro6,0€,Άγνωστο,8,5,5,4ώρεςπριν,1189,www.car.gr/322426798,"6949255100,6949255100","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Προσθιοκίνητο(FWD),1,4(Εντός)/4(Εκτός)/4(Μικτό)λ/100χλμ,"329,66€/μήνα",Ναι
Volkswagen,Golf,2015,Volkswagen Golf,VolkswagenGolf'15,323549934,14.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2015,115.000χλμ,Πετρέλαιο,1.600cc,116bhp,Χειροκίνητο,Μπεζ(Μεταλλικό),Μπεζ,Ύφασμα,5/2023,99g/km,16ίντσες,Euro5,85€,Ζυγό,7,5,5,2ώρεςπριν,20,www.car.gr/323549934,"2170002658,6970151950","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,1,,,
Toyota,Yaris,2015,Toyota Yaris '15 Hybrid ΟΛΟΚΑΙΝΟΥΡΙΟ Cvt,ToyotaYarisHybridΟΛΟΚΑΙΝΟΥΡΙΟCvt'15,334481958,13.300€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2015,128.000χλμ,Υβριδικόβενζίνη,1.497cc,100bhp,Αυτόματο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,6/2026,76g/km,15ίντσες,Euro6,0€,Ζυγό,6,5,5,2ώρεςπριν,92,www.car.gr/334481958,"2170002658,6970151950","['Abs', 'Adaptive cruise control (acc)', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,1,"3,50(Εντός)/4,50(Εκτός)/4(Μικτό)λ/100χλμ",,
Toyota,Yaris,2018,Toyota Yaris '18 1.5L HYBRID SPORT NAVI δερμα,ToyotaYaris1.5LHYBRIDSPORTNAVIδερμαPANORAMA'18,322426844,16.850€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2018,71.000χλμ,Υβριδικόβενζίνη,1.500cc,106bhp,Αυτόματο,Μπλέ(Μεταλλικό),Γκρι,Δέρμα,4/2024,90g/km,16ίντσες,Euro6,0€,Άγνωστο,8,5,5,4ώρεςπριν,2080,www.car.gr/322426844,"6949255100,6949255100","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Προσθιοκίνητο(FWD),1,"3,50(Εντός)/3,50(Εκτός)/3,50(Μικτό)λ/100χλμ","444,41€/μήνα",
Toyota,C-HR,2021,Toyota C-HR '21 GR SPORT 2.0L 184PS Ultimate,ToyotaC-HRGRSPORT2.0L184PSUltimateEdition'21,326203961,36.999€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2021,7.000χλμ,Υβριδικόβενζίνη,2.000cc,184bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Δέρμα,8/2023,105g/km,19ίντσες,Euro6,90€,Άγνωστο,10,5,5,4ώρεςπριν,2196,www.car.gr/326203961,"6949255100,6949255100","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Προσθιοκίνητο(FWD),1,5(Εντός)/5(Εκτός)/5(Μικτό)λ/100χλμ,"1.001,84€/μήνα",
Volkswagen,Golf,2007,Volkswagen Golf '07 FSI,"VolkswagenGolfFSI1,4'07",328032097,6.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2007,124.000χλμ,Βενζίνη,1.400cc,88bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μπεζ,Ύφασμα,1/2023,,,,,Μονό,4,3,5,8λεπτάπριν,280,www.car.gr/328032097,"2102484484,6944945764,6946248060","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Parktronic', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,1,,,
Citroen,C1,2017,Citroen C1 '17,"CitroenC11,2PURETECH'17",325953977,9.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2017,103.700χλμ,Βενζίνη,1.200cc,82bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Δίχρωμο,Ύφασμα,,,,Euro6,89€,Άγνωστο,6,5,5,8λεπτάπριν,68,www.car.gr/325953977,"2102484484,6944945764,6946248060","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,1,,,
Mercedes-Benz,C200,2009,Mercedes-Benz C 200 '09  Compressor,Mercedes-BenzC200CompressorAvantgarde'09,334493603,13.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,9/2009,190.000χλμ,Βενζίνη,1.796cc,184bhp,Χειροκίνητο,Μαύρο,Μαύρο,Δέρμα-ύφασμα,8/2023,,17ίντσες,,320€,Ζυγό,4,5,5,1ημέραπριν,83,www.car.gr/334493603,6972343565,"['Abs', 'Bluetooth', 'Cd player', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Τηλέφωνο']",,2,,,
