brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Πινακίδα,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Κλάσηρύπων,Μέγεθοςζάντας,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Ρύποι(co2),Τέληκυκλοφορίας,Κατανάλωση,Τιμήπολύτεκνου,Χρηματοδότηση,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Παράδοσηστοσπίτι
Volkswagen,Polo,2019,"Volkswagen Polo '19  1.6 TDI Style,Full","VolkswagenPolo1.6TDIStyle,FullExtra,Navi'19",333717035,15.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,5/2019,135.000χλμ,Πετρέλαιο,1.600cc,95bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Άγνωστο,5,5,10ώρεςπριν,939,www.car.gr/333717035,"6936277350,2104316863,6936277350","['Abs', 'Android auto', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",Γκρι,Ύφασμα,5/2019,Euro6,15ίντσες,1,,6,,,,,,,,,,
Volkswagen,Up,2015,Volkswagen Up '15 1.0 Club up!Full,VolkswagenUp1.0Clubup!Fullextra'15,334057558,9.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,4/2015,117.000χλμ,Βενζίνη,100cc,75bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Άγνωστο,3,5,10ώρεςπριν,620,www.car.gr/334057558,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",Δίχρωμο,Ύφασμα,3/2025,,15ίντσες,2,Προσθιοκίνητο(FWD),6,,,,,,,,,,
Citroen,C4,2016,Citroen C4 '16 AFTOMATO EURO,CitroenC4AFTOMATOEURO6'16,334212325,11.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2016,115.000χλμ,Πετρέλαιο,1.600cc,120bhp,Αυτόματο,Μαύρο(Μεταλλικό),Άγνωστο,5,5,1ημέραπριν,156,www.car.gr/334212325,"2310675675,2310675000,6972916086","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'value:a', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,,,,,,€10.700,,,,,,
Fiat,Panda,2019,Fiat Panda '19 1.2 easy,FiatPanda1.2easy69hp'19,334498209,12.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2019,72.825χλμ,Βενζίνη,1.200cc,69bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μονό,5,5,1ημέραπριν,21,www.car.gr/334498209,2311230030,[],,,,,,,,,,,,,"231,49€/μήνα",,,,,
Smart,ForTwo,2015,Smart ForTwo '15,"SmartForTwoΑΡΙΣΤΟ,Gps,ΖΑΝΤΕΣ,ΔΕΡΜΑ,Full'15",334057717,9.400€,Μεταχειρισμένο,Κουπέ-Σπόρ,5/2015,140.000χλμ,Βενζίνη,1.000cc,78bhp,Χειροκίνητο,Πορτοκαλί(Μεταλλικό),Άγνωστο,2,2,10ώρεςπριν,384,www.car.gr/334057717,"6936277350,2104316863,6936277350","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",Δίχρωμο,Δέρμα,5/2025,,17ίντσες,2,Πισωκίνητο(RWD),6,,,,,,,,,,
Volvo,XC40,2019,Volvo XC40 '19 D3 4x4 AWD PANORAMA,VolvoXC40D34x4AWDPANORAMAMOMENTUM'19,333511636,34.990€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2019,49.000χλμ,Πετρέλαιο,2.000cc,150bhp,Αυτόματο,Ασπρο,Ζυγό,5,5,35λεπτάπριν,3710,www.car.gr/333511636,6907915669,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κλιματισμός(a\\u002Fc)', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μαύρο,Δέρμα-ύφασμα,12/2024,Euro6,18ίντσες,1,4x4(4WD),8,135g/km,158€,"7,50(Εντός)/5,50(Εκτός)/6,50(Μικτό)λ/100χλμ",,,,,,,
Mercedes-Benz,CLA250,2021,Mercedes-Benz CLA 250 '21 e AMG LINE 8G-DCT,Mercedes-BenzCLA250eAMGLINE8G-DCT(PHEV)/AUTOBESIKOSⓇ'21,334308131,48.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2021,22.000χλμ,Υβριδικόplug-inβενζίνη,1.332cc,218bhp,Αυτόματο,Μαύρο(Μεταλλικό),Άγνωστο,5,5,2ώρεςπριν,856,www.car.gr/334308131,"2108313963,6978558499","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",Μαύρο,Alcantara,,Euro6d,19ίντσες,1,Προσθιοκίνητο(FWD),7,34g/km,,"1,40(Μικτό)λ/100χλμ",,"753,52€/μήνα",75χλμ,6ώρες,2ώρες,15kwh,Ναι
Volkswagen,Polo,2017,"Volkswagen Polo '17 Volkswagen Polo '17 1,4 tdi Bluemotion","VolkswagenPoloVolkswagenPolo'171,4tdiBluemotionΕλληνικο'17",334049996,9.490€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2017,182.000χλμ,Πετρέλαιο,1.400cc,75bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μονό,5,5,14ώρεςπριν,242,www.car.gr/334049996,2105690550,"['Abs', 'Bluetooth', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Γκρι,Ύφασμα,,Euro6,,,,4,100g/km,,,,,,,,,
Opel,Corsa,2018,Opel Corsa '18  1.3 DIESEL ΕΛΛΗΝΙΚΟ ΟΘΟΝΗ,OpelCorsa1.3DIESELΕΛΛΗΝΙΚΟΟΘΟΝΗΖΑΝΤΕΣ'18,332800713,9.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2018,216.000χλμ,Πετρέλαιο,1.248cc,95bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Ζυγό,5,5,14ώρεςπριν,209,www.car.gr/332800713,2105690550,"['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Γκρι,Ύφασμα,10/2024,Euro6,15ίντσες,,,6,94g/km,,,,,,,,,
Fiat,Panda,2018,Fiat Panda '18  1.2 LOUNGE,FiatPanda1.2LOUNGEΕΛΛΗΝΙΚΟ'18,333326788,9.200€,Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2018,215.000χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Ασπρο,Μονό,5,5,14ώρεςπριν,156,www.car.gr/333326788,2105690550,"['Abs', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Tcs - asr', 'Turbo', 'Usb', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,Ύφασμα,,,,,,4,94g/km,,,,,,,,,
Opel,Astra,2019,Opel Astra '19 120 YEARS 1400 150HP,OpelAstra120YEARS1400150HPΕΛΛΗΝΙΚΟ'19,331966500,15.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2019,59.000χλμ,Βενζίνη,1.400cc,150bhp,Χειροκίνητο,Μπλεσκούρο,Ζυγό,5,5,14ώρεςπριν,2379,www.car.gr/331966500,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Γκρι,Ύφασμα,,,16ίντσες,,,6,125g/km,,,,,,,,,
Hyundai,i20,2015,Hyundai i 20 '15 Active,Hyundaii20Active'15,333147488,8.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2015,178.000χλμ,Πετρέλαιο,1.120cc,75bhp,Χειροκίνητο,Ασπρο,Ζυγό,5,5,14ώρεςπριν,526,www.car.gr/333147488,2105690550,"['Abs', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Γκρι,Ύφασμα,,,,,,,97g/km,,,,,,,,,
Volkswagen,Passat,2017,"Volkswagen Passat '17 1,6 BLUEMOTION 120HP","VolkswagenPassat1,6BLUEMOTION120HPΕΛΛΗΝΙΚΟ'17",331846922,16.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,3/2017,125.000χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Ζυγό,4,5,14ώρεςπριν,1554,www.car.gr/331846922,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Γκρι,Ύφασμα,,Euro6,16ίντσες,,Προσθιοκίνητο(FWD),8,105g/km,103€,,,,,,,,
Bmw,316,1997,Bmw 316 '97 COUPE SUNROOF M-PACK LPG,Bmw316COUPESUNROOFM-PACKLPGA/C'97,332800555,4.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,4/1997,390χλμ,Αέριο(lpg)-βενζίνη,1.800cc,140bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Μονό,2,4,14ώρεςπριν,3912,www.car.gr/332800555,2105690550,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι']",Γκρι,Δερματίνη,,,18ίντσες,,,,,,,,,,,,,
Hyundai,i10,2014,Hyundai i 10 '14  1.2 Style Full,"Hyundaii101.2StyleFullExtra,'14",334321258,9.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,7/2014,120.000χλμ,Βενζίνη,1.250cc,87bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Άγνωστο,5,5,10ώρεςπριν,241,www.car.gr/334321258,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Δίχρωμο,Δέρμα-ύφασμα,8/2024,,15ίντσες,2,Προσθιοκίνητο(FWD),8,,,,,,,,,,
Jaguar,XE,2018,Jaguar XE '18 BUSINESS BVA8 EURO6,JaguarXEBUSINESSBVA8EURO6'18,330005541,29.900€,Μεταχειρισμένο,Λιμουζίνα/Sedan,7/2018,97.000χλμ,Πετρέλαιο,2.000cc,180bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Άγνωστο,5,5,1ημέραπριν,3381,www.car.gr/330005541,"2310675675,2310675000,6972916086","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'value:a', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Ύφασμα,,,,,,,,,,€25.000,,,,,,
Porsche,Cayenne,2007,Porsche Cayenne '07 4.8 TURBO SUNROOF,PorscheCayenne4.8TURBOSUNROOFΕΛΛΗΝΙΚΟ'07,321765228,32.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2007,180.000χλμ,Βενζίνη,4.800cc,500bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μονό,4,5,14ώρεςπριν,6294,www.car.gr/321765228,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αερανάρτηση', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Μαύρο,Δέρμα,,,20ίντσες,,,10,,,,,,,,,,
Ford,Fusion,2003,Ford Fusion '03 1.4 5D A/C Y/T,FordFusion1.45DA/CY/TABS'03,325015918,3.600€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2003,197.000χλμ,Βενζίνη,1.400cc,80bhp,Χειροκίνητο,Κόκκινο,Μονό,4,5,14ώρεςπριν,3411,www.car.gr/325015918,2105690550,"['Abs', 'Cd player', 'Immobilizer', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",Γκρι,,,,,1,,2,,,,,,,,,,
Opel,Astra,2013,Opel Astra '13 ΑΡΙΣΤΟ..ΕΓΓΎΗΣΗ,OpelAstraΑΡΙΣΤΟ..ΕΓΓΎΗΣΗΧΙΛΙΟΜΈΤΡΩΝ.'13,333372392,10.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,7/2013,166.000χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Άγνωστο,5,5,10ώρεςπριν,855,www.car.gr/333372392,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",Δίχρωμο,Ύφασμα,3/2025,,17ίντσες,1,,8,,,,,,,,,,
Fiat,500X,2018,Fiat 500X '18 Fiat 500X 1.4  140 HP AUTO ΕΛΛΗΝΙΚΟ,Fiat500XFiat500X1.4140HPAUTOΕΛΛΗΝΙΚΟ'18'18,334049478,19.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2018,48.000χλμ,Βενζίνη,1.400cc,140bhp,Αυτόματο,Μπλέ(Μεταλλικό),Μονό,5,5,14ώρεςπριν,182,www.car.gr/334049478,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,Ύφασμα,,,,,,6,,,,,,,,,,
Nissan,Qashqai,2009,Nissan Qashqai '09  1.6 ACENTA,NissanQashqai1.6ACENTAΕΛΛΗΝΙΚΟ'09,332910299,10.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2009,136.800χλμ,Βενζίνη,1.600cc,115bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μονό,5,5,14ώρεςπριν,712,www.car.gr/332910299,2105690550,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Δίχρωμο,Ύφασμα,5/2023,,17ίντσες,1,,6,,,,,,,,,,
Daihatsu,Sirion,2007,Daihatsu Sirion,DaihatsuSirion'07,331838951,5.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2007,116.000χλμ,Βενζίνη,1.300cc,85bhp,Χειροκίνητο,Κόκκινο,Ζυγό,5,5,14ώρεςπριν,2134,www.car.gr/331838951,2105690550,"['Abs', 'Cd player', 'Immobilizer', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",Γκρι,Ύφασμα,,,,,Προσθιοκίνητο(FWD),2,,,,,,,,,,
